icao24,time,lat,lon,altitude,velocity
00b22b,2026-04-11 19:11:50+00:00,-26.1536,28.2319,1524,
00b22b,2026-04-11 19:12:20+00:00,-26.1782,28.2242,1828,
00b22b,2026-04-11 19:13:20+00:00,-26.2367,28.2057,2133,
00b22b,2026-04-11 19:13:28+00:00,-26.246,28.2014,2133,
00b22b,2026-04-11 19:13:36+00:00,-26.2534,28.1956,2133,
00b22b,2026-04-11 19:13:43+00:00,-26.2597,28.1881,2438,
00b22b,2026-04-11 19:13:51+00:00,-26.265,28.1779,2438,
00b22b,2026-04-11 19:14:00+00:00,-26.2677,28.1649,2438,
00b22b,2026-04-11 19:14:07+00:00,-26.2671,28.1543,2438,
00b22b,2026-04-11 19:14:15+00:00,-26.2631,28.1423,2743,
00b22b,2026-04-11 19:14:22+00:00,-26.2576,28.1337,2743,
00b22b,2026-04-11 19:14:29+00:00,-26.2506,28.1269,2743,
00b22b,2026-04-11 19:14:36+00:00,-26.2432,28.1209,3048,
00b22b,2026-04-11 19:14:43+00:00,-26.2358,28.1153,3048,
00b22b,2026-04-11 19:15:19+00:00,-26.1912,28.0841,3048,
00b22b,2026-04-11 19:16:00+00:00,-26.1361,28.0438,3352,
00b22b,2026-04-11 19:16:24+00:00,-26.1031,28.0191,3657,
00b22b,2026-04-11 19:16:52+00:00,-26.063,27.989,3962,
00b22b,2026-04-11 19:17:21+00:00,-26.0215,27.958,4267,
00b22b,2026-04-11 19:17:51+00:00,-25.9783,27.9258,4572,
00b22b,2026-04-11 19:18:14+00:00,-25.944,27.9003,4876,
00b22b,2026-04-11 19:18:44+00:00,-25.9006,27.8684,5181,
00b22b,2026-04-11 19:19:27+00:00,-25.837,27.8223,5486,
00b22b,2026-04-11 19:20:12+00:00,-25.7683,27.7722,5791,
00b22b,2026-04-11 19:20:49+00:00,-25.711,27.7305,6096,
00b22b,2026-04-11 19:21:40+00:00,-25.6305,27.6721,6400,
00b22b,2026-04-11 19:22:26+00:00,-25.5582,27.6196,6705,
00b22b,2026-04-11 19:23:18+00:00,-25.4742,27.5586,7010,
00b22b,2026-04-11 19:24:08+00:00,-25.3922,27.4994,7315,
00b22b,2026-04-11 19:24:56+00:00,-25.3132,27.4424,7620,
00b22b,2026-04-11 19:25:58+00:00,-25.21,27.3679,7924,
00b22b,2026-04-11 19:27:25+00:00,-25.0609,27.2607,8229,
00b22b,2026-04-11 19:28:31+00:00,-24.9444,27.1772,8534,
