icao24,time,lat,lon,altitude,velocity
00b22c,2026-04-12 12:58:27+00:00,-23.1529,27.6128,10668,
00b22c,2026-04-12 12:58:32+00:00,-23.1656,27.6149,10668,
00b22c,2026-04-12 12:58:44+00:00,-23.1909,27.6182,10668,
00b22c,2026-04-12 12:58:51+00:00,-23.2059,27.6196,10668,
00b22c,2026-04-12 12:59:03+00:00,-23.2316,27.6211,10668,
00b22c,2026-04-12 12:59:15+00:00,-23.2595,27.6214,10668,
00b22c,2026-04-12 12:59:23+00:00,-23.2759,27.621,10668,
00b22c,2026-04-12 12:59:29+00:00,-23.289,27.6203,10668,
00b22c,2026-04-12 12:59:42+00:00,-23.317,27.618,10668,
00b22c,2026-04-12 13:02:02+00:00,-23.6224,27.586,10668,
00b22c,2026-04-12 13:02:09+00:00,-23.637,27.5845,10363,
00b22c,2026-04-12 13:03:10+00:00,-23.7687,27.5704,10668,
00b22c,2026-04-12 13:03:36+00:00,-23.8257,27.5644,10363,
00b22c,2026-04-12 13:06:38+00:00,-24.2227,27.5221,10668,
00b22c,2026-04-12 13:06:45+00:00,-24.2375,27.5194,10668,
00b22c,2026-04-12 13:06:50+00:00,-24.2493,27.5166,10668,
00b22c,2026-04-12 13:06:58+00:00,-24.2648,27.512,10668,
00b22c,2026-04-12 13:07:04+00:00,-24.2773,27.5077,10363,
00b22c,2026-04-12 13:07:42+00:00,-24.3554,27.481,10668,
00b22c,2026-04-12 13:07:48+00:00,-24.3674,27.4769,10363,
00b22c,2026-04-12 13:09:50+00:00,-24.6194,27.3909,10668,
