icao24,time,lat,lon,altitude,velocity
00b22f,2026-04-12 13:11:29+00:00,-26.1108,28.2454,1524,
00b22f,2026-04-12 13:11:57+00:00,-26.0904,28.2519,1828,
00b22f,2026-04-12 13:12:37+00:00,-26.0572,28.2622,2133,
00b22f,2026-04-12 13:12:44+00:00,-26.0508,28.2646,2133,
00b22f,2026-04-12 13:12:51+00:00,-26.0444,28.2685,2133,
00b22f,2026-04-12 13:12:58+00:00,-26.0388,28.2743,2133,
00b22f,2026-04-12 13:13:05+00:00,-26.0342,28.283,2438,
00b22f,2026-04-12 13:13:12+00:00,-26.032,28.2929,2438,
00b22f,2026-04-12 13:13:18+00:00,-26.032,28.301,2438,
00b22f,2026-04-12 13:13:25+00:00,-26.0336,28.3121,2438,
00b22f,2026-04-12 13:13:32+00:00,-26.0364,28.3223,2438,
00b22f,2026-04-12 13:13:39+00:00,-26.0402,28.3333,2438,
00b22f,2026-04-12 13:13:46+00:00,-26.0442,28.3442,2438,
00b22f,2026-04-12 13:14:02+00:00,-26.0531,28.3694,2743,
00b22f,2026-04-12 13:14:16+00:00,-26.0601,28.3915,3048,
00b22f,2026-04-12 13:14:37+00:00,-26.0698,28.4239,3352,
00b22f,2026-04-12 13:15:05+00:00,-26.0835,28.4702,3657,
00b22f,2026-04-12 13:15:12+00:00,-26.0875,28.4821,3657,
00b22f,2026-04-12 13:15:32+00:00,-26.1004,28.5174,3657,
00b22f,2026-04-12 13:16:08+00:00,-26.1245,28.5815,3962,
00b22f,2026-04-12 13:16:15+00:00,-26.1297,28.5939,3962,
00b22f,2026-04-12 13:16:22+00:00,-26.1357,28.6062,3962,
00b22f,2026-04-12 13:16:28+00:00,-26.1422,28.6165,3962,
00b22f,2026-04-12 13:16:35+00:00,-26.1505,28.6263,3962,
00b22f,2026-04-12 13:17:02+00:00,-26.1878,28.6644,4267,
