icao24,time,lat,lon,altitude,velocity
39de4b,2026-04-11 19:15:05+00:00,48.731,2.3483,0,
39de4b,2026-04-11 19:15:26+00:00,48.7245,2.3297,0,
39de4b,2026-04-11 19:15:53+00:00,48.7158,2.3058,304,
39de4b,2026-04-11 19:16:16+00:00,48.7073,2.2854,609,
39de4b,2026-04-11 19:16:24+00:00,48.7044,2.2786,609,
39de4b,2026-04-11 19:16:45+00:00,48.6958,2.2595,914,
39de4b,2026-04-11 19:17:21+00:00,48.6785,2.2203,1219,
39de4b,2026-04-11 19:17:28+00:00,48.674,2.2118,1524,
39de4b,2026-04-11 19:17:35+00:00,48.668,2.2041,1524,
39de4b,2026-04-11 19:17:43+00:00,48.6599,2.1967,1524,
39de4b,2026-04-11 19:17:50+00:00,48.6522,2.192,1524,
39de4b,2026-04-11 19:18:06+00:00,48.634,2.1814,1828,
39de4b,2026-04-11 19:18:14+00:00,48.625,2.1761,2133,
39de4b,2026-04-11 19:18:37+00:00,48.5992,2.1618,2438,
39de4b,2026-04-11 19:18:52+00:00,48.5822,2.1526,2743,
39de4b,2026-04-11 19:19:19+00:00,48.5502,2.1355,3048,
39de4b,2026-04-11 19:19:56+00:00,48.5008,2.1093,3352,
39de4b,2026-04-11 19:20:12+00:00,48.4783,2.0977,3657,
39de4b,2026-04-11 19:20:27+00:00,48.4564,2.0864,3962,
39de4b,2026-04-11 19:20:49+00:00,48.4252,2.0705,4267,
39de4b,2026-04-11 19:21:04+00:00,48.4039,2.0597,4572,
39de4b,2026-04-11 19:21:25+00:00,48.3739,2.0448,4876,
39de4b,2026-04-11 19:21:32+00:00,48.3635,2.0408,5181,
39de4b,2026-04-11 19:21:40+00:00,48.3514,2.0376,5181,
39de4b,2026-04-11 19:21:47+00:00,48.3403,2.0352,5181,
39de4b,2026-04-11 19:22:10+00:00,48.3055,2.0278,5486,
39de4b,2026-04-11 19:22:41+00:00,48.2554,2.0171,5791,
39de4b,2026-04-11 19:23:09+00:00,48.209,2.0069,6096,
39de4b,2026-04-11 19:23:32+00:00,48.1726,1.9989,6400,
39de4b,2026-04-11 19:23:39+00:00,48.1615,1.9962,6705,
39de4b,2026-04-11 19:23:46+00:00,48.1502,1.9925,6705,
39de4b,2026-04-11 19:23:54+00:00,48.1376,1.9873,6705,
39de4b,2026-04-11 19:24:15+00:00,48.1058,1.9732,7010,
39de4b,2026-04-11 19:24:48+00:00,48.0543,1.9508,7315,
39de4b,2026-04-11 19:25:19+00:00,48.0045,1.9293,7620,
39de4b,2026-04-11 19:25:58+00:00,47.9435,1.9034,7924,
39de4b,2026-04-11 19:26:57+00:00,47.8458,1.8613,8229,
39de4b,2026-04-11 19:27:18+00:00,47.8114,1.8464,8534,
39de4b,2026-04-11 19:27:45+00:00,47.7664,1.8273,8839,
39de4b,2026-04-11 19:28:00+00:00,47.7437,1.8179,9144,
39de4b,2026-04-11 19:28:07+00:00,47.7331,1.8135,9448,
