icao24,time,lat,lon,altitude,velocity
39de4f,2026-04-11 19:24:56+00:00,48.73,2.3454,0,
39de4f,2026-04-11 19:25:12+00:00,48.7247,2.3303,0,
39de4f,2026-04-11 19:25:36+00:00,48.7173,2.3095,304,
39de4f,2026-04-11 19:25:44+00:00,48.7145,2.3026,609,
39de4f,2026-04-11 19:26:07+00:00,48.7058,2.2828,609,
39de4f,2026-04-11 19:26:31+00:00,48.6963,2.2616,914,
39de4f,2026-04-11 19:27:03+00:00,48.6813,2.2259,1219,
39de4f,2026-04-11 19:27:18+00:00,48.6733,2.2065,1524,
39de4f,2026-04-11 19:27:26+00:00,48.6691,2.1966,1524,
39de4f,2026-04-11 19:27:32+00:00,48.6647,2.1887,1828,
39de4f,2026-04-11 19:27:39+00:00,48.6584,2.1803,1828,
39de4f,2026-04-11 19:27:47+00:00,48.6501,2.1737,1828,
39de4f,2026-04-11 19:27:53+00:00,48.6422,2.1707,1828,
39de4f,2026-04-11 19:28:01+00:00,48.6327,2.1702,1828,
39de4f,2026-04-11 19:28:07+00:00,48.6246,2.1713,1828,
