icao24,time,lat,lon,altitude,velocity
3cf0b8,2026-04-12 12:27:58+00:00,43.1977,7.059,1524,
3cf0b8,2026-04-12 12:28:12+00:00,43.1804,7.0577,1828,
3cf0b8,2026-04-12 12:28:22+00:00,43.1706,7.0568,2133,
3cf0b8,2026-04-12 12:28:29+00:00,43.1644,7.056,2133,
3cf0b8,2026-04-12 12:28:36+00:00,43.1567,7.0532,2438,
3cf0b8,2026-04-12 12:28:41+00:00,43.1521,7.0495,2438,
3cf0b8,2026-04-12 12:28:47+00:00,43.1473,7.0434,2438,
3cf0b8,2026-04-12 12:28:52+00:00,43.144,7.0379,2743,
3cf0b8,2026-04-12 12:28:57+00:00,43.141,7.0307,2743,
3cf0b8,2026-04-12 12:29:04+00:00,43.1387,7.0196,2743,
3cf0b8,2026-04-12 12:29:07+00:00,43.1385,7.0145,2743,
3cf0b8,2026-04-12 12:29:13+00:00,43.1395,7.0039,3048,
3cf0b8,2026-04-12 12:29:31+00:00,43.1452,6.9743,3352,
3cf0b8,2026-04-12 12:29:36+00:00,43.1465,6.9641,3352,
3cf0b8,2026-04-12 12:29:49+00:00,43.1493,6.9405,3657,
3cf0b8,2026-04-12 12:30:17+00:00,43.1543,6.8856,3657,
3cf0b8,2026-04-12 12:30:37+00:00,43.1579,6.8449,3962,
3cf0b8,2026-04-12 12:30:53+00:00,43.161,6.8096,4267,
3cf0b8,2026-04-12 12:31:14+00:00,43.1648,6.7652,4572,
3cf0b8,2026-04-12 12:31:36+00:00,43.1689,6.7178,4876,
3cf0b8,2026-04-12 12:31:59+00:00,43.1732,6.669,5181,
3cf0b8,2026-04-12 12:32:20+00:00,43.1773,6.6206,5486,
3cf0b8,2026-04-12 12:32:44+00:00,43.1819,6.5677,5791,
3cf0b8,2026-04-12 12:33:08+00:00,43.1864,6.5141,6096,
3cf0b8,2026-04-12 12:33:36+00:00,43.1917,6.4509,6400,
3cf0b8,2026-04-12 12:34:05+00:00,43.197,6.387,6705,
3cf0b8,2026-04-12 12:34:38+00:00,43.2035,6.3094,7010,
3cf0b8,2026-04-12 12:35:07+00:00,43.209,6.2416,7315,
3cf0b8,2026-04-12 12:35:41+00:00,43.2155,6.1635,7620,
3cf0b8,2026-04-12 12:36:14+00:00,43.2221,6.082,7924,
3cf0b8,2026-04-12 12:36:33+00:00,43.2252,6.0377,8229,
3cf0b8,2026-04-12 12:36:51+00:00,43.2268,5.9932,8229,
3cf0b8,2026-04-12 12:36:55+00:00,43.227,5.9836,8229,
3cf0b8,2026-04-12 12:37:24+00:00,43.2278,5.911,8534,
3cf0b8,2026-04-12 12:38:02+00:00,43.2288,5.816,8839,
3cf0b8,2026-04-12 12:38:51+00:00,43.2297,5.6903,9144,
3cf0b8,2026-04-12 12:39:30+00:00,43.2304,5.5878,9448,
3cf0b8,2026-04-12 12:39:36+00:00,43.2309,5.5719,9448,
3cf0b8,2026-04-12 12:39:43+00:00,43.2319,5.5552,9448,
3cf0b8,2026-04-12 12:39:49+00:00,43.2333,5.5401,9448,
3cf0b8,2026-04-12 12:39:55+00:00,43.2351,5.5241,9448,
3cf0b8,2026-04-12 12:40:00+00:00,43.2369,5.5108,9753,
3cf0b8,2026-04-12 12:40:05+00:00,43.2393,5.496,9753,
3cf0b8,2026-04-12 12:40:10+00:00,43.2411,5.4855,9753,
3cf0b8,2026-04-12 12:40:17+00:00,43.2448,5.4675,9753,
3cf0b8,2026-04-12 12:42:13+00:00,43.3115,5.1751,9753,
3cf0b8,2026-04-12 12:42:21+00:00,43.3149,5.157,9753,
3cf0b8,2026-04-12 12:42:26+00:00,43.3171,5.142,9753,
3cf0b8,2026-04-12 12:42:31+00:00,43.3187,5.1296,9753,
3cf0b8,2026-04-12 12:42:38+00:00,43.3204,5.1135,9753,
3cf0b8,2026-04-12 12:42:42+00:00,43.3214,5.1013,9753,
3cf0b8,2026-04-12 12:42:49+00:00,43.3225,5.0843,9753,
3cf0b8,2026-04-12 12:42:56+00:00,43.3232,5.0663,9753,
3cf0b8,2026-04-12 12:43:03+00:00,43.3236,5.0505,9753,
3cf0b8,2026-04-12 12:43:09+00:00,43.3235,5.0348,9753,
3cf0b8,2026-04-12 12:48:39+00:00,43.2974,4.1898,9753,
3cf0b8,2026-04-12 12:49:40+00:00,43.292,4.0375,9448,
3cf0b8,2026-04-12 12:50:11+00:00,43.2891,3.9597,9144,
3cf0b8,2026-04-12 12:50:39+00:00,43.2864,3.8885,8839,
3cf0b8,2026-04-12 12:51:11+00:00,43.2834,3.8098,8534,
3cf0b8,2026-04-12 12:51:40+00:00,43.2805,3.7357,8229,
3cf0b8,2026-04-12 12:52:05+00:00,43.2781,3.6754,7924,
3cf0b8,2026-04-12 12:52:36+00:00,43.2752,3.6045,7620,
3cf0b8,2026-04-12 12:53:06+00:00,43.2725,3.5355,7315,
3cf0b8,2026-04-12 12:53:36+00:00,43.2698,3.4677,7010,
3cf0b8,2026-04-12 12:53:59+00:00,43.2676,3.4159,6705,
3cf0b8,2026-04-12 12:54:17+00:00,43.266,3.3762,6400,
