icao24,time,lat,lon,altitude,velocity
3ffc17,2026-04-12 11:54:34+00:00,51.7457,11.2196,0,
3ffc17,2026-04-12 11:54:43+00:00,51.7456,11.2142,0,
3ffc17,2026-04-12 11:54:47+00:00,51.7454,11.2115,0,
3ffc17,2026-04-12 11:54:59+00:00,51.7449,11.2038,304,
3ffc17,2026-04-12 11:55:04+00:00,51.7447,11.2005,304,
3ffc17,2026-04-12 11:55:09+00:00,51.7455,11.1971,304,
3ffc17,2026-04-12 11:55:14+00:00,51.7475,11.1955,304,
3ffc17,2026-04-12 11:55:21+00:00,51.7511,11.1956,304,
3ffc17,2026-04-12 11:55:27+00:00,51.7538,11.1958,304,
3ffc17,2026-04-12 11:55:32+00:00,51.7569,11.1961,304,
3ffc17,2026-04-12 11:55:43+00:00,51.7625,11.1971,304,
3ffc17,2026-04-12 11:55:47+00:00,51.7651,11.1977,304,
3ffc17,2026-04-12 11:55:57+00:00,51.7707,11.199,304,
3ffc17,2026-04-12 11:56:02+00:00,51.7733,11.1993,304,
3ffc17,2026-04-12 11:56:07+00:00,51.7763,11.1994,304,
3ffc17,2026-04-12 11:56:11+00:00,51.7782,11.1993,304,
3ffc17,2026-04-12 11:56:17+00:00,51.7819,11.199,304,
3ffc17,2026-04-12 11:56:22+00:00,51.7847,11.1983,304,
3ffc17,2026-04-12 11:56:27+00:00,51.7875,11.1975,304,
3ffc17,2026-04-12 11:56:32+00:00,51.7902,11.1967,609,
3ffc17,2026-04-12 11:56:37+00:00,51.7929,11.1955,609,
3ffc17,2026-04-12 11:56:42+00:00,51.7953,11.194,609,
3ffc17,2026-04-12 11:57:12+00:00,51.8115,11.1826,609,
3ffc17,2026-04-12 11:57:23+00:00,51.8177,11.1787,609,
3ffc17,2026-04-12 11:57:29+00:00,51.821,11.1767,609,
3ffc17,2026-04-12 11:57:39+00:00,51.8266,11.1738,609,
3ffc17,2026-04-12 11:58:05+00:00,51.8422,11.1663,609,
3ffc17,2026-04-12 11:58:21+00:00,51.8508,11.1612,609,
3ffc17,2026-04-12 11:58:25+00:00,51.8533,11.1594,609,
3ffc17,2026-04-12 11:58:31+00:00,51.8564,11.1562,609,
3ffc17,2026-04-12 11:58:41+00:00,51.8612,11.1502,609,
3ffc17,2026-04-12 11:58:46+00:00,51.8638,11.1474,609,
3ffc17,2026-04-12 11:58:51+00:00,51.8665,11.145,609,
3ffc17,2026-04-12 11:58:56+00:00,51.8691,11.143,609,
3ffc17,2026-04-12 11:59:01+00:00,51.8718,11.1412,609,
3ffc17,2026-04-12 11:59:06+00:00,51.8745,11.1398,609,
3ffc17,2026-04-12 11:59:38+00:00,51.8923,11.132,609,
3ffc17,2026-04-12 11:59:58+00:00,51.903,11.1259,914,
3ffc17,2026-04-12 12:00:14+00:00,51.9116,11.1205,914,
3ffc17,2026-04-12 12:00:24+00:00,51.9171,11.1168,914,
3ffc17,2026-04-12 12:01:17+00:00,51.9469,11.095,914,
3ffc17,2026-04-12 12:01:35+00:00,51.9579,11.0879,914,
3ffc17,2026-04-12 12:02:07+00:00,51.9784,11.0747,609,
3ffc17,2026-04-12 12:02:14+00:00,51.9825,11.0718,609,
3ffc17,2026-04-12 12:02:26+00:00,51.9894,11.0667,609,
3ffc17,2026-04-12 12:03:27+00:00,52.0259,11.042,609,
3ffc17,2026-04-12 12:03:32+00:00,52.0293,11.0397,609,
3ffc17,2026-04-12 12:04:11+00:00,52.0529,11.0251,609,
3ffc17,2026-04-12 12:04:31+00:00,52.0648,11.0169,609,
3ffc17,2026-04-12 12:06:52+00:00,52.1525,10.9601,609,
3ffc17,2026-04-12 12:07:54+00:00,52.1927,10.9312,609,
3ffc17,2026-04-12 12:09:06+00:00,52.239,10.8956,609,
3ffc17,2026-04-12 12:09:27+00:00,52.2525,10.8865,609,
3ffc17,2026-04-12 12:09:33+00:00,52.2561,10.8843,609,
3ffc17,2026-04-12 12:09:38+00:00,52.2599,10.8823,609,
3ffc17,2026-04-12 12:09:54+00:00,52.2708,10.8771,609,
3ffc17,2026-04-12 12:10:00+00:00,52.2744,10.8749,609,
3ffc17,2026-04-12 12:10:10+00:00,52.2808,10.8703,609,
3ffc17,2026-04-12 12:10:29+00:00,52.2938,10.8605,609,
3ffc17,2026-04-12 12:11:12+00:00,52.3231,10.841,609,
3ffc17,2026-04-12 12:11:44+00:00,52.344,10.8276,609,
3ffc17,2026-04-12 12:12:08+00:00,52.3591,10.8169,609,
3ffc17,2026-04-12 12:12:58+00:00,52.3904,10.7939,609,
3ffc17,2026-04-12 12:13:15+00:00,52.4012,10.7869,609,
3ffc17,2026-04-12 12:13:26+00:00,52.4088,10.7823,609,
3ffc17,2026-04-12 12:14:25+00:00,52.4465,10.7599,609,
3ffc17,2026-04-12 12:16:02+00:00,52.5084,10.717,609,
3ffc17,2026-04-12 12:16:07+00:00,52.5122,10.715,609,
3ffc17,2026-04-12 12:16:19+00:00,52.5196,10.7114,609,
3ffc17,2026-04-12 12:16:24+00:00,52.523,10.7094,609,
3ffc17,2026-04-12 12:16:29+00:00,52.5261,10.707,609,
3ffc17,2026-04-12 12:16:35+00:00,52.5299,10.7041,609,
3ffc17,2026-04-12 12:16:40+00:00,52.5331,10.7018,609,
3ffc17,2026-04-12 12:16:46+00:00,52.5369,10.6994,609,
3ffc17,2026-04-12 12:16:56+00:00,52.544,10.6954,609,
3ffc17,2026-04-12 12:17:01+00:00,52.5473,10.6936,609,
3ffc17,2026-04-12 12:17:25+00:00,52.5634,10.6861,609,
3ffc17,2026-04-12 12:17:42+00:00,52.5753,10.6815,609,
3ffc17,2026-04-12 12:18:08+00:00,52.593,10.6752,609,
3ffc17,2026-04-12 12:18:14+00:00,52.5973,10.6733,609,
3ffc17,2026-04-12 12:18:20+00:00,52.6011,10.6712,609,
3ffc17,2026-04-12 12:18:25+00:00,52.6046,10.6693,914,
3ffc17,2026-04-12 12:18:53+00:00,52.6247,10.6581,609,
3ffc17,2026-04-12 12:19:00+00:00,52.6292,10.6558,609,
3ffc17,2026-04-12 12:19:05+00:00,52.6328,10.6544,609,
3ffc17,2026-04-12 12:19:10+00:00,52.6368,10.6529,609,
3ffc17,2026-04-12 12:19:34+00:00,52.6529,10.6483,609,
3ffc17,2026-04-12 12:19:51+00:00,52.6653,10.6453,609,
3ffc17,2026-04-12 12:19:56+00:00,52.6687,10.6447,609,
3ffc17,2026-04-12 12:20:02+00:00,52.673,10.6445,609,
3ffc17,2026-04-12 12:20:09+00:00,52.6779,10.6448,609,
3ffc17,2026-04-12 12:20:15+00:00,52.682,10.6453,609,
3ffc17,2026-04-12 12:20:20+00:00,52.6859,10.6454,609,
3ffc17,2026-04-12 12:20:27+00:00,52.6907,10.6451,609,
