icao24,time,lat,lon,altitude,velocity
407a05,2026-04-11 17:35:23+00:00,51.1494,-0.1815,0,
407a05,2026-04-11 17:35:37+00:00,51.1475,-0.1956,0,
407a05,2026-04-11 17:36:13+00:00,51.1419,-0.2331,304,
407a05,2026-04-11 17:36:42+00:00,51.1365,-0.2715,609,
407a05,2026-04-11 17:37:22+00:00,51.1273,-0.3381,914,
407a05,2026-04-11 17:37:59+00:00,51.1189,-0.3997,1219,
407a05,2026-04-11 17:38:07+00:00,51.117,-0.4137,1524,
407a05,2026-04-11 17:38:15+00:00,51.1147,-0.4271,1524,
407a05,2026-04-11 17:38:22+00:00,51.1118,-0.4383,1524,
407a05,2026-04-11 17:38:29+00:00,51.1084,-0.449,1524,
407a05,2026-04-11 17:38:36+00:00,51.1051,-0.4596,1524,
407a05,2026-04-11 17:39:06+00:00,51.0907,-0.5061,1828,
407a05,2026-04-11 17:39:37+00:00,51.0756,-0.5547,2133,
407a05,2026-04-11 17:39:59+00:00,51.065,-0.5887,2438,
407a05,2026-04-11 17:40:07+00:00,51.0605,-0.6015,2438,
407a05,2026-04-11 17:40:14+00:00,51.0563,-0.6113,2743,
407a05,2026-04-11 17:40:21+00:00,51.0513,-0.6213,2743,
407a05,2026-04-11 17:40:51+00:00,51.029,-0.6647,3048,
407a05,2026-04-11 17:41:06+00:00,51.0167,-0.6889,3352,
407a05,2026-04-11 17:41:13+00:00,51.0113,-0.7013,3352,
407a05,2026-04-11 17:41:23+00:00,51.0058,-0.7221,3352,
407a05,2026-04-11 17:41:30+00:00,51.0038,-0.7382,3352,
407a05,2026-04-11 17:41:45+00:00,51.0008,-0.7742,3352,
407a05,2026-04-11 17:42:06+00:00,50.9971,-0.8266,3657,
407a05,2026-04-11 17:42:27+00:00,50.9933,-0.8796,3962,
407a05,2026-04-11 17:42:48+00:00,50.9892,-0.9332,4267,
407a05,2026-04-11 17:43:10+00:00,50.9848,-0.9892,4572,
407a05,2026-04-11 17:43:17+00:00,50.9832,-1.0076,4876,
407a05,2026-04-11 17:43:27+00:00,50.9802,-1.032,4876,
407a05,2026-04-11 17:43:34+00:00,50.9764,-1.0489,4876,
407a05,2026-04-11 17:43:41+00:00,50.9713,-1.0648,5181,
407a05,2026-04-11 17:43:49+00:00,50.9632,-1.0822,5181,
407a05,2026-04-11 17:43:56+00:00,50.9551,-1.095,5181,
407a05,2026-04-11 17:44:03+00:00,50.9458,-1.1071,5486,
407a05,2026-04-11 17:44:18+00:00,50.9263,-1.1315,5486,
407a05,2026-04-11 17:44:40+00:00,50.8977,-1.1672,5791,
407a05,2026-04-11 17:44:47+00:00,50.8888,-1.1786,6096,
407a05,2026-04-11 17:45:31+00:00,50.8336,-1.249,6400,
407a05,2026-04-11 17:45:59+00:00,50.7979,-1.295,6705,
407a05,2026-04-11 17:46:35+00:00,50.7513,-1.355,7010,
407a05,2026-04-11 17:47:18+00:00,50.695,-1.4268,7315,
407a05,2026-04-11 17:48:11+00:00,50.6232,-1.5181,7620,
407a05,2026-04-11 17:48:46+00:00,50.5749,-1.5791,7924,
407a05,2026-04-11 17:49:22+00:00,50.5264,-1.6404,8229,
407a05,2026-04-11 17:49:45+00:00,50.4957,-1.679,8534,
407a05,2026-04-11 17:50:30+00:00,50.4359,-1.7545,8839,
407a05,2026-04-11 17:51:21+00:00,50.3697,-1.8372,9144,
407a05,2026-04-11 17:51:28+00:00,50.3603,-1.8484,9448,
407a05,2026-04-11 17:51:35+00:00,50.3509,-1.858,9448,
407a05,2026-04-11 17:51:44+00:00,50.3379,-1.8682,9448,
407a05,2026-04-11 17:54:12+00:00,50.1154,-2.0281,9448,
407a05,2026-04-11 17:55:01+00:00,50.0434,-2.08,9753,
407a05,2026-04-11 17:56:19+00:00,49.928,-2.1623,10058,
407a05,2026-04-11 17:58:15+00:00,49.7497,-2.2897,10363,
407a05,2026-04-11 17:59:45+00:00,49.6063,-2.39,10668,
407a05,2026-04-11 18:01:13+00:00,49.463,-2.4903,10972,
407a05,2026-04-11 18:04:33+00:00,49.1263,-2.7239,11277,
407a05,2026-04-11 18:06:09+00:00,48.9684,-2.8321,10972,
407a05,2026-04-11 18:07:58+00:00,48.7889,-2.9543,11277,
407a05,2026-04-11 18:11:35+00:00,48.4409,-3.1879,10972,
407a05,2026-04-11 18:13:25+00:00,48.2647,-3.305,11277,
407a05,2026-04-11 18:14:10+00:00,48.1919,-3.3528,10972,
407a05,2026-04-11 18:23:00+00:00,47.3284,-3.9129,11277,
407a05,2026-04-11 18:25:04+00:00,47.1309,-4.0382,10972,
407a05,2026-04-11 18:25:12+00:00,47.1178,-4.0464,11277,
407a05,2026-04-11 18:25:20+00:00,47.1048,-4.0546,10972,
407a05,2026-04-11 18:33:56+00:00,46.2758,-4.5688,11277,
407a05,2026-04-11 18:35:57+00:00,46.082,-4.6865,10972,
407a05,2026-04-11 18:40:06+00:00,45.6807,-4.9276,11277,
407a05,2026-04-11 18:40:19+00:00,45.6598,-4.9402,10972,
407a05,2026-04-11 18:40:28+00:00,45.6465,-4.9481,11277,
407a05,2026-04-11 18:41:25+00:00,45.5529,-5.0038,10972,
407a05,2026-04-11 18:41:32+00:00,45.5428,-5.0098,11277,
407a05,2026-04-11 18:41:39+00:00,45.5302,-5.0172,10972,
407a05,2026-04-11 18:42:29+00:00,45.4497,-5.0647,11277,
407a05,2026-04-11 18:42:37+00:00,45.4379,-5.0717,10972,
407a05,2026-04-11 18:43:27+00:00,45.3551,-5.1206,11277,
407a05,2026-04-11 18:43:34+00:00,45.3438,-5.1271,10972,
407a05,2026-04-11 18:50:54+00:00,44.6163,-5.5484,11277,
407a05,2026-04-11 18:51:01+00:00,44.604,-5.5544,11277,
407a05,2026-04-11 18:51:09+00:00,44.5902,-5.5606,11277,
407a05,2026-04-11 18:51:25+00:00,44.5621,-5.5713,11277,
407a05,2026-04-11 18:51:45+00:00,44.5272,-5.5845,10972,
407a05,2026-04-11 18:51:52+00:00,44.5148,-5.5892,11277,
407a05,2026-04-11 18:52:06+00:00,44.4904,-5.5986,10972,
407a05,2026-04-11 19:00:33+00:00,43.5895,-5.9398,11277,
407a05,2026-04-11 19:00:49+00:00,43.5612,-5.9504,10972,
407a05,2026-04-11 19:01:29+00:00,43.4897,-5.977,11277,
407a05,2026-04-11 19:02:45+00:00,43.3547,-6.0271,10972,
407a05,2026-04-11 19:06:51+00:00,42.9156,-6.1881,11277,
407a05,2026-04-11 19:07:05+00:00,42.8907,-6.1972,10972,
407a05,2026-04-11 19:07:56+00:00,42.7998,-6.2301,11277,
407a05,2026-04-11 19:08:17+00:00,42.7609,-6.2442,10972,
407a05,2026-04-11 19:08:24+00:00,42.7479,-6.2489,11277,
407a05,2026-04-11 19:08:32+00:00,42.7352,-6.2535,10972,
407a05,2026-04-11 19:08:38+00:00,42.7245,-6.2574,11277,
407a05,2026-04-11 19:08:44+00:00,42.7123,-6.2617,10972,
407a05,2026-04-11 19:13:07+00:00,42.2371,-6.4322,11277,
407a05,2026-04-11 19:13:22+00:00,42.2098,-6.442,10972,
407a05,2026-04-11 19:15:47+00:00,41.9445,-6.5361,11277,
407a05,2026-04-11 19:16:01+00:00,41.9183,-6.5447,10972,
407a05,2026-04-11 19:18:07+00:00,41.6808,-6.6136,11277,
