icao24,time,lat,lon,altitude,velocity
471efa,2026-04-11 17:00:51+00:00,44.8165,20.3137,0,
471efa,2026-04-11 17:01:12+00:00,44.8077,20.3335,0,
471efa,2026-04-11 17:01:20+00:00,44.8049,20.34,304,
471efa,2026-04-11 17:01:27+00:00,44.8016,20.3456,304,
471efa,2026-04-11 17:01:35+00:00,44.7964,20.3505,304,
471efa,2026-04-11 17:01:42+00:00,44.7914,20.3524,609,
471efa,2026-04-11 17:01:48+00:00,44.7861,20.3532,609,
471efa,2026-04-11 17:01:57+00:00,44.7797,20.3535,609,
471efa,2026-04-11 17:02:04+00:00,44.7743,20.3518,609,
471efa,2026-04-11 17:02:11+00:00,44.7694,20.3472,914,
471efa,2026-04-11 17:02:20+00:00,44.7648,20.3398,914,
471efa,2026-04-11 17:02:35+00:00,44.7577,20.3262,914,
471efa,2026-04-11 17:02:44+00:00,44.7535,20.3179,914,
471efa,2026-04-11 17:03:22+00:00,44.7315,20.2753,1219,
471efa,2026-04-11 17:03:52+00:00,44.7108,20.2361,1524,
471efa,2026-04-11 17:04:06+00:00,44.6999,20.2158,1828,
471efa,2026-04-11 17:04:22+00:00,44.6881,20.1938,2133,
471efa,2026-04-11 17:04:52+00:00,44.6663,20.1532,2438,
471efa,2026-04-11 17:04:59+00:00,44.6603,20.1413,2743,
471efa,2026-04-11 17:05:06+00:00,44.6557,20.1304,2743,
471efa,2026-04-11 17:05:14+00:00,44.6517,20.1187,2743,
471efa,2026-04-11 17:05:50+00:00,44.6312,20.0565,3048,
471efa,2026-04-11 17:06:11+00:00,44.6177,20.017,3352,
471efa,2026-04-11 17:06:37+00:00,44.6011,19.9692,3657,
471efa,2026-04-11 17:06:59+00:00,44.5863,19.9266,3962,
471efa,2026-04-11 17:07:20+00:00,44.5716,19.8842,4267,
471efa,2026-04-11 17:07:49+00:00,44.5522,19.8282,4572,
471efa,2026-04-11 17:08:10+00:00,44.5374,19.7853,4876,
471efa,2026-04-11 17:08:41+00:00,44.5161,19.7237,5181,
471efa,2026-04-11 17:09:03+00:00,44.5007,19.6793,5486,
471efa,2026-04-11 17:09:39+00:00,44.4745,19.6038,5791,
471efa,2026-04-11 17:10:09+00:00,44.4532,19.5427,6096,
471efa,2026-04-11 17:10:47+00:00,44.4247,19.4612,6400,
471efa,2026-04-11 17:11:08+00:00,44.4088,19.4162,6705,
471efa,2026-04-11 17:11:54+00:00,44.374,19.3172,7010,
471efa,2026-04-11 17:12:38+00:00,44.3394,19.219,7315,
471efa,2026-04-11 17:13:18+00:00,44.3067,19.1268,7620,
471efa,2026-04-11 17:14:05+00:00,44.2688,19.0203,7924,
471efa,2026-04-11 17:14:47+00:00,44.2337,18.9221,8229,
471efa,2026-04-11 17:15:19+00:00,44.2073,18.8482,8534,
471efa,2026-04-11 17:16:31+00:00,44.1474,18.6813,8839,
471efa,2026-04-11 17:17:35+00:00,44.093,18.5306,9144,
471efa,2026-04-11 17:18:36+00:00,44.0398,18.3843,9448,
471efa,2026-04-11 17:19:36+00:00,43.9858,18.2368,9753,
471efa,2026-04-11 17:20:30+00:00,43.938,18.1068,10058,
471efa,2026-04-11 17:21:35+00:00,43.8803,17.9503,10363,
471efa,2026-04-11 17:23:02+00:00,43.8042,17.7455,10668,
471efa,2026-04-11 17:31:07+00:00,43.3702,16.605,10972,
471efa,2026-04-11 17:31:15+00:00,43.3634,16.5874,10668,
471efa,2026-04-11 17:31:22+00:00,43.3575,16.5723,10972,
471efa,2026-04-11 17:33:41+00:00,43.231,16.2486,10668,
471efa,2026-04-11 17:39:27+00:00,42.911,15.4451,10972,
471efa,2026-04-11 17:39:36+00:00,42.904,15.4247,10972,
471efa,2026-04-11 17:40:20+00:00,42.873,15.3173,10972,
471efa,2026-04-11 17:41:13+00:00,42.8363,15.1898,10668,
471efa,2026-04-11 17:43:03+00:00,42.7598,14.9265,10972,
471efa,2026-04-11 17:45:01+00:00,42.6769,14.6441,10668,
471efa,2026-04-11 17:49:29+00:00,42.4855,14.0034,10972,
471efa,2026-04-11 17:50:52+00:00,42.4262,13.8082,10668,
471efa,2026-04-11 17:52:42+00:00,42.3482,13.5532,10972,
471efa,2026-04-11 17:53:42+00:00,42.3057,13.4156,10668,
471efa,2026-04-11 17:53:57+00:00,42.295,13.3811,10972,
