icao24,time,lat,lon,altitude,velocity
471efb,2026-04-11 18:44:44+00:00,47.435,19.2745,0,
471efb,2026-04-11 18:45:05+00:00,47.4247,19.2911,0,
471efb,2026-04-11 18:45:15+00:00,47.4201,19.2985,304,
471efb,2026-04-11 18:45:21+00:00,47.4171,19.304,304,
471efb,2026-04-11 18:45:29+00:00,47.4141,19.3102,304,
471efb,2026-04-11 18:45:35+00:00,47.4114,19.3165,609,
471efb,2026-04-11 18:45:43+00:00,47.4086,19.3241,609,
471efb,2026-04-11 18:46:10+00:00,47.3978,19.3563,609,
471efb,2026-04-11 18:46:37+00:00,47.3843,19.3946,914,
471efb,2026-04-11 18:46:45+00:00,47.3797,19.405,1219,
471efb,2026-04-11 18:46:52+00:00,47.3741,19.4131,1219,
471efb,2026-04-11 18:46:58+00:00,47.3672,19.4193,1219,
471efb,2026-04-11 18:47:06+00:00,47.3593,19.4233,1524,
471efb,2026-04-11 18:47:11+00:00,47.3531,19.4255,1524,
471efb,2026-04-11 18:47:21+00:00,47.3418,19.4306,1828,
471efb,2026-04-11 18:47:29+00:00,47.3338,19.4362,1828,
471efb,2026-04-11 18:47:36+00:00,47.3261,19.4424,1828,
471efb,2026-04-11 18:47:55+00:00,47.3036,19.4617,1828,
471efb,2026-04-11 18:48:29+00:00,47.2607,19.4992,2133,
471efb,2026-04-11 18:48:57+00:00,47.2228,19.5309,2438,
471efb,2026-04-11 18:49:18+00:00,47.1915,19.5568,2743,
471efb,2026-04-11 18:49:41+00:00,47.1586,19.5842,3048,
471efb,2026-04-11 18:50:09+00:00,47.1165,19.6192,3352,
471efb,2026-04-11 18:50:32+00:00,47.0809,19.6487,3657,
471efb,2026-04-11 18:50:54+00:00,47.0462,19.6775,3962,
471efb,2026-04-11 18:51:00+00:00,47.0354,19.6863,4267,
471efb,2026-04-11 18:51:09+00:00,47.0224,19.6977,4267,
471efb,2026-04-11 18:51:15+00:00,47.0124,19.7081,4267,
471efb,2026-04-11 18:51:24+00:00,46.9996,19.7245,4267,
471efb,2026-04-11 18:51:52+00:00,46.9632,19.7785,4572,
471efb,2026-04-11 18:52:20+00:00,46.9252,19.8353,4876,
471efb,2026-04-11 18:52:48+00:00,46.8846,19.8952,5181,
471efb,2026-04-11 18:53:23+00:00,46.8344,19.9692,5486,
471efb,2026-04-11 18:53:52+00:00,46.7912,20.0326,5791,
471efb,2026-04-11 18:54:28+00:00,46.738,20.1106,6096,
471efb,2026-04-11 18:55:01+00:00,46.687,20.1854,6400,
471efb,2026-04-11 18:55:37+00:00,46.6311,20.2674,6705,
471efb,2026-04-11 18:56:12+00:00,46.5755,20.3481,7010,
471efb,2026-04-11 18:56:53+00:00,46.5096,20.4437,7315,
471efb,2026-04-11 18:57:34+00:00,46.4413,20.5424,7620,
471efb,2026-04-11 18:58:28+00:00,46.3514,20.6717,7924,
471efb,2026-04-11 18:59:23+00:00,46.258,20.8056,8229,
471efb,2026-04-11 19:00:21+00:00,46.1571,20.9491,8534,
471efb,2026-04-11 19:01:16+00:00,46.06,21.0864,8839,
471efb,2026-04-11 19:02:04+00:00,45.9729,21.209,9144,
471efb,2026-04-11 19:02:51+00:00,45.8888,21.3269,9448,
471efb,2026-04-11 19:03:56+00:00,45.7708,21.4915,9753,
471efb,2026-04-11 19:04:52+00:00,45.6703,21.6311,10058,
471efb,2026-04-11 19:05:39+00:00,45.5839,21.7502,10363,
471efb,2026-04-11 19:06:43+00:00,45.4659,21.9121,10668,
471efb,2026-04-11 19:08:03+00:00,45.3212,22.1096,10972,
471efb,2026-04-11 19:15:41+00:00,44.4736,23.2363,11277,
471efb,2026-04-11 19:16:01+00:00,44.4362,23.2849,10972,
471efb,2026-04-11 19:16:08+00:00,44.4229,23.3021,11277,
471efb,2026-04-11 19:16:24+00:00,44.3914,23.3429,10972,
471efb,2026-04-11 19:21:48+00:00,43.7782,24.1258,11277,
471efb,2026-04-11 19:22:11+00:00,43.7351,24.18,10972,
471efb,2026-04-11 19:24:48+00:00,43.4421,24.5663,11277,
471efb,2026-04-11 19:25:21+00:00,43.3809,24.647,10972,
471efb,2026-04-11 19:30:05+00:00,42.8484,25.3404,11277,
