icao24,time,lat,lon,altitude,velocity
471efc,2026-04-11 17:47:54+00:00,42.2776,19.2166,7315,
471efc,2026-04-11 17:48:10+00:00,42.2991,19.1968,7315,
471efc,2026-04-11 17:48:37+00:00,42.3371,19.1618,7620,
471efc,2026-04-11 17:49:45+00:00,42.4323,19.0738,7924,
471efc,2026-04-11 17:50:41+00:00,42.5127,18.9995,8229,
471efc,2026-04-11 17:51:22+00:00,42.5738,18.9427,8534,
471efc,2026-04-11 17:52:06+00:00,42.6386,18.8822,8839,
471efc,2026-04-11 17:54:03+00:00,42.8157,18.7161,9144,
471efc,2026-04-11 17:55:21+00:00,42.9381,18.6004,9448,
471efc,2026-04-11 17:56:18+00:00,43.0273,18.5185,9753,
471efc,2026-04-11 17:57:24+00:00,43.1296,18.4239,10058,
471efc,2026-04-11 17:58:45+00:00,43.2552,18.307,10363,
471efc,2026-04-11 18:00:06+00:00,43.3806,18.19,10668,
471efc,2026-04-11 18:07:07+00:00,44.0305,17.5731,10972,
471efc,2026-04-11 18:08:23+00:00,44.1473,17.4603,10668,
471efc,2026-04-11 18:08:31+00:00,44.159,17.4491,10972,
471efc,2026-04-11 18:08:35+00:00,44.1658,17.4425,10668,
471efc,2026-04-11 18:10:04+00:00,44.3034,17.3089,10972,
471efc,2026-04-11 18:10:21+00:00,44.3295,17.2835,10668,
471efc,2026-04-11 18:18:48+00:00,45.1105,16.4971,10972,
471efc,2026-04-11 18:19:03+00:00,45.1339,16.4728,10668,
471efc,2026-04-11 18:22:28+00:00,45.4489,16.144,10972,
471efc,2026-04-11 18:22:52+00:00,45.4863,16.1044,10668,
471efc,2026-04-11 18:23:08+00:00,45.5104,16.079,10972,
471efc,2026-04-11 18:24:24+00:00,45.627,15.9557,10668,
471efc,2026-04-11 18:37:44+00:00,46.8244,14.6497,10972,
471efc,2026-04-11 18:42:30+00:00,47.2381,14.1805,10668,
471efc,2026-04-11 18:48:36+00:00,47.7696,13.5642,10972,
471efc,2026-04-11 18:50:53+00:00,47.9677,13.3303,10668,
471efc,2026-04-11 18:54:19+00:00,48.2654,12.9723,10972,
471efc,2026-04-11 18:59:16+00:00,48.6865,12.4119,10972,
471efc,2026-04-11 19:01:36+00:00,48.8863,12.1441,10668,
471efc,2026-04-11 19:10:19+00:00,49.6506,11.1219,10972,
471efc,2026-04-11 19:12:21+00:00,49.8279,10.878,10668,
471efc,2026-04-11 19:13:37+00:00,49.9389,10.724,10972,
471efc,2026-04-11 19:14:23+00:00,50.0075,10.6283,10668,
471efc,2026-04-11 19:14:52+00:00,50.0505,10.5686,10363,
471efc,2026-04-11 19:15:27+00:00,50.1009,10.4979,10058,
471efc,2026-04-11 19:20:28+00:00,50.5052,9.9232,9753,
471efc,2026-04-11 19:20:57+00:00,50.544,9.8674,9448,
471efc,2026-04-11 19:21:19+00:00,50.5738,9.8243,9144,
471efc,2026-04-11 19:21:26+00:00,50.5838,9.8098,8839,
471efc,2026-04-11 19:21:47+00:00,50.613,9.7671,8534,
471efc,2026-04-11 19:22:11+00:00,50.6469,9.7181,8229,
471efc,2026-04-11 19:22:35+00:00,50.6803,9.6696,7924,
471efc,2026-04-11 19:22:42+00:00,50.6903,9.6544,7620,
471efc,2026-04-11 19:22:49+00:00,50.6992,9.6398,7620,
471efc,2026-04-11 19:22:57+00:00,50.709,9.6225,7620,
471efc,2026-04-11 19:23:04+00:00,50.7171,9.6072,7620,
471efc,2026-04-11 19:23:11+00:00,50.7252,9.5906,7315,
471efc,2026-04-11 19:23:19+00:00,50.7335,9.5724,7315,
471efc,2026-04-11 19:23:26+00:00,50.7406,9.5556,7315,
471efc,2026-04-11 19:23:33+00:00,50.7473,9.5386,7315,
471efc,2026-04-11 19:23:40+00:00,50.7532,9.5226,7010,
471efc,2026-04-11 19:23:47+00:00,50.7593,9.5048,7010,
471efc,2026-04-11 19:24:02+00:00,50.7709,9.468,7010,
471efc,2026-04-11 19:24:34+00:00,50.7957,9.3898,6705,
471efc,2026-04-11 19:25:05+00:00,50.8195,9.3154,6400,
471efc,2026-04-11 19:25:36+00:00,50.8426,9.2421,6096,
471efc,2026-04-11 19:26:07+00:00,50.8653,9.1702,5791,
471efc,2026-04-11 19:26:31+00:00,50.8826,9.1151,5486,
471efc,2026-04-11 19:26:51+00:00,50.8973,9.068,5181,
471efc,2026-04-11 19:26:58+00:00,50.9028,9.0522,5181,
471efc,2026-04-11 19:27:04+00:00,50.9079,9.04,5181,
471efc,2026-04-11 19:27:12+00:00,50.9162,9.0236,4876,
471efc,2026-04-11 19:27:33+00:00,50.939,8.984,4876,
471efc,2026-04-11 19:28:01+00:00,50.9703,8.9304,4572,
471efc,2026-04-11 19:28:32+00:00,51.0045,8.8718,4267,
471efc,2026-04-11 19:29:30+00:00,51.0663,8.7649,3962,
471efc,2026-04-11 19:29:37+00:00,51.073,8.7527,3962,
471efc,2026-04-11 19:29:44+00:00,51.0783,8.7394,3962,
471efc,2026-04-11 19:29:51+00:00,51.0822,8.7249,3962,
471efc,2026-04-11 19:29:58+00:00,51.0845,8.7107,3962,
471efc,2026-04-11 19:30:06+00:00,51.0854,8.6934,3962,
