icao24,time,lat,lon,altitude,velocity
471efd,2026-04-12 11:34:35+00:00,34.7974,33.528,914,
471efd,2026-04-12 11:34:51+00:00,34.7844,33.5115,914,
471efd,2026-04-12 11:34:55+00:00,34.7808,33.5067,1219,
471efd,2026-04-12 11:35:00+00:00,34.7772,33.5005,1219,
471efd,2026-04-12 11:35:05+00:00,34.7748,33.4947,1219,
471efd,2026-04-12 11:35:10+00:00,34.7729,33.4874,1219,
471efd,2026-04-12 11:35:14+00:00,34.7721,33.4813,1219,
471efd,2026-04-12 11:35:19+00:00,34.7715,33.4739,1524,
471efd,2026-04-12 11:35:34+00:00,34.7704,33.4525,1524,
471efd,2026-04-12 11:35:54+00:00,34.769,33.4232,1828,
471efd,2026-04-12 11:36:18+00:00,34.767,33.3871,2133,
471efd,2026-04-12 11:36:37+00:00,34.7654,33.359,2438,
471efd,2026-04-12 11:36:58+00:00,34.7639,33.3275,2743,
471efd,2026-04-12 11:37:36+00:00,34.7613,33.2692,3048,
471efd,2026-04-12 11:38:16+00:00,34.7572,33.201,3352,
471efd,2026-04-12 11:38:42+00:00,34.754,33.1542,3657,
471efd,2026-04-12 11:39:03+00:00,34.7516,33.1176,3962,
471efd,2026-04-12 11:39:24+00:00,34.7492,33.0802,4267,
471efd,2026-04-12 11:39:48+00:00,34.7464,33.0383,4572,
471efd,2026-04-12 11:40:23+00:00,34.7423,32.9762,4876,
471efd,2026-04-12 11:41:00+00:00,34.7379,32.9088,5181,
471efd,2026-04-12 11:41:25+00:00,34.735,32.8625,5486,
471efd,2026-04-12 11:41:29+00:00,34.7348,32.8548,5486,
471efd,2026-04-12 11:41:34+00:00,34.7352,32.8454,5486,
471efd,2026-04-12 11:41:39+00:00,34.7363,32.8363,5486,
471efd,2026-04-12 11:41:44+00:00,34.7383,32.827,5791,
471efd,2026-04-12 11:42:13+00:00,34.7514,32.7737,5791,
471efd,2026-04-12 11:42:47+00:00,34.7657,32.7117,6096,
471efd,2026-04-12 11:43:18+00:00,34.779,32.6539,6400,
471efd,2026-04-12 11:43:59+00:00,34.7965,32.5788,6705,
