icao24,time,lat,lon,altitude,velocity
471eff,2026-04-11 19:10:30+00:00,48.7586,8.0608,304,
471eff,2026-04-11 19:10:54+00:00,48.7443,8.0476,609,
471eff,2026-04-11 19:11:21+00:00,48.7281,8.0325,914,
471eff,2026-04-11 19:12:06+00:00,48.6956,8.0017,1219,
471eff,2026-04-11 19:12:29+00:00,48.6769,7.984,1524,
471eff,2026-04-11 19:12:37+00:00,48.6698,7.9778,1828,
471eff,2026-04-11 19:12:43+00:00,48.6633,7.9744,1828,
471eff,2026-04-11 19:12:52+00:00,48.6548,7.973,2133,
471eff,2026-04-11 19:12:58+00:00,48.6476,7.9746,2133,
471eff,2026-04-11 19:13:07+00:00,48.6391,7.9783,2438,
471eff,2026-04-11 19:13:22+00:00,48.6232,7.9862,2438,
471eff,2026-04-11 19:13:44+00:00,48.6,7.9981,2743,
471eff,2026-04-11 19:14:09+00:00,48.5725,8.0119,3048,
471eff,2026-04-11 19:14:30+00:00,48.5492,8.0233,3352,
471eff,2026-04-11 19:14:51+00:00,48.5244,8.0354,3657,
471eff,2026-04-11 19:15:19+00:00,48.4922,8.0509,3962,
471eff,2026-04-11 19:15:47+00:00,48.4595,8.0669,4267,
471eff,2026-04-11 19:16:17+00:00,48.4224,8.0849,4572,
471eff,2026-04-11 19:16:39+00:00,48.3946,8.0984,4876,
471eff,2026-04-11 19:17:14+00:00,48.3502,8.12,5181,
471eff,2026-04-11 19:17:43+00:00,48.3116,8.1388,5486,
471eff,2026-04-11 19:18:07+00:00,48.281,8.1537,5791,
471eff,2026-04-11 19:18:59+00:00,48.2102,8.1876,6096,
471eff,2026-04-11 19:20:03+00:00,48.111,8.2351,6400,
471eff,2026-04-11 19:20:56+00:00,48.0208,8.2785,6705,
471eff,2026-04-11 19:21:33+00:00,47.9568,8.3092,7010,
471eff,2026-04-11 19:22:11+00:00,47.8874,8.3424,7315,
471eff,2026-04-11 19:22:20+00:00,47.8709,8.3507,7620,
471eff,2026-04-11 19:22:27+00:00,47.8587,8.3588,7620,
471eff,2026-04-11 19:22:35+00:00,47.8453,8.3707,7620,
471eff,2026-04-11 19:22:41+00:00,47.8343,8.3833,7620,
471eff,2026-04-11 19:22:49+00:00,47.8233,8.3974,7620,
471eff,2026-04-11 19:23:32+00:00,47.7557,8.4842,7924,
471eff,2026-04-11 19:24:16+00:00,47.688,8.5693,8229,
471eff,2026-04-11 19:24:57+00:00,47.623,8.6505,8534,
471eff,2026-04-11 19:25:44+00:00,47.5477,8.7444,8839,
471eff,2026-04-11 19:26:37+00:00,47.4626,8.8502,9144,
471eff,2026-04-11 19:27:40+00:00,47.359,8.9784,9448,
471eff,2026-04-11 19:28:21+00:00,47.2902,9.0632,9753,
471eff,2026-04-11 19:28:53+00:00,47.2393,9.1258,10058,
471eff,2026-04-11 19:29:08+00:00,47.2154,9.1553,10363,
471eff,2026-04-11 19:29:16+00:00,47.2026,9.1724,10363,
471eff,2026-04-11 19:29:23+00:00,47.1925,9.188,10363,
471eff,2026-04-11 19:29:30+00:00,47.1827,9.2053,10363,
471eff,2026-04-11 19:29:58+00:00,47.1464,9.2756,10363,
471eff,2026-04-11 19:30:06+00:00,47.1363,9.2949,10668,
