icao24,time,lat,lon,altitude,velocity
4acb03,2026-04-11 18:13:01+00:00,34.7807,33.6223,1219,
4acb03,2026-04-11 18:13:25+00:00,34.7927,33.656,1219,
4acb03,2026-04-11 18:13:47+00:00,34.8038,33.6873,1524,
4acb03,2026-04-11 18:14:20+00:00,34.8208,33.7366,1828,
4acb03,2026-04-11 18:14:42+00:00,34.8323,33.7703,2133,
4acb03,2026-04-11 18:15:12+00:00,34.8481,33.8165,2438,
4acb03,2026-04-11 18:15:35+00:00,34.8608,33.8535,2743,
4acb03,2026-04-11 18:16:28+00:00,34.892,33.9444,3048,
4acb03,2026-04-11 18:17:11+00:00,34.9211,34.0305,3352,
4acb03,2026-04-11 18:17:18+00:00,34.9257,34.0441,3657,
4acb03,2026-04-11 18:17:25+00:00,34.9315,34.0594,3657,
4acb03,2026-04-11 18:17:32+00:00,34.9382,34.0721,3657,
4acb03,2026-04-11 18:17:39+00:00,34.9471,34.0847,3657,
4acb03,2026-04-11 18:17:47+00:00,34.9578,34.0958,3962,
4acb03,2026-04-11 18:17:54+00:00,34.9688,34.1043,3962,
4acb03,2026-04-11 18:18:02+00:00,34.9815,34.1112,3962,
4acb03,2026-04-11 18:18:09+00:00,34.9941,34.1154,3962,
4acb03,2026-04-11 18:18:17+00:00,35.0088,34.1176,4267,
4acb03,2026-04-11 18:18:26+00:00,35.0253,34.1171,4267,
4acb03,2026-04-11 18:18:33+00:00,35.0387,34.1155,4267,
4acb03,2026-04-11 18:19:03+00:00,35.0926,34.1095,4572,
4acb03,2026-04-11 18:19:25+00:00,35.1334,34.1049,4876,
4acb03,2026-04-11 18:19:46+00:00,35.1724,34.1005,5181,
4acb03,2026-04-11 18:20:15+00:00,35.2265,34.0944,5486,
4acb03,2026-04-11 18:20:40+00:00,35.2738,34.089,5791,
4acb03,2026-04-11 18:21:03+00:00,35.3166,34.0842,6096,
4acb03,2026-04-11 18:21:35+00:00,35.3783,34.0773,6400,
4acb03,2026-04-11 18:22:06+00:00,35.4389,34.0704,6705,
4acb03,2026-04-11 18:22:28+00:00,35.4804,34.0658,7010,
4acb03,2026-04-11 18:22:52+00:00,35.5263,34.0606,7315,
4acb03,2026-04-11 18:23:22+00:00,35.5833,34.0541,7620,
4acb03,2026-04-11 18:24:01+00:00,35.6563,34.0457,7924,
4acb03,2026-04-11 18:25:52+00:00,35.8694,34.0213,8229,
4acb03,2026-04-11 18:25:59+00:00,35.8833,34.0193,8229,
4acb03,2026-04-11 18:26:06+00:00,35.8969,34.016,8229,
4acb03,2026-04-11 18:26:14+00:00,35.9111,34.0112,8229,
4acb03,2026-04-11 18:26:22+00:00,35.9247,34.0051,8229,
4acb03,2026-04-11 18:26:29+00:00,35.937,33.9984,8229,
4acb03,2026-04-11 18:26:37+00:00,35.9501,33.9897,8534,
4acb03,2026-04-11 18:27:09+00:00,36.0003,33.9517,8534,
4acb03,2026-04-11 18:28:01+00:00,36.0833,33.8893,8839,
4acb03,2026-04-11 18:28:38+00:00,36.1429,33.8443,9144,
4acb03,2026-04-11 18:29:16+00:00,36.2026,33.799,9448,
4acb03,2026-04-11 18:29:56+00:00,36.2646,33.7516,9753,
4acb03,2026-04-11 18:30:57+00:00,36.3587,33.6797,10058,
4acb03,2026-04-11 18:36:04+00:00,36.8363,33.3122,10363,
4acb03,2026-04-11 18:36:10+00:00,36.845,33.3049,10363,
4acb03,2026-04-11 18:36:18+00:00,36.8567,33.294,10363,
4acb03,2026-04-11 18:36:25+00:00,36.8662,33.284,10363,
4acb03,2026-04-11 18:36:32+00:00,36.8757,33.2733,10363,
4acb03,2026-04-11 18:36:39+00:00,36.8848,33.2618,10363,
4acb03,2026-04-11 18:37:44+00:00,36.9631,33.1556,10363,
4acb03,2026-04-11 18:39:25+00:00,37.0887,32.9841,10668,
4acb03,2026-04-11 18:50:08+00:00,37.8878,31.8712,10972,
4acb03,2026-04-11 18:50:16+00:00,37.8984,31.8575,10972,
4acb03,2026-04-11 18:50:23+00:00,37.9077,31.8467,10972,
4acb03,2026-04-11 18:50:31+00:00,37.9192,31.8346,10972,
4acb03,2026-04-11 18:50:38+00:00,37.9289,31.8255,10972,
4acb03,2026-04-11 18:50:46+00:00,37.942,31.8142,10972,
4acb03,2026-04-11 18:54:50+00:00,38.3278,31.5052,10972,
4acb03,2026-04-11 19:16:46+00:00,40.4122,29.9917,10972,
4acb03,2026-04-11 19:24:42+00:00,41.1905,29.5216,10972,
4acb03,2026-04-11 19:29:22+00:00,41.6821,29.3316,10972,
