icao24,time,lat,lon,altitude,velocity
4bc8c2,2026-04-12 10:05:31+00:00,41.3409,29.1834,6400,
4bc8c2,2026-04-12 10:05:34+00:00,41.3433,29.1783,6400,
4bc8c2,2026-04-12 10:06:14+00:00,41.3771,29.1042,6705,
4bc8c2,2026-04-12 10:06:36+00:00,41.3957,29.063,7010,
4bc8c2,2026-04-12 10:06:54+00:00,41.4101,29.0311,7315,
4bc8c2,2026-04-12 10:07:15+00:00,41.4264,28.9947,7620,
4bc8c2,2026-04-12 10:08:08+00:00,41.4685,28.9023,7924,
4bc8c2,2026-04-12 10:09:15+00:00,41.5236,28.78,8229,
4bc8c2,2026-04-12 10:10:24+00:00,41.5829,28.6476,8534,
4bc8c2,2026-04-12 10:11:26+00:00,41.6368,28.527,8839,
4bc8c2,2026-04-12 10:12:21+00:00,41.6851,28.4184,9144,
4bc8c2,2026-04-12 10:13:06+00:00,41.7244,28.33,9448,
4bc8c2,2026-04-12 10:14:17+00:00,41.7855,28.1918,9753,
4bc8c2,2026-04-12 10:15:52+00:00,41.8678,28.0045,10058,
4bc8c2,2026-04-12 10:17:41+00:00,41.9626,27.7879,10363,
4bc8c2,2026-04-12 10:17:49+00:00,41.9702,27.7726,10363,
4bc8c2,2026-04-12 10:17:57+00:00,41.9781,27.7582,10363,
4bc8c2,2026-04-12 10:18:36+00:00,42.0203,27.6877,10363,
4bc8c2,2026-04-12 10:18:39+00:00,42.024,27.6814,10058,
4bc8c2,2026-04-12 10:24:17+00:00,42.3878,27.061,10363,
4bc8c2,2026-04-12 10:24:35+00:00,42.4075,27.0271,10058,
4bc8c2,2026-04-12 10:24:38+00:00,42.411,27.0211,10363,
4bc8c2,2026-04-12 10:24:42+00:00,42.4146,27.0147,10058,
4bc8c2,2026-04-12 10:24:50+00:00,42.4238,26.9989,10363,
4bc8c2,2026-04-12 10:24:59+00:00,42.4334,26.9822,10058,
4bc8c2,2026-04-12 10:28:05+00:00,42.6341,26.6335,10363,
4bc8c2,2026-04-12 10:28:50+00:00,42.6828,26.5485,10058,
4bc8c2,2026-04-12 10:31:26+00:00,42.8514,26.2517,10363,
4bc8c2,2026-04-12 10:31:30+00:00,42.8561,26.2435,10058,
4bc8c2,2026-04-12 10:31:34+00:00,42.86,26.2364,10363,
4bc8c2,2026-04-12 10:33:15+00:00,42.9706,26.04,10058,
4bc8c2,2026-04-12 10:33:19+00:00,42.975,26.032,10363,
4bc8c2,2026-04-12 10:33:23+00:00,42.9794,26.0243,10058,
4bc8c2,2026-04-12 10:33:36+00:00,42.9934,25.9994,10363,
4bc8c2,2026-04-12 10:33:40+00:00,42.998,25.9912,10058,
4bc8c2,2026-04-12 10:38:46+00:00,43.329,25.3814,10363,
4bc8c2,2026-04-12 10:41:15+00:00,43.4855,25.083,10058,
4bc8c2,2026-04-12 10:45:38+00:00,43.76,24.5539,10363,
4bc8c2,2026-04-12 10:45:42+00:00,43.7644,24.5464,10363,
4bc8c2,2026-04-12 10:46:09+00:00,43.796,24.4958,10363,
4bc8c2,2026-04-12 10:46:40+00:00,43.8316,24.4384,10058,
4bc8c2,2026-04-12 10:46:44+00:00,43.8365,24.4303,10363,
4bc8c2,2026-04-12 10:46:52+00:00,43.8459,24.4151,10058,
4bc8c2,2026-04-12 10:46:57+00:00,43.8511,24.4067,10363,
4bc8c2,2026-04-12 10:47:01+00:00,43.856,24.3985,10058,
4bc8c2,2026-04-12 10:47:05+00:00,43.8604,24.3915,10363,
4bc8c2,2026-04-12 10:47:09+00:00,43.8651,24.3839,10058,
4bc8c2,2026-04-12 10:54:45+00:00,44.392,23.5172,10363,
4bc8c2,2026-04-12 10:57:04+00:00,44.5494,23.2529,10058,
4bc8c2,2026-04-12 11:01:04+00:00,44.8198,22.7929,10363,
4bc8c2,2026-04-12 11:01:09+00:00,44.8252,22.7837,10058,
4bc8c2,2026-04-12 11:02:24+00:00,44.9091,22.6396,10363,
4bc8c2,2026-04-12 11:02:50+00:00,44.9376,22.5906,10058,
4bc8c2,2026-04-12 11:02:57+00:00,44.9459,22.5764,10363,
4bc8c2,2026-04-12 11:03:03+00:00,44.9522,22.5656,10058,
4bc8c2,2026-04-12 11:03:07+00:00,44.9562,22.5585,10363,
4bc8c2,2026-04-12 11:03:15+00:00,44.9663,22.5413,10058,
4bc8c2,2026-04-12 11:13:21+00:00,45.645,21.3424,10363,
4bc8c2,2026-04-12 11:14:27+00:00,45.7182,21.2107,10058,
4bc8c2,2026-04-12 11:18:50+00:00,46.0102,20.6766,10363,
4bc8c2,2026-04-12 11:19:29+00:00,46.0544,20.5961,10058,
4bc8c2,2026-04-12 11:19:34+00:00,46.0603,20.5854,10363,
4bc8c2,2026-04-12 11:19:39+00:00,46.0658,20.5751,10058,
4bc8c2,2026-04-12 11:26:33+00:00,46.5326,19.7009,10363,
4bc8c2,2026-04-12 11:26:38+00:00,46.5386,19.6895,10058,
4bc8c2,2026-04-12 11:28:06+00:00,46.6372,19.5017,10363,
