icao24,time,lat,lon,altitude,velocity
4bc8d3,2026-04-11 18:55:57+00:00,47.5941,7.5263,304,
4bc8d3,2026-04-11 18:56:04+00:00,47.5897,7.5294,304,
4bc8d3,2026-04-11 18:56:24+00:00,47.5765,7.5384,609,
4bc8d3,2026-04-11 18:56:31+00:00,47.5717,7.5411,914,
4bc8d3,2026-04-11 18:56:38+00:00,47.5669,7.5415,914,
4bc8d3,2026-04-11 18:56:46+00:00,47.562,7.539,914,
4bc8d3,2026-04-11 18:56:53+00:00,47.5581,7.5341,1219,
4bc8d3,2026-04-11 18:57:00+00:00,47.5556,7.5273,1219,
4bc8d3,2026-04-11 18:57:06+00:00,47.5549,7.5194,1219,
4bc8d3,2026-04-11 18:57:14+00:00,47.5565,7.5106,1524,
4bc8d3,2026-04-11 18:57:19+00:00,47.5593,7.5043,1524,
4bc8d3,2026-04-11 18:57:26+00:00,47.5646,7.4979,1524,
4bc8d3,2026-04-11 18:57:35+00:00,47.572,7.4918,1828,
4bc8d3,2026-04-11 18:57:42+00:00,47.579,7.4877,1828,
4bc8d3,2026-04-11 18:57:48+00:00,47.5865,7.4843,1828,
4bc8d3,2026-04-11 18:57:56+00:00,47.5946,7.4814,1828,
4bc8d3,2026-04-11 18:58:08+00:00,47.6095,7.4772,2133,
4bc8d3,2026-04-11 18:58:16+00:00,47.6178,7.4752,2438,
4bc8d3,2026-04-11 18:58:22+00:00,47.6249,7.4748,2438,
4bc8d3,2026-04-11 18:58:28+00:00,47.6332,7.4761,2438,
4bc8d3,2026-04-11 18:58:36+00:00,47.6422,7.4801,2743,
4bc8d3,2026-04-11 18:58:42+00:00,47.6489,7.485,2743,
4bc8d3,2026-04-11 18:58:49+00:00,47.656,7.4926,2743,
4bc8d3,2026-04-11 18:58:56+00:00,47.6621,7.5026,2743,
4bc8d3,2026-04-11 18:59:03+00:00,47.6667,7.5145,2743,
4bc8d3,2026-04-11 18:59:09+00:00,47.6697,7.5277,3048,
4bc8d3,2026-04-11 18:59:17+00:00,47.6717,7.5429,3048,
4bc8d3,2026-04-11 19:00:01+00:00,47.6835,7.6437,3048,
4bc8d3,2026-04-11 19:00:20+00:00,47.6898,7.6918,3352,
4bc8d3,2026-04-11 19:00:41+00:00,47.6966,7.7418,3657,
4bc8d3,2026-04-11 19:00:55+00:00,47.7038,7.7782,3962,
4bc8d3,2026-04-11 19:01:02+00:00,47.7061,7.7949,3962,
4bc8d3,2026-04-11 19:01:08+00:00,47.7068,7.812,4267,
4bc8d3,2026-04-11 19:01:16+00:00,47.7055,7.8314,4267,
4bc8d3,2026-04-11 19:01:23+00:00,47.7031,7.8494,4572,
4bc8d3,2026-04-11 19:01:29+00:00,47.7007,7.8647,4572,
4bc8d3,2026-04-11 19:01:36+00:00,47.6976,7.8827,4572,
4bc8d3,2026-04-11 19:01:51+00:00,47.6905,7.922,4876,
4bc8d3,2026-04-11 19:01:57+00:00,47.6872,7.9394,5181,
4bc8d3,2026-04-11 19:02:05+00:00,47.6834,7.9575,5181,
4bc8d3,2026-04-11 19:02:12+00:00,47.6789,7.9757,5181,
4bc8d3,2026-04-11 19:02:17+00:00,47.6749,7.9899,5486,
4bc8d3,2026-04-11 19:02:31+00:00,47.6641,8.0245,5486,
4bc8d3,2026-04-11 19:02:51+00:00,47.648,8.0746,5791,
4bc8d3,2026-04-11 19:03:12+00:00,47.6307,8.1291,6096,
4bc8d3,2026-04-11 19:03:26+00:00,47.6195,8.165,6400,
4bc8d3,2026-04-11 19:03:50+00:00,47.6003,8.2254,6705,
4bc8d3,2026-04-11 19:04:15+00:00,47.5785,8.294,7010,
4bc8d3,2026-04-11 19:04:37+00:00,47.5605,8.3502,7315,
4bc8d3,2026-04-11 19:04:44+00:00,47.5538,8.3716,7620,
4bc8d3,2026-04-11 19:04:51+00:00,47.5482,8.3907,7620,
4bc8d3,2026-04-11 19:04:58+00:00,47.5435,8.4111,7620,
4bc8d3,2026-04-11 19:05:05+00:00,47.54,8.4325,7620,
4bc8d3,2026-04-11 19:05:13+00:00,47.5377,8.4545,7620,
4bc8d3,2026-04-11 19:05:40+00:00,47.5296,8.5374,7924,
4bc8d3,2026-04-11 19:06:03+00:00,47.5216,8.6107,8229,
4bc8d3,2026-04-11 19:06:30+00:00,47.5124,8.6938,8534,
4bc8d3,2026-04-11 19:07:05+00:00,47.5002,8.8027,8839,
4bc8d3,2026-04-11 19:07:47+00:00,47.4851,8.9367,9144,
4bc8d3,2026-04-11 19:08:18+00:00,47.4739,9.0359,9448,
4bc8d3,2026-04-11 19:08:45+00:00,47.4641,9.1221,9753,
4bc8d3,2026-04-11 19:09:13+00:00,47.4541,9.2094,10058,
4bc8d3,2026-04-11 19:10:32+00:00,47.4252,9.4557,10363,
4bc8d3,2026-04-11 19:12:51+00:00,47.3728,9.8944,10668,
4bc8d3,2026-04-11 19:13:07+00:00,47.3667,9.9445,10363,
4bc8d3,2026-04-11 19:16:53+00:00,47.2736,10.6517,10668,
4bc8d3,2026-04-11 19:23:19+00:00,47.0836,11.8507,10668,
4bc8d3,2026-04-11 19:23:32+00:00,47.0761,11.8926,10363,
4bc8d3,2026-04-11 19:24:02+00:00,47.0577,11.9814,10363,
4bc8d3,2026-04-11 19:25:13+00:00,47.013,12.1998,10668,
4bc8d3,2026-04-11 19:29:01+00:00,46.869,12.8868,10972,
4bc8d3,2026-04-11 19:29:51+00:00,46.8371,13.0362,11277,
