icao24,time,lat,lon,altitude,velocity
80161c,2026-04-12 12:55:16+00:00,28.565,77.0946,304,
80161c,2026-04-12 12:55:38+00:00,28.5688,77.076,304,
80161c,2026-04-12 12:56:14+00:00,28.577,77.0418,609,
80161c,2026-04-12 12:56:45+00:00,28.5853,77.005,914,
80161c,2026-04-12 12:57:03+00:00,28.5907,76.9816,1219,
80161c,2026-04-12 12:57:24+00:00,28.5973,76.9536,1524,
80161c,2026-04-12 12:57:49+00:00,28.6051,76.9198,1828,
80161c,2026-04-12 12:57:59+00:00,28.6078,76.9076,2133,
80161c,2026-04-12 12:58:07+00:00,28.6099,76.8962,2133,
80161c,2026-04-12 12:58:15+00:00,28.6104,76.8853,2133,
80161c,2026-04-12 12:58:20+00:00,28.6094,76.877,2133,
80161c,2026-04-12 12:58:26+00:00,28.6071,76.8685,2133,
80161c,2026-04-12 12:58:32+00:00,28.6037,76.8611,2133,
80161c,2026-04-12 12:58:37+00:00,28.5995,76.8549,2438,
80161c,2026-04-12 12:58:45+00:00,28.5924,76.8477,2438,
80161c,2026-04-12 12:58:50+00:00,28.5859,76.8434,2438,
80161c,2026-04-12 12:58:56+00:00,28.5782,76.84,2438,
80161c,2026-04-12 13:00:07+00:00,28.4857,76.8058,2438,
80161c,2026-04-12 13:01:56+00:00,28.3428,76.7533,2743,
80161c,2026-04-12 13:02:26+00:00,28.3031,76.7388,3048,
80161c,2026-04-12 13:02:39+00:00,28.2862,76.7324,3352,
80161c,2026-04-12 13:02:57+00:00,28.2604,76.7212,3352,
80161c,2026-04-12 13:03:16+00:00,28.2345,76.7099,3657,
