icao24,time,lat,lon,altitude,velocity
80162a,2026-04-12 12:29:48+00:00,11.4422,78.2144,3962,
80162a,2026-04-12 12:39:03+00:00,12.0621,78.065,3962,
80162a,2026-04-12 12:39:14+00:00,12.0739,78.0622,3657,
80162a,2026-04-12 12:39:24+00:00,12.0856,78.0594,3962,
80162a,2026-04-12 12:39:36+00:00,12.0987,78.0562,3657,
80162a,2026-04-12 12:40:39+00:00,12.1671,78.0397,3962,
80162a,2026-04-12 12:40:46+00:00,12.1747,78.0375,3962,
80162a,2026-04-12 12:40:52+00:00,12.1816,78.0341,3962,
80162a,2026-04-12 12:41:16+00:00,12.2043,78.0189,3962,
80162a,2026-04-12 12:41:22+00:00,12.2098,78.0151,3657,
80162a,2026-04-12 12:48:33+00:00,12.6325,77.7292,3962,
80162a,2026-04-12 12:50:17+00:00,12.7421,77.6549,3657,
80162a,2026-04-12 12:52:06+00:00,12.8577,77.5764,3352,
80162a,2026-04-12 12:53:47+00:00,12.9637,77.5045,3048,
80162a,2026-04-12 12:54:35+00:00,13.0148,77.4698,2743,
80162a,2026-04-12 12:54:41+00:00,13.0215,77.4656,2743,
80162a,2026-04-12 12:54:47+00:00,13.0287,77.462,2743,
80162a,2026-04-12 12:54:53+00:00,13.0355,77.4593,2743,
80162a,2026-04-12 12:55:45+00:00,13.0968,77.4367,2438,
80162a,2026-04-12 12:55:57+00:00,13.111,77.4314,2133,
