icao24,time,lat,lon,altitude,velocity
80164b,2026-04-12 12:47:01+00:00,26.1232,91.2934,5486,
80164b,2026-04-12 12:47:05+00:00,26.1211,91.2888,5486,
80164b,2026-04-12 12:47:11+00:00,26.1186,91.2818,5486,
80164b,2026-04-12 12:47:18+00:00,26.1159,91.2722,5486,
80164b,2026-04-12 12:47:25+00:00,26.1148,91.2642,5791,
80164b,2026-04-12 12:47:30+00:00,26.1151,91.2567,5791,
80164b,2026-04-12 12:47:36+00:00,26.1169,91.2494,5791,
80164b,2026-04-12 12:47:42+00:00,26.1191,91.2436,5791,
80164b,2026-04-12 12:47:47+00:00,26.122,91.2372,6096,
80164b,2026-04-12 12:48:10+00:00,26.1341,91.2113,6096,
80164b,2026-04-12 12:48:40+00:00,26.1499,91.1773,6400,
80164b,2026-04-12 12:49:00+00:00,26.1611,91.154,6705,
80164b,2026-04-12 12:49:22+00:00,26.1719,91.1263,6705,
80164b,2026-04-12 12:49:53+00:00,26.1796,91.0859,7010,
80164b,2026-04-12 12:50:29+00:00,26.1888,91.0385,7315,
80164b,2026-04-12 12:50:59+00:00,26.1967,90.9976,7620,
80164b,2026-04-12 12:51:35+00:00,26.2064,90.9472,7924,
80164b,2026-04-12 12:52:24+00:00,26.2198,90.878,8229,
80164b,2026-04-12 12:53:06+00:00,26.2318,90.8162,8534,
80164b,2026-04-12 12:53:37+00:00,26.2405,90.771,8839,
80164b,2026-04-12 12:54:24+00:00,26.2542,90.7001,9144,
80164b,2026-04-12 12:56:21+00:00,26.2908,90.5086,9448,
80164b,2026-04-12 12:57:17+00:00,26.3103,90.4064,9753,
80164b,2026-04-12 12:58:02+00:00,26.3251,90.3284,10058,
80164b,2026-04-12 13:00:32+00:00,26.3754,90.0616,10363,
80164b,2026-04-12 13:02:21+00:00,26.4113,89.869,10058,
80164b,2026-04-12 13:09:00+00:00,26.5415,89.1569,10363,
