icao24,time,lat,lon,altitude,velocity
80167d,2026-04-12 12:40:51+00:00,24.466,54.7938,2743,
80167d,2026-04-12 12:43:00+00:00,24.3677,54.9821,4572,
80167d,2026-04-12 12:43:14+00:00,24.3559,55.0034,4876,
80167d,2026-04-12 12:43:15+00:00,24.355,55.0048,4876,
80167d,2026-04-12 12:43:26+00:00,24.3441,55.0188,4876,
80167d,2026-04-12 12:43:32+00:00,24.3374,55.0257,4876,
80167d,2026-04-12 12:44:12+00:00,24.2881,55.0717,4876,
80167d,2026-04-12 12:44:56+00:00,24.2293,55.1259,5181,
80167d,2026-04-12 12:45:59+00:00,24.1416,55.2068,5486,
80167d,2026-04-12 12:46:30+00:00,24.0973,55.247,5791,
80167d,2026-04-12 12:47:01+00:00,24.0547,55.289,5791,
80167d,2026-04-12 12:47:06+00:00,24.0488,55.2979,5791,
80167d,2026-04-12 12:47:12+00:00,24.0432,55.309,5791,
80167d,2026-04-12 12:47:16+00:00,24.0404,55.3165,5791,
80167d,2026-04-12 12:47:20+00:00,24.0379,55.3251,5791,
80167d,2026-04-12 12:47:27+00:00,24.0352,55.3394,5791,
80167d,2026-04-12 12:47:35+00:00,24.034,55.3572,5791,
80167d,2026-04-12 12:47:41+00:00,24.0347,55.369,5791,
80167d,2026-04-12 12:49:27+00:00,24.0578,55.6,5791,
80167d,2026-04-12 12:49:34+00:00,24.0584,55.6156,5791,
80167d,2026-04-12 12:49:37+00:00,24.0582,55.6229,5791,
80167d,2026-04-12 12:49:46+00:00,24.0559,55.643,5791,
80167d,2026-04-12 12:49:53+00:00,24.0525,55.6581,5791,
80167d,2026-04-12 12:49:58+00:00,24.0493,55.6687,5791,
80167d,2026-04-12 12:50:04+00:00,24.0438,55.6824,5791,
80167d,2026-04-12 12:51:03+00:00,23.9908,55.7952,5791,
80167d,2026-04-12 12:51:53+00:00,23.9464,55.8883,6096,
80167d,2026-04-12 12:52:36+00:00,23.9072,55.9703,6400,
80167d,2026-04-12 12:53:12+00:00,23.8739,56.0395,6705,
80167d,2026-04-12 12:54:04+00:00,23.8249,56.1417,7010,
80167d,2026-04-12 12:54:47+00:00,23.7831,56.2286,7315,
80167d,2026-04-12 12:55:31+00:00,23.7403,56.3175,7620,
80167d,2026-04-12 12:56:19+00:00,23.6927,56.4164,7924,
80167d,2026-04-12 12:57:09+00:00,23.6433,56.5188,8229,
80167d,2026-04-12 12:57:20+00:00,23.6325,56.5411,8534,
80167d,2026-04-12 13:03:05+00:00,23.2672,57.3085,9448,
