icao24,time,lat,lon,altitude,velocity
80167f,2026-04-11 19:01:07+00:00,22.6616,88.4486,0,
80167f,2026-04-11 19:01:29+00:00,22.6462,88.4469,0,
80167f,2026-04-11 19:01:29+00:00,22.6462,88.4469,304,
80167f,2026-04-11 19:01:49+00:00,22.6319,88.4454,304,
80167f,2026-04-11 19:01:58+00:00,22.6259,88.4435,304,
80167f,2026-04-11 19:02:04+00:00,22.6215,88.4403,304,
80167f,2026-04-11 19:02:11+00:00,22.6176,88.4351,304,
80167f,2026-04-11 19:02:13+00:00,22.6171,88.434,609,
80167f,2026-04-11 19:02:48+00:00,22.6087,88.3974,609,
80167f,2026-04-11 19:03:08+00:00,22.6032,88.3727,914,
80167f,2026-04-11 19:03:33+00:00,22.5963,88.3423,1219,
80167f,2026-04-11 19:03:49+00:00,22.5915,88.3211,1524,
80167f,2026-04-11 19:04:08+00:00,22.5859,88.2967,1828,
80167f,2026-04-11 19:04:22+00:00,22.5818,88.279,2133,
80167f,2026-04-11 19:04:29+00:00,22.5798,88.2694,2133,
80167f,2026-04-11 19:04:36+00:00,22.579,88.2599,2438,
80167f,2026-04-11 19:04:45+00:00,22.5803,88.2491,2438,
80167f,2026-04-11 19:04:51+00:00,22.583,88.2406,2438,
80167f,2026-04-11 19:04:59+00:00,22.5869,88.2321,2743,
80167f,2026-04-11 19:05:06+00:00,22.5908,88.2239,2743,
80167f,2026-04-11 19:05:33+00:00,22.6064,88.1903,3048,
80167f,2026-04-11 19:06:01+00:00,22.623,88.1545,3352,
80167f,2026-04-11 19:06:22+00:00,22.6362,88.1264,3657,
80167f,2026-04-11 19:06:30+00:00,22.6412,88.1168,3962,
80167f,2026-04-11 19:06:50+00:00,22.6564,88.0897,3962,
80167f,2026-04-11 19:07:26+00:00,22.6837,88.0415,4267,
80167f,2026-04-11 19:07:56+00:00,22.7079,87.9983,4572,
80167f,2026-04-11 19:08:24+00:00,22.7316,87.9562,4876,
80167f,2026-04-11 19:08:52+00:00,22.7542,87.9161,5181,
80167f,2026-04-11 19:09:13+00:00,22.7716,87.885,5486,
80167f,2026-04-11 19:09:42+00:00,22.7955,87.8425,5791,
80167f,2026-04-11 19:10:11+00:00,22.8197,87.7991,6096,
80167f,2026-04-11 19:10:40+00:00,22.8441,87.7556,6400,
80167f,2026-04-11 19:11:16+00:00,22.874,87.7023,6705,
80167f,2026-04-11 19:11:50+00:00,22.9034,87.6495,7010,
80167f,2026-04-11 19:12:44+00:00,22.9499,87.5663,7315,
80167f,2026-04-11 19:13:37+00:00,22.998,87.4801,7620,
80167f,2026-04-11 19:14:23+00:00,23.0405,87.4037,7924,
80167f,2026-04-11 19:15:20+00:00,23.094,87.3073,8229,
80167f,2026-04-11 19:16:10+00:00,23.142,87.2209,8534,
80167f,2026-04-11 19:17:08+00:00,23.1977,87.1202,8839,
80167f,2026-04-11 19:18:15+00:00,23.2633,87.0015,9144,
80167f,2026-04-11 19:18:53+00:00,23.3002,86.9346,9448,
80167f,2026-04-11 19:19:41+00:00,23.3466,86.8502,9753,
80167f,2026-04-11 19:20:34+00:00,23.397,86.7586,10058,
80167f,2026-04-11 19:21:33+00:00,23.4517,86.6588,10363,
80167f,2026-04-11 19:22:41+00:00,23.5159,86.5418,10668,
80167f,2026-04-11 19:23:55+00:00,23.5835,86.4179,10972,
80167f,2026-04-11 19:25:20+00:00,23.6626,86.2726,11277,
80167f,2026-04-11 19:28:39+00:00,23.8445,85.9369,11582,
80167f,2026-04-11 19:29:01+00:00,23.8651,85.8988,11277,
80167f,2026-04-11 19:29:44+00:00,23.9043,85.826,11582,
