icao24,time,lat,lon,altitude,velocity
841a6c,2026-04-12 12:46:35+00:00,35.5448,139.8016,0,
841a6c,2026-04-12 12:46:41+00:00,35.5413,139.8042,0,
841a6c,2026-04-12 12:46:48+00:00,35.5378,139.8075,0,
841a6c,2026-04-12 12:46:53+00:00,35.5347,139.8109,304,
841a6c,2026-04-12 12:47:02+00:00,35.5305,139.8161,304,
841a6c,2026-04-12 12:47:13+00:00,35.5246,139.8237,304,
841a6c,2026-04-12 12:47:31+00:00,35.513,139.8376,304,
841a6c,2026-04-12 12:47:54+00:00,35.4964,139.858,609,
841a6c,2026-04-12 12:48:17+00:00,35.4795,139.8792,914,
841a6c,2026-04-12 12:48:28+00:00,35.4716,139.8895,1219,
841a6c,2026-04-12 12:48:33+00:00,35.4678,139.8955,1219,
841a6c,2026-04-12 12:48:39+00:00,35.4647,139.9021,1524,
841a6c,2026-04-12 12:48:45+00:00,35.4623,139.9095,1524,
841a6c,2026-04-12 12:48:51+00:00,35.4607,139.917,1524,
841a6c,2026-04-12 12:48:58+00:00,35.4598,139.9249,1828,
841a6c,2026-04-12 12:49:06+00:00,35.4601,139.9363,1828,
841a6c,2026-04-12 12:49:11+00:00,35.4609,139.9424,1828,
841a6c,2026-04-12 12:49:17+00:00,35.4628,139.9504,1828,
841a6c,2026-04-12 12:49:23+00:00,35.4656,139.9578,2133,
841a6c,2026-04-12 12:49:29+00:00,35.4694,139.9648,2133,
841a6c,2026-04-12 12:49:35+00:00,35.4736,139.9707,2133,
841a6c,2026-04-12 12:49:41+00:00,35.4784,139.9759,2438,
841a6c,2026-04-12 12:49:47+00:00,35.4842,139.9807,2438,
841a6c,2026-04-12 12:49:54+00:00,35.4913,139.9849,2438,
841a6c,2026-04-12 12:49:59+00:00,35.4966,139.987,2743,
841a6c,2026-04-12 12:50:06+00:00,35.5043,139.989,2743,
841a6c,2026-04-12 12:50:11+00:00,35.5106,139.9896,2743,
841a6c,2026-04-12 12:50:18+00:00,35.5187,139.9891,2743,
841a6c,2026-04-12 12:50:29+00:00,35.5329,139.9881,2743,
841a6c,2026-04-12 12:51:17+00:00,35.6033,139.9844,3048,
841a6c,2026-04-12 12:51:41+00:00,35.6423,139.9825,3352,
841a6c,2026-04-12 12:52:01+00:00,35.6757,139.9809,3657,
841a6c,2026-04-12 12:52:19+00:00,35.7065,139.9794,3962,
841a6c,2026-04-12 12:52:42+00:00,35.7469,139.9773,4267,
841a6c,2026-04-12 12:52:59+00:00,35.7789,139.9756,4572,
841a6c,2026-04-12 12:53:20+00:00,35.8154,139.9737,4876,
841a6c,2026-04-12 12:53:37+00:00,35.8463,139.9721,5181,
841a6c,2026-04-12 12:54:29+00:00,35.9438,139.9672,5486,
841a6c,2026-04-12 12:54:53+00:00,35.9883,139.9649,5791,
841a6c,2026-04-12 12:55:13+00:00,36.0252,139.963,6096,
841a6c,2026-04-12 12:55:39+00:00,36.0761,139.9603,6400,
841a6c,2026-04-12 12:56:09+00:00,36.1332,139.9574,6705,
841a6c,2026-04-12 12:56:39+00:00,36.195,139.9542,7010,
841a6c,2026-04-12 12:57:10+00:00,36.2585,139.951,7315,
841a6c,2026-04-12 12:57:42+00:00,36.3255,139.9476,7620,
841a6c,2026-04-12 12:58:08+00:00,36.379,139.9449,7924,
841a6c,2026-04-12 12:58:26+00:00,36.4182,139.9432,8229,
841a6c,2026-04-12 12:58:33+00:00,36.4324,139.9433,8229,
841a6c,2026-04-12 12:58:45+00:00,36.4573,139.9445,8534,
841a6c,2026-04-12 12:58:57+00:00,36.4825,139.9455,8534,
841a6c,2026-04-12 12:59:15+00:00,36.5218,139.9471,8839,
841a6c,2026-04-12 12:59:42+00:00,36.576,139.9491,9144,
841a6c,2026-04-12 13:00:14+00:00,36.6419,139.9518,9448,
841a6c,2026-04-12 13:00:44+00:00,36.7028,139.9543,9753,
841a6c,2026-04-12 13:01:09+00:00,36.7542,139.9565,10058,
841a6c,2026-04-12 13:01:44+00:00,36.8242,139.9595,10363,
841a6c,2026-04-12 13:01:57+00:00,36.85,139.9607,10668,
841a6c,2026-04-12 13:02:03+00:00,36.8624,139.9616,10668,
841a6c,2026-04-12 13:02:10+00:00,36.8764,139.9634,10668,
841a6c,2026-04-12 13:02:16+00:00,36.8882,139.9655,10668,
841a6c,2026-04-12 13:02:22+00:00,36.9,139.9681,10972,
841a6c,2026-04-12 13:02:58+00:00,36.9723,139.9867,10972,
841a6c,2026-04-12 13:03:42+00:00,37.0601,140.0091,11277,
841a6c,2026-04-12 13:04:31+00:00,37.1571,140.0344,11582,
841a6c,2026-04-12 13:04:56+00:00,37.2067,140.0473,11887,
841a6c,2026-04-12 13:05:03+00:00,37.2203,140.0509,11582,
841a6c,2026-04-12 13:05:09+00:00,37.2318,140.0539,11887,
841a6c,2026-04-12 13:05:27+00:00,37.2679,140.0631,11582,
841a6c,2026-04-12 13:06:50+00:00,37.4337,140.106,11887,
