icao24,time,lat,lon,altitude,velocity
8744f6,2026-04-12 12:23:11+00:00,35.5471,139.7782,-304,
8744f6,2026-04-12 12:23:17+00:00,35.5432,139.781,-304,
8744f6,2026-04-12 12:23:41+00:00,35.5268,139.7929,0,
8744f6,2026-04-12 12:23:58+00:00,35.5154,139.8009,304,
8744f6,2026-04-12 12:24:16+00:00,35.5031,139.8093,609,
8744f6,2026-04-12 12:24:22+00:00,35.4985,139.8118,609,
8744f6,2026-04-12 12:24:27+00:00,35.4946,139.8129,609,
8744f6,2026-04-12 12:24:32+00:00,35.4906,139.8133,914,
8744f6,2026-04-12 12:24:38+00:00,35.4857,139.8124,914,
8744f6,2026-04-12 12:24:43+00:00,35.482,139.811,914,
8744f6,2026-04-12 12:25:21+00:00,35.4457,139.7972,914,
8744f6,2026-04-12 12:25:44+00:00,35.4202,139.7875,1219,
8744f6,2026-04-12 12:25:49+00:00,35.415,139.7852,1524,
8744f6,2026-04-12 12:25:54+00:00,35.4095,139.7821,1524,
8744f6,2026-04-12 12:26:00+00:00,35.4033,139.7777,1524,
8744f6,2026-04-12 12:26:05+00:00,35.3985,139.7734,1828,
8744f6,2026-04-12 12:26:11+00:00,35.3934,139.768,1828,
8744f6,2026-04-12 12:26:17+00:00,35.3881,139.7607,1828,
8744f6,2026-04-12 12:26:24+00:00,35.3827,139.7529,1828,
8744f6,2026-04-12 12:26:46+00:00,35.3647,139.7265,2133,
8744f6,2026-04-12 12:27:07+00:00,35.3464,139.6996,2438,
8744f6,2026-04-12 12:27:24+00:00,35.3318,139.6782,2743,
8744f6,2026-04-12 12:27:46+00:00,35.3128,139.6504,3048,
8744f6,2026-04-12 12:28:31+00:00,35.2673,139.584,3352,
8744f6,2026-04-12 12:28:42+00:00,35.2554,139.5666,3657,
8744f6,2026-04-12 12:28:48+00:00,35.2489,139.5566,3657,
8744f6,2026-04-12 12:28:54+00:00,35.2429,139.5464,3657,
8744f6,2026-04-12 12:28:59+00:00,35.2384,139.5374,3657,
8744f6,2026-04-12 12:29:05+00:00,35.2333,139.5257,3962,
8744f6,2026-04-12 12:29:10+00:00,35.2296,139.5157,3962,
8744f6,2026-04-12 12:29:16+00:00,35.2258,139.5037,3962,
8744f6,2026-04-12 12:29:22+00:00,35.2226,139.4911,4267,
8744f6,2026-04-12 12:29:27+00:00,35.2205,139.4808,4267,
8744f6,2026-04-12 12:29:38+00:00,35.2167,139.4575,4267,
8744f6,2026-04-12 12:29:55+00:00,35.2107,139.4213,4572,
8744f6,2026-04-12 12:30:17+00:00,35.2029,139.3727,4876,
8744f6,2026-04-12 12:30:41+00:00,35.1941,139.3198,5181,
8744f6,2026-04-12 12:31:03+00:00,35.1861,139.2707,5486,
8744f6,2026-04-12 12:31:25+00:00,35.1782,139.2209,5791,
8744f6,2026-04-12 12:31:42+00:00,35.1719,139.1814,6096,
8744f6,2026-04-12 12:32:09+00:00,35.1617,139.12,6400,
8744f6,2026-04-12 12:32:33+00:00,35.1523,139.0646,6705,
8744f6,2026-04-12 12:33:08+00:00,35.1386,138.9828,7010,
8744f6,2026-04-12 12:33:36+00:00,35.1273,138.9146,7315,
8744f6,2026-04-12 12:34:15+00:00,35.1116,138.8203,7010,
8744f6,2026-04-12 12:34:21+00:00,35.1091,138.8052,7315,
8744f6,2026-04-12 12:34:26+00:00,35.1072,138.7943,7010,
8744f6,2026-04-12 12:34:32+00:00,35.1046,138.7787,7315,
8744f6,2026-04-12 12:34:45+00:00,35.0993,138.7469,7010,
8744f6,2026-04-12 12:35:07+00:00,35.0902,138.6932,7315,
8744f6,2026-04-12 12:35:18+00:00,35.0856,138.666,7010,
8744f6,2026-04-12 12:35:24+00:00,35.0832,138.6516,7315,
8744f6,2026-04-12 12:35:59+00:00,35.0686,138.5655,7010,
8744f6,2026-04-12 12:36:04+00:00,35.0666,138.5537,7315,
8744f6,2026-04-12 12:36:10+00:00,35.064,138.5387,7010,
8744f6,2026-04-12 12:36:15+00:00,35.0621,138.5275,7315,
8744f6,2026-04-12 12:36:21+00:00,35.0595,138.512,7010,
8744f6,2026-04-12 12:36:26+00:00,35.0575,138.5002,7315,
8744f6,2026-04-12 12:36:32+00:00,35.055,138.4855,7010,
8744f6,2026-04-12 12:36:55+00:00,35.0453,138.429,7315,
8744f6,2026-04-12 12:37:00+00:00,35.0431,138.4162,7010,
8744f6,2026-04-12 12:37:45+00:00,35.0239,138.3047,7315,
8744f6,2026-04-12 12:38:08+00:00,35.0141,138.2477,7010,
8744f6,2026-04-12 12:38:13+00:00,35.012,138.2355,7315,
8744f6,2026-04-12 12:38:37+00:00,35.0015,138.177,7010,
8744f6,2026-04-12 12:38:45+00:00,34.9972,138.1566,7315,
8744f6,2026-04-12 12:38:57+00:00,34.9902,138.1274,7315,
8744f6,2026-04-12 12:39:08+00:00,34.9831,138.1009,7315,
8744f6,2026-04-12 12:39:20+00:00,34.9744,138.0721,7010,
8744f6,2026-04-12 12:39:25+00:00,34.9708,138.0606,7315,
8744f6,2026-04-12 12:39:54+00:00,34.9495,137.9921,7010,
8744f6,2026-04-12 12:40:33+00:00,34.9209,137.9004,7315,
8744f6,2026-04-12 12:40:39+00:00,34.9165,137.8863,7010,
8744f6,2026-04-12 12:40:46+00:00,34.9118,137.8713,7315,
8744f6,2026-04-12 12:40:53+00:00,34.9063,137.8537,7010,
8744f6,2026-04-12 12:41:22+00:00,34.8851,137.7865,7315,
8744f6,2026-04-12 12:42:19+00:00,34.8435,137.6542,7010,
8744f6,2026-04-12 12:42:58+00:00,34.8145,137.5627,6705,
8744f6,2026-04-12 12:44:43+00:00,34.7382,137.3218,6400,
8744f6,2026-04-12 12:46:03+00:00,34.6797,137.1391,6096,
8744f6,2026-04-12 12:47:16+00:00,34.627,136.9751,5791,
8744f6,2026-04-12 12:47:37+00:00,34.612,136.9291,5486,
8744f6,2026-04-12 12:48:39+00:00,34.5681,136.7936,5181,
8744f6,2026-04-12 12:49:23+00:00,34.5376,136.6996,5486,
8744f6,2026-04-12 12:49:46+00:00,34.5218,136.6511,5181,
8744f6,2026-04-12 12:50:31+00:00,34.4927,136.5617,5486,
