icao24,time,lat,lon,altitude,velocity
8a02cb,2026-04-12 12:40:38+00:00,0.8234,104.7595,10972,
8a02cb,2026-04-12 12:41:35+00:00,0.8986,104.6613,10972,
8a02cb,2026-04-12 12:43:14+00:00,1.0329,104.4858,10668,
8a02cb,2026-04-12 12:48:45+00:00,1.4801,103.9017,10972,
8a02cb,2026-04-12 12:48:57+00:00,1.4962,103.8807,10668,
8a02cb,2026-04-12 12:50:44+00:00,1.6399,103.6921,10972,
8a02cb,2026-04-12 12:50:56+00:00,1.6533,103.6724,10972,
8a02cb,2026-04-12 12:51:07+00:00,1.6656,103.6528,10668,
8a02cb,2026-04-12 12:51:21+00:00,1.6814,103.6249,10668,
8a02cb,2026-04-12 12:51:24+00:00,1.6836,103.6208,10668,
8a02cb,2026-04-12 12:51:59+00:00,1.7179,103.5514,10668,
8a02cb,2026-04-12 12:53:03+00:00,1.7801,103.4247,10363,
8a02cb,2026-04-12 12:53:59+00:00,1.8346,103.3138,10058,
8a02cb,2026-04-12 12:54:48+00:00,1.8812,103.2188,9753,
8a02cb,2026-04-12 12:55:30+00:00,1.9214,103.1368,9448,
8a02cb,2026-04-12 12:55:40+00:00,1.9315,103.1163,9144,
8a02cb,2026-04-12 12:56:14+00:00,1.965,103.0479,8839,
8a02cb,2026-04-12 12:56:33+00:00,1.9832,103.0108,8534,
8a02cb,2026-04-12 12:56:58+00:00,2.007,102.9621,8229,
8a02cb,2026-04-12 12:57:23+00:00,2.0308,102.9136,7924,
8a02cb,2026-04-12 12:57:49+00:00,2.0541,102.8657,7620,
8a02cb,2026-04-12 12:58:16+00:00,2.0787,102.8155,7315,
8a02cb,2026-04-12 12:58:56+00:00,2.1145,102.7434,7010,
8a02cb,2026-04-12 12:59:02+00:00,2.1204,102.7317,6705,
