icao24,time,lat,lon,altitude,velocity
a0e250,2026-04-12 11:32:53+00:00,35.8941,-78.7779,0,
a0e250,2026-04-12 11:32:58+00:00,35.8969,-78.7748,0,
a0e250,2026-04-12 11:33:03+00:00,35.9003,-78.7719,304,
a0e250,2026-04-12 11:33:08+00:00,35.9039,-78.7698,304,
a0e250,2026-04-12 11:33:13+00:00,35.9075,-78.7679,304,
a0e250,2026-04-12 11:33:42+00:00,35.9314,-78.7572,304,
a0e250,2026-04-12 11:34:25+00:00,35.9727,-78.7372,609,
a0e250,2026-04-12 11:34:30+00:00,35.9783,-78.7356,609,
a0e250,2026-04-12 11:34:34+00:00,35.9836,-78.7352,609,
a0e250,2026-04-12 11:34:41+00:00,35.9915,-78.7362,609,
a0e250,2026-04-12 11:34:46+00:00,35.9975,-78.7383,609,
a0e250,2026-04-12 11:34:51+00:00,36.0032,-78.7418,914,
a0e250,2026-04-12 11:34:55+00:00,36.0081,-78.746,914,
a0e250,2026-04-12 11:35:00+00:00,36.0129,-78.7512,914,
a0e250,2026-04-12 11:35:04+00:00,36.0163,-78.7555,914,
a0e250,2026-04-12 11:35:10+00:00,36.0207,-78.7612,914,
a0e250,2026-04-12 11:35:30+00:00,36.0376,-78.7839,1219,
a0e250,2026-04-12 11:35:35+00:00,36.0415,-78.7893,1524,
a0e250,2026-04-12 11:35:40+00:00,36.0455,-78.7958,1524,
a0e250,2026-04-12 11:35:45+00:00,36.0485,-78.8021,1524,
a0e250,2026-04-12 11:35:49+00:00,36.0508,-78.8087,1524,
a0e250,2026-04-12 11:35:54+00:00,36.0522,-78.8149,1524,
a0e250,2026-04-12 11:35:59+00:00,36.053,-78.8226,1524,
a0e250,2026-04-12 11:36:03+00:00,36.0528,-78.8302,1524,
a0e250,2026-04-12 11:36:09+00:00,36.0514,-78.8377,1524,
a0e250,2026-04-12 11:36:13+00:00,36.0494,-78.8448,1524,
a0e250,2026-04-12 11:36:42+00:00,36.0359,-78.8842,1524,
a0e250,2026-04-12 11:37:07+00:00,36.0239,-78.9207,1828,
a0e250,2026-04-12 11:37:36+00:00,36.0105,-78.9615,2133,
a0e250,2026-04-12 11:38:05+00:00,35.9959,-79.0056,2438,
a0e250,2026-04-12 11:38:37+00:00,35.9799,-79.0536,2743,
a0e250,2026-04-12 11:39:38+00:00,35.9447,-79.1585,3048,
a0e250,2026-04-12 11:40:42+00:00,35.902,-79.2851,3352,
a0e250,2026-04-12 11:41:10+00:00,35.882,-79.3439,3657,
a0e250,2026-04-12 11:41:34+00:00,35.8651,-79.3943,3962,
a0e250,2026-04-12 11:42:08+00:00,35.8412,-79.4647,4267,
a0e250,2026-04-12 11:42:32+00:00,35.8241,-79.5156,4572,
a0e250,2026-04-12 11:42:37+00:00,35.8208,-79.5267,4572,
a0e250,2026-04-12 11:42:42+00:00,35.818,-79.5375,4572,
a0e250,2026-04-12 11:42:47+00:00,35.8154,-79.5491,4572,
a0e250,2026-04-12 11:42:52+00:00,35.8135,-79.5597,4876,
a0e250,2026-04-12 11:43:19+00:00,35.8029,-79.6218,4876,
a0e250,2026-04-12 11:44:04+00:00,35.7852,-79.7246,5181,
a0e250,2026-04-12 11:44:48+00:00,35.7675,-79.8279,5486,
a0e250,2026-04-12 11:45:20+00:00,35.7545,-79.9034,5791,
a0e250,2026-04-12 11:46:12+00:00,35.7331,-80.0269,6096,
a0e250,2026-04-12 11:47:07+00:00,35.7098,-80.1604,6400,
a0e250,2026-04-12 11:48:08+00:00,35.6835,-80.3093,6705,
a0e250,2026-04-12 11:48:59+00:00,35.6609,-80.4359,7010,
a0e250,2026-04-12 11:49:04+00:00,35.6581,-80.4482,7010,
a0e250,2026-04-12 11:49:10+00:00,35.6544,-80.462,7010,
a0e250,2026-04-12 11:49:15+00:00,35.6504,-80.4744,7010,
a0e250,2026-04-12 11:49:20+00:00,35.646,-80.4866,7010,
a0e250,2026-04-12 11:49:25+00:00,35.6408,-80.4991,7010,
a0e250,2026-04-12 11:49:30+00:00,35.6353,-80.5106,7315,
a0e250,2026-04-12 11:50:10+00:00,35.5879,-80.5995,7315,
a0e250,2026-04-12 11:51:04+00:00,35.5247,-80.718,7620,
a0e250,2026-04-12 11:52:02+00:00,35.4565,-80.8448,7924,
a0e250,2026-04-12 11:52:59+00:00,35.3895,-80.9691,8229,
a0e250,2026-04-12 11:53:58+00:00,35.32,-81.0977,8534,
a0e250,2026-04-12 11:54:54+00:00,35.2549,-81.2178,8839,
a0e250,2026-04-12 11:56:08+00:00,35.1681,-81.3769,9144,
a0e250,2026-04-12 11:57:40+00:00,35.0608,-81.5727,9448,
a0e250,2026-04-12 11:59:17+00:00,34.9457,-81.7807,9753,
a0e250,2026-04-12 12:01:36+00:00,34.779,-82.08,10058,
a0e250,2026-04-12 12:10:20+00:00,34.1433,-83.1971,10363,
a0e250,2026-04-12 12:10:25+00:00,34.1378,-83.2083,10363,
a0e250,2026-04-12 12:10:30+00:00,34.1328,-83.2197,10363,
a0e250,2026-04-12 12:10:35+00:00,34.1285,-83.2307,10363,
a0e250,2026-04-12 12:10:40+00:00,34.1247,-83.2416,10363,
a0e250,2026-04-12 12:10:46+00:00,34.1202,-83.2567,10363,
a0e250,2026-04-12 12:10:51+00:00,34.1176,-83.2673,10363,
a0e250,2026-04-12 12:10:56+00:00,34.1151,-83.2791,10363,
a0e250,2026-04-12 12:11:02+00:00,34.1128,-83.2932,10363,
a0e250,2026-04-12 12:12:41+00:00,34.0863,-83.5315,10363,
a0e250,2026-04-12 12:18:48+00:00,33.9849,-84.4269,10058,
a0e250,2026-04-12 12:33:47+00:00,33.7088,-86.6164,9753,
a0e250,2026-04-12 12:47:18+00:00,33.4796,-88.5689,9753,
a0e250,2026-04-12 12:47:33+00:00,33.4728,-88.6048,9753,
a0e250,2026-04-12 12:47:41+00:00,33.4682,-88.6258,9753,
a0e250,2026-04-12 12:57:21+00:00,33.1635,-89.9878,9753,
