icao24,time,lat,lon,altitude,velocity
a1abfc,2026-04-11 19:24:32+00:00,44.3463,-89.0362,609,
a1abfc,2026-04-11 19:24:35+00:00,44.3468,-89.0382,609,
a1abfc,2026-04-11 19:24:47+00:00,44.3486,-89.045,609,
a1abfc,2026-04-11 19:24:51+00:00,44.3494,-89.0469,609,
a1abfc,2026-04-11 19:25:19+00:00,44.3588,-89.0587,609,
a1abfc,2026-04-11 19:25:27+00:00,44.3604,-89.0627,609,
a1abfc,2026-04-11 19:25:33+00:00,44.3615,-89.0658,609,
a1abfc,2026-04-11 19:25:59+00:00,44.3624,-89.0793,609,
a1abfc,2026-04-11 19:26:43+00:00,44.3533,-89.0973,609,
a1abfc,2026-04-11 19:27:03+00:00,44.3475,-89.0999,609,
a1abfc,2026-04-11 19:27:10+00:00,44.3459,-89.0977,609,
a1abfc,2026-04-11 19:27:12+00:00,44.3456,-89.097,609,
a1abfc,2026-04-11 19:27:40+00:00,44.3499,-89.0849,609,
a1abfc,2026-04-11 19:27:42+00:00,44.3506,-89.0845,609,
a1abfc,2026-04-11 19:28:13+00:00,44.3549,-89.0932,609,
a1abfc,2026-04-11 19:28:21+00:00,44.3528,-89.0954,609,
a1abfc,2026-04-11 19:28:30+00:00,44.3503,-89.0979,609,
a1abfc,2026-04-11 19:29:28+00:00,44.333,-89.1114,609,
