icao24,time,lat,lon,altitude,velocity
a27bf2,2026-04-11 18:57:34+00:00,33.5307,-112.2929,304,
a27bf2,2026-04-11 18:58:28+00:00,33.5132,-112.303,304,
a27bf2,2026-04-11 18:58:35+00:00,33.5108,-112.3042,304,
a27bf2,2026-04-11 18:58:41+00:00,33.5087,-112.3044,304,
a27bf2,2026-04-11 18:58:48+00:00,33.5064,-112.3034,304,
a27bf2,2026-04-11 18:58:55+00:00,33.5044,-112.3009,304,
a27bf2,2026-04-11 18:59:01+00:00,33.503,-112.2983,609,
a27bf2,2026-04-11 18:59:09+00:00,33.5017,-112.295,609,
a27bf2,2026-04-11 18:59:16+00:00,33.5016,-112.2918,609,
a27bf2,2026-04-11 18:59:22+00:00,33.5024,-112.2893,609,
a27bf2,2026-04-11 18:59:29+00:00,33.5044,-112.2868,609,
a27bf2,2026-04-11 18:59:39+00:00,33.5079,-112.2842,609,
a27bf2,2026-04-11 18:59:46+00:00,33.5103,-112.2826,609,
a27bf2,2026-04-11 19:00:13+00:00,33.5201,-112.276,609,
a27bf2,2026-04-11 19:00:40+00:00,33.5298,-112.27,609,
a27bf2,2026-04-11 19:00:48+00:00,33.5329,-112.2682,609,
a27bf2,2026-04-11 19:00:55+00:00,33.5354,-112.2668,609,
a27bf2,2026-04-11 19:01:01+00:00,33.5373,-112.2656,609,
a27bf2,2026-04-11 19:01:08+00:00,33.5398,-112.2641,914,
a27bf2,2026-04-11 19:01:15+00:00,33.5425,-112.2626,914,
a27bf2,2026-04-11 19:01:22+00:00,33.5454,-112.2613,914,
a27bf2,2026-04-11 19:02:11+00:00,33.5673,-112.2526,914,
a27bf2,2026-04-11 19:02:17+00:00,33.5701,-112.2517,914,
a27bf2,2026-04-11 19:02:24+00:00,33.573,-112.2513,914,
a27bf2,2026-04-11 19:02:31+00:00,33.5765,-112.2521,609,
a27bf2,2026-04-11 19:02:38+00:00,33.5796,-112.2536,609,
a27bf2,2026-04-11 19:02:44+00:00,33.582,-112.2552,609,
a27bf2,2026-04-11 19:02:58+00:00,33.5873,-112.2589,914,
a27bf2,2026-04-11 19:03:05+00:00,33.5896,-112.2606,914,
a27bf2,2026-04-11 19:03:12+00:00,33.5918,-112.2626,914,
a27bf2,2026-04-11 19:04:15+00:00,33.6118,-112.2803,914,
a27bf2,2026-04-11 19:04:22+00:00,33.614,-112.2825,914,
a27bf2,2026-04-11 19:04:44+00:00,33.6201,-112.2891,914,
a27bf2,2026-04-11 19:04:58+00:00,33.624,-112.2938,914,
a27bf2,2026-04-11 19:05:26+00:00,33.6322,-112.3021,914,
a27bf2,2026-04-11 19:05:39+00:00,33.636,-112.3059,914,
a27bf2,2026-04-11 19:05:48+00:00,33.639,-112.3085,914,
a27bf2,2026-04-11 19:05:55+00:00,33.6415,-112.3108,1219,
a27bf2,2026-04-11 19:06:02+00:00,33.6435,-112.3127,1219,
a27bf2,2026-04-11 19:06:08+00:00,33.6451,-112.3144,1219,
a27bf2,2026-04-11 19:06:15+00:00,33.6473,-112.317,1219,
a27bf2,2026-04-11 19:06:36+00:00,33.6529,-112.3237,1219,
a27bf2,2026-04-11 19:06:43+00:00,33.6548,-112.326,1219,
a27bf2,2026-04-11 19:06:50+00:00,33.6566,-112.3285,1219,
a27bf2,2026-04-11 19:06:57+00:00,33.6586,-112.3311,1219,
a27bf2,2026-04-11 19:07:18+00:00,33.6647,-112.3378,1219,
a27bf2,2026-04-11 19:07:25+00:00,33.6668,-112.3399,1219,
a27bf2,2026-04-11 19:07:31+00:00,33.6688,-112.3417,1219,
a27bf2,2026-04-11 19:07:46+00:00,33.6739,-112.3454,1219,
a27bf2,2026-04-11 19:07:55+00:00,33.677,-112.3476,1219,
a27bf2,2026-04-11 19:08:03+00:00,33.68,-112.3493,1219,
a27bf2,2026-04-11 19:08:10+00:00,33.6827,-112.3507,1219,
a27bf2,2026-04-11 19:08:17+00:00,33.6851,-112.3524,1524,
a27bf2,2026-04-11 19:08:24+00:00,33.6872,-112.3545,1524,
a27bf2,2026-04-11 19:08:44+00:00,33.6936,-112.3609,1524,
a27bf2,2026-04-11 19:09:34+00:00,33.7096,-112.3758,1524,
a27bf2,2026-04-11 19:09:41+00:00,33.712,-112.3782,1524,
a27bf2,2026-04-11 19:09:48+00:00,33.714,-112.3806,1524,
a27bf2,2026-04-11 19:09:56+00:00,33.7166,-112.3833,1524,
a27bf2,2026-04-11 19:10:03+00:00,33.7186,-112.3854,1524,
a27bf2,2026-04-11 19:10:46+00:00,33.7318,-112.3987,1524,
a27bf2,2026-04-11 19:11:36+00:00,33.7469,-112.4141,1828,
a27bf2,2026-04-11 19:11:43+00:00,33.7493,-112.4163,1828,
a27bf2,2026-04-11 19:11:50+00:00,33.7514,-112.4183,1828,
a27bf2,2026-04-11 19:11:59+00:00,33.7543,-112.4211,1828,
a27bf2,2026-04-11 19:12:20+00:00,33.7608,-112.4275,1828,
a27bf2,2026-04-11 19:12:28+00:00,33.7633,-112.4298,1828,
a27bf2,2026-04-11 19:12:51+00:00,33.7711,-112.4365,1828,
a27bf2,2026-04-11 19:12:58+00:00,33.7734,-112.4389,1828,
a27bf2,2026-04-11 19:13:06+00:00,33.7755,-112.4415,1828,
a27bf2,2026-04-11 19:13:13+00:00,33.7775,-112.4441,1828,
a27bf2,2026-04-11 19:13:21+00:00,33.7798,-112.4474,1828,
a27bf2,2026-04-11 19:13:28+00:00,33.7818,-112.4498,1828,
