icao24,time,lat,lon,altitude,velocity
a2cbb5,2026-04-12 12:57:00+00:00,41.9401,-86.3471,304,
a2cbb5,2026-04-12 12:57:09+00:00,41.9416,-86.3509,304,
a2cbb5,2026-04-12 12:57:37+00:00,41.9409,-86.3599,609,
a2cbb5,2026-04-12 12:57:40+00:00,41.9407,-86.361,609,
a2cbb5,2026-04-12 12:58:14+00:00,41.9442,-86.3714,609,
a2cbb5,2026-04-12 12:58:26+00:00,41.9466,-86.3751,609,
a2cbb5,2026-04-12 12:58:33+00:00,41.9474,-86.3768,609,
a2cbb5,2026-04-12 12:58:37+00:00,41.9479,-86.3784,609,
a2cbb5,2026-04-12 12:58:43+00:00,41.9487,-86.3803,609,
a2cbb5,2026-04-12 12:58:56+00:00,41.9508,-86.3851,609,
a2cbb5,2026-04-12 12:58:57+00:00,41.951,-86.3854,914,
a2cbb5,2026-04-12 12:59:22+00:00,41.9553,-86.3943,914,
a2cbb5,2026-04-12 12:59:24+00:00,41.9557,-86.3948,914,
a2cbb5,2026-04-12 12:59:34+00:00,41.9577,-86.3978,914,
a2cbb5,2026-04-12 12:59:40+00:00,41.9586,-86.3994,914,
a2cbb5,2026-04-12 13:00:00+00:00,41.9627,-86.4057,914,
a2cbb5,2026-04-12 13:00:20+00:00,41.9664,-86.4116,914,
a2cbb5,2026-04-12 13:00:37+00:00,41.9699,-86.4171,914,
a2cbb5,2026-04-12 13:00:43+00:00,41.971,-86.4188,914,
a2cbb5,2026-04-12 13:00:56+00:00,41.9736,-86.4225,914,
