icao24,time,lat,lon,altitude,velocity
a3557b,2026-04-11 18:52:23+00:00,36.2544,-80.0598,1524,
a3557b,2026-04-11 18:53:39+00:00,36.2734,-80.1169,1524,
a3557b,2026-04-11 18:55:12+00:00,36.2929,-80.1814,1828,
a3557b,2026-04-11 19:01:40+00:00,36.3866,-80.4793,2133,
a3557b,2026-04-11 19:03:33+00:00,36.4092,-80.5542,2438,
a3557b,2026-04-11 19:05:11+00:00,36.429,-80.6178,2743,
a3557b,2026-04-11 19:05:23+00:00,36.4321,-80.6256,2743,
a3557b,2026-04-11 19:05:45+00:00,36.4404,-80.6382,2743,
a3557b,2026-04-11 19:06:04+00:00,36.4466,-80.6506,2743,
a3557b,2026-04-11 19:06:13+00:00,36.4483,-80.6575,2743,
a3557b,2026-04-11 19:08:06+00:00,36.4663,-80.7504,2743,
a3557b,2026-04-11 19:08:17+00:00,36.4688,-80.7598,2743,
a3557b,2026-04-11 19:08:17+00:00,36.4689,-80.7601,2743,
a3557b,2026-04-11 19:09:11+00:00,36.4857,-80.8012,2743,
a3557b,2026-04-11 19:09:51+00:00,36.4963,-80.8329,2743,
a3557b,2026-04-11 19:11:40+00:00,36.5118,-80.9212,2743,
a3557b,2026-04-11 19:11:59+00:00,36.5148,-80.9364,2743,
a3557b,2026-04-11 19:12:28+00:00,36.5244,-80.9578,2743,
a3557b,2026-04-11 19:12:42+00:00,36.5279,-80.9678,2743,
a3557b,2026-04-11 19:13:35+00:00,36.5362,-81.0053,3048,
a3557b,2026-04-11 19:13:43+00:00,36.5375,-81.0111,3048,
a3557b,2026-04-11 19:13:50+00:00,36.5387,-81.0155,3048,
a3557b,2026-04-11 19:14:43+00:00,36.5498,-81.0513,3048,
a3557b,2026-04-11 19:14:51+00:00,36.5513,-81.0566,3048,
a3557b,2026-04-11 19:15:05+00:00,36.5537,-81.0668,3048,
a3557b,2026-04-11 19:15:12+00:00,36.555,-81.0714,3048,
a3557b,2026-04-11 19:15:19+00:00,36.5567,-81.0763,3048,
a3557b,2026-04-11 19:15:25+00:00,36.5583,-81.08,3352,
a3557b,2026-04-11 19:15:33+00:00,36.5606,-81.0853,3352,
a3557b,2026-04-11 19:15:53+00:00,36.5666,-81.098,3352,
a3557b,2026-04-11 19:16:00+00:00,36.5685,-81.1027,3352,
a3557b,2026-04-11 19:16:09+00:00,36.5702,-81.1089,3352,
a3557b,2026-04-11 19:16:23+00:00,36.5726,-81.1189,3352,
a3557b,2026-04-11 19:17:07+00:00,36.5814,-81.1478,3352,
a3557b,2026-04-11 19:25:50+00:00,36.7009,-81.5385,3352,
a3557b,2026-04-11 19:26:22+00:00,36.7129,-81.5593,3352,
a3557b,2026-04-11 19:28:59+00:00,36.7789,-81.6514,3352,
a3557b,2026-04-11 19:29:26+00:00,36.7911,-81.6666,3352,
a3557b,2026-04-11 19:29:31+00:00,36.7932,-81.6693,3352,
a3557b,2026-04-11 19:29:49+00:00,36.8002,-81.6799,3352,
a3557b,2026-04-11 19:30:12+00:00,36.8084,-81.6935,3352,
a3557b,2026-04-11 19:30:19+00:00,36.8107,-81.6973,3352,
