icao24,time,lat,lon,altitude,velocity
a39bfa,2026-04-11 18:26:14+00:00,40.6945,-74.1672,0,
a39bfa,2026-04-11 18:26:22+00:00,40.6999,-74.1629,0,
a39bfa,2026-04-11 18:26:29+00:00,40.7043,-74.1586,304,
a39bfa,2026-04-11 18:26:46+00:00,40.7145,-74.1454,304,
a39bfa,2026-04-11 18:26:53+00:00,40.7201,-74.1414,304,
a39bfa,2026-04-11 18:27:01+00:00,40.7272,-74.1391,609,
a39bfa,2026-04-11 18:27:09+00:00,40.7345,-74.1392,609,
a39bfa,2026-04-11 18:27:16+00:00,40.7407,-74.1416,609,
a39bfa,2026-04-11 18:27:24+00:00,40.7469,-74.147,609,
a39bfa,2026-04-11 18:27:31+00:00,40.7513,-74.1534,914,
a39bfa,2026-04-11 18:27:39+00:00,40.755,-74.1629,914,
a39bfa,2026-04-11 18:27:46+00:00,40.7567,-74.1728,914,
a39bfa,2026-04-11 18:27:54+00:00,40.7572,-74.1839,914,
a39bfa,2026-04-11 18:28:01+00:00,40.757,-74.1938,1219,
a39bfa,2026-04-11 18:28:08+00:00,40.7566,-74.205,1219,
a39bfa,2026-04-11 18:28:16+00:00,40.7557,-74.2173,1219,
a39bfa,2026-04-11 18:28:23+00:00,40.7548,-74.2274,1524,
a39bfa,2026-04-11 18:28:31+00:00,40.7532,-74.2402,1524,
a39bfa,2026-04-11 18:28:54+00:00,40.7487,-74.2751,1828,
a39bfa,2026-04-11 18:29:02+00:00,40.7475,-74.2874,2133,
a39bfa,2026-04-11 18:29:10+00:00,40.7479,-74.2994,2133,
a39bfa,2026-04-11 18:29:18+00:00,40.7505,-74.3117,2438,
a39bfa,2026-04-11 18:29:26+00:00,40.7539,-74.3229,2438,
a39bfa,2026-04-11 18:29:33+00:00,40.757,-74.3322,2438,
a39bfa,2026-04-11 18:29:48+00:00,40.765,-74.3532,2743,
a39bfa,2026-04-11 18:29:56+00:00,40.7694,-74.3641,2743,
a39bfa,2026-04-11 18:30:26+00:00,40.7872,-74.4059,3048,
a39bfa,2026-04-11 18:31:04+00:00,40.8111,-74.4657,3352,
a39bfa,2026-04-11 18:31:25+00:00,40.8251,-74.5006,3657,
a39bfa,2026-04-11 18:31:39+00:00,40.8343,-74.5232,3962,
a39bfa,2026-04-11 18:31:46+00:00,40.8387,-74.535,3962,
a39bfa,2026-04-11 18:31:53+00:00,40.8426,-74.5475,4267,
a39bfa,2026-04-11 18:32:01+00:00,40.8459,-74.5619,4267,
a39bfa,2026-04-11 18:32:08+00:00,40.8478,-74.5748,4267,
a39bfa,2026-04-11 18:32:15+00:00,40.8488,-74.5887,4572,
a39bfa,2026-04-11 18:32:22+00:00,40.8488,-74.6021,4572,
a39bfa,2026-04-11 18:32:29+00:00,40.8479,-74.6155,4572,
a39bfa,2026-04-11 18:32:36+00:00,40.8464,-74.6293,4572,
a39bfa,2026-04-11 18:32:52+00:00,40.8433,-74.6611,4876,
a39bfa,2026-04-11 18:33:28+00:00,40.8375,-74.733,4876,
a39bfa,2026-04-11 18:33:55+00:00,40.8328,-74.7873,5181,
a39bfa,2026-04-11 18:34:22+00:00,40.8282,-74.8414,5486,
a39bfa,2026-04-11 18:34:51+00:00,40.823,-74.8997,5791,
a39bfa,2026-04-11 18:35:21+00:00,40.8169,-74.9615,6096,
a39bfa,2026-04-11 18:35:57+00:00,40.81,-75.038,6400,
a39bfa,2026-04-11 18:36:32+00:00,40.8034,-75.1128,6705,
a39bfa,2026-04-11 18:36:53+00:00,40.7977,-75.1589,7010,
