icao24,time,lat,lon,altitude,velocity
a3a538,2026-04-12 13:04:30+00:00,36.0764,-115.136,609,
a3a538,2026-04-12 13:04:44+00:00,36.0765,-115.1482,609,
a3a538,2026-04-12 13:04:50+00:00,36.0766,-115.1534,609,
a3a538,2026-04-12 13:04:55+00:00,36.077,-115.1584,914,
a3a538,2026-04-12 13:05:14+00:00,36.0785,-115.1744,914,
a3a538,2026-04-12 13:05:21+00:00,36.0791,-115.18,1219,
a3a538,2026-04-12 13:05:27+00:00,36.0795,-115.1856,1219,
a3a538,2026-04-12 13:05:35+00:00,36.0791,-115.1939,1219,
a3a538,2026-04-12 13:05:42+00:00,36.0783,-115.2013,1219,
a3a538,2026-04-12 13:05:53+00:00,36.0765,-115.2144,1219,
a3a538,2026-04-12 13:06:00+00:00,36.0753,-115.2223,1219,
a3a538,2026-04-12 13:06:13+00:00,36.0724,-115.2391,1524,
a3a538,2026-04-12 13:06:19+00:00,36.0704,-115.2465,1828,
a3a538,2026-04-12 13:06:25+00:00,36.0672,-115.254,1828,
a3a538,2026-04-12 13:06:32+00:00,36.0629,-115.2598,2133,
a3a538,2026-04-12 13:06:38+00:00,36.0581,-115.2644,2133,
a3a538,2026-04-12 13:06:45+00:00,36.0517,-115.2687,2133,
a3a538,2026-04-12 13:06:51+00:00,36.0456,-115.2721,2133,
a3a538,2026-04-12 13:06:58+00:00,36.0381,-115.2759,2133,
a3a538,2026-04-12 13:07:04+00:00,36.032,-115.2787,2133,
a3a538,2026-04-12 13:07:35+00:00,35.9979,-115.2926,2438,
a3a538,2026-04-12 13:07:43+00:00,35.9891,-115.2968,2438,
a3a538,2026-04-12 13:07:48+00:00,35.9831,-115.3003,2438,
a3a538,2026-04-12 13:08:08+00:00,35.9622,-115.3134,2438,
a3a538,2026-04-12 13:08:16+00:00,35.9549,-115.3186,2743,
a3a538,2026-04-12 13:08:22+00:00,35.9494,-115.3241,2743,
a3a538,2026-04-12 13:08:29+00:00,35.9438,-115.332,3048,
a3a538,2026-04-12 13:08:35+00:00,35.9402,-115.3398,3048,
a3a538,2026-04-12 13:08:41+00:00,35.9375,-115.3493,3048,
a3a538,2026-04-12 13:08:47+00:00,35.9361,-115.3587,3048,
a3a538,2026-04-12 13:08:55+00:00,35.9352,-115.3706,3352,
a3a538,2026-04-12 13:09:08+00:00,35.9338,-115.3938,3352,
a3a538,2026-04-12 13:09:22+00:00,35.9327,-115.4165,3657,
a3a538,2026-04-12 13:09:44+00:00,35.9308,-115.4533,3962,
a3a538,2026-04-12 13:10:03+00:00,35.9288,-115.4858,4267,
a3a538,2026-04-12 13:10:30+00:00,35.9255,-115.5315,4572,
a3a538,2026-04-12 13:10:56+00:00,35.922,-115.5781,4876,
a3a538,2026-04-12 13:11:15+00:00,35.9195,-115.6127,5181,
a3a538,2026-04-12 13:11:23+00:00,35.9185,-115.6266,5486,
a3a538,2026-04-12 13:11:30+00:00,35.9178,-115.6396,5486,
a3a538,2026-04-12 13:11:37+00:00,35.9181,-115.6528,5486,
a3a538,2026-04-12 13:11:44+00:00,35.92,-115.6654,5791,
a3a538,2026-04-12 13:11:52+00:00,35.924,-115.6801,5791,
a3a538,2026-04-12 13:11:58+00:00,35.9281,-115.6904,6096,
a3a538,2026-04-12 13:12:05+00:00,35.9343,-115.7022,6096,
a3a538,2026-04-12 13:12:18+00:00,35.9465,-115.7225,6096,
a3a538,2026-04-12 13:12:30+00:00,35.959,-115.7426,6400,
a3a538,2026-04-12 13:12:52+00:00,35.9805,-115.7766,6705,
a3a538,2026-04-12 13:12:59+00:00,35.9882,-115.7871,6705,
a3a538,2026-04-12 13:13:06+00:00,35.9968,-115.7974,7010,
a3a538,2026-04-12 13:13:33+00:00,36.0314,-115.8366,7010,
a3a538,2026-04-12 13:13:56+00:00,36.0612,-115.8703,7315,
a3a538,2026-04-12 13:14:31+00:00,36.1078,-115.9232,7620,
a3a538,2026-04-12 13:15:05+00:00,36.1545,-115.9763,7924,
a3a538,2026-04-12 13:15:25+00:00,36.1813,-116.0069,8229,
a3a538,2026-04-12 13:15:54+00:00,36.2196,-116.0506,8534,
a3a538,2026-04-12 13:16:36+00:00,36.2736,-116.1126,8839,
a3a538,2026-04-12 13:17:10+00:00,36.3187,-116.1645,9144,
a3a538,2026-04-12 13:18:11+00:00,36.4002,-116.2582,9448,
