icao24,time,lat,lon,altitude,velocity
a3b87f,2026-04-11 18:18:34+00:00,27.381,-82.5391,0,
a3b87f,2026-04-11 18:19:17+00:00,27.3555,-82.5098,304,
a3b87f,2026-04-11 18:19:45+00:00,27.3352,-82.4863,609,
a3b87f,2026-04-11 18:20:00+00:00,27.3244,-82.4742,914,
a3b87f,2026-04-11 18:20:07+00:00,27.3178,-82.4679,914,
a3b87f,2026-04-11 18:20:14+00:00,27.3108,-82.4639,1219,
a3b87f,2026-04-11 18:20:23+00:00,27.3013,-82.4607,1219,
a3b87f,2026-04-11 18:20:31+00:00,27.2921,-82.4603,1219,
a3b87f,2026-04-11 18:20:40+00:00,27.2818,-82.4633,1524,
a3b87f,2026-04-11 18:20:48+00:00,27.2737,-82.4691,1524,
a3b87f,2026-04-11 18:20:56+00:00,27.2669,-82.4764,1828,
a3b87f,2026-04-11 18:21:03+00:00,27.2612,-82.484,1828,
a3b87f,2026-04-11 18:21:11+00:00,27.2563,-82.4938,1828,
a3b87f,2026-04-11 18:21:19+00:00,27.2534,-82.5051,1828,
a3b87f,2026-04-11 18:21:27+00:00,27.2515,-82.5166,1828,
a3b87f,2026-04-11 18:21:50+00:00,27.2463,-82.5516,2133,
a3b87f,2026-04-11 18:21:58+00:00,27.246,-82.5646,2438,
a3b87f,2026-04-11 18:22:06+00:00,27.248,-82.5771,2438,
a3b87f,2026-04-11 18:22:13+00:00,27.2516,-82.5873,2438,
a3b87f,2026-04-11 18:22:21+00:00,27.2578,-82.5975,2743,
a3b87f,2026-04-11 18:22:28+00:00,27.2645,-82.6051,2743,
a3b87f,2026-04-11 18:22:37+00:00,27.2737,-82.6148,2743,
a3b87f,2026-04-11 18:22:45+00:00,27.2818,-82.6244,3048,
a3b87f,2026-04-11 18:23:38+00:00,27.3362,-82.6935,3048,
a3b87f,2026-04-11 18:24:09+00:00,27.3739,-82.739,3352,
a3b87f,2026-04-11 18:24:16+00:00,27.3835,-82.7484,3657,
a3b87f,2026-04-11 18:24:24+00:00,27.3954,-82.7571,3657,
a3b87f,2026-04-11 18:24:31+00:00,27.4068,-82.7631,3657,
a3b87f,2026-04-11 18:24:49+00:00,27.4362,-82.7772,3962,
a3b87f,2026-04-11 18:24:56+00:00,27.4481,-82.783,4267,
a3b87f,2026-04-11 18:25:04+00:00,27.4613,-82.7881,4267,
a3b87f,2026-04-11 18:25:12+00:00,27.4749,-82.7911,4267,
a3b87f,2026-04-11 18:25:20+00:00,27.4893,-82.792,4267,
a3b87f,2026-04-11 18:25:29+00:00,27.5047,-82.7918,4572,
a3b87f,2026-04-11 18:25:52+00:00,27.5473,-82.7905,4572,
a3b87f,2026-04-11 18:26:22+00:00,27.6016,-82.7889,4876,
a3b87f,2026-04-11 18:26:29+00:00,27.6154,-82.7887,5181,
a3b87f,2026-04-11 18:26:37+00:00,27.6293,-82.7887,5181,
a3b87f,2026-04-11 18:26:45+00:00,27.6449,-82.7888,5181,
a3b87f,2026-04-11 18:26:52+00:00,27.6579,-82.7887,5181,
a3b87f,2026-04-11 18:27:01+00:00,27.6753,-82.7887,5181,
a3b87f,2026-04-11 18:27:39+00:00,27.7473,-82.7885,5486,
a3b87f,2026-04-11 18:28:23+00:00,27.8324,-82.788,5791,
a3b87f,2026-04-11 18:29:48+00:00,27.9985,-82.787,6096,
a3b87f,2026-04-11 18:30:26+00:00,28.0731,-82.7865,6400,
a3b87f,2026-04-11 18:31:18+00:00,28.1794,-82.7858,6705,
a3b87f,2026-04-11 18:31:53+00:00,28.2504,-82.7853,7010,
a3b87f,2026-04-11 18:32:43+00:00,28.3518,-82.7847,7315,
a3b87f,2026-04-11 18:32:52+00:00,28.3695,-82.7847,7620,
a3b87f,2026-04-11 18:32:59+00:00,28.3858,-82.7855,7620,
a3b87f,2026-04-11 18:33:06+00:00,28.3996,-82.7869,7620,
a3b87f,2026-04-11 18:33:13+00:00,28.4145,-82.7892,7620,
a3b87f,2026-04-11 18:33:21+00:00,28.4307,-82.7926,7620,
a3b87f,2026-04-11 18:33:28+00:00,28.445,-82.7967,7620,
a3b87f,2026-04-11 18:33:41+00:00,28.4703,-82.8052,7620,
a3b87f,2026-04-11 18:34:43+00:00,28.5957,-82.8481,7924,
a3b87f,2026-04-11 18:35:00+00:00,28.6292,-82.859,8229,
a3b87f,2026-04-11 18:35:07+00:00,28.6445,-82.8634,8229,
a3b87f,2026-04-11 18:35:14+00:00,28.6592,-82.8671,8229,
a3b87f,2026-04-11 18:35:21+00:00,28.6719,-82.8699,8229,
a3b87f,2026-04-11 18:35:28+00:00,28.6873,-82.8729,8229,
a3b87f,2026-04-11 18:35:36+00:00,28.7044,-82.8757,8229,
a3b87f,2026-04-11 18:36:25+00:00,28.8066,-82.8892,8534,
a3b87f,2026-04-11 18:37:30+00:00,28.9411,-82.9068,8839,
a3b87f,2026-04-11 18:38:19+00:00,29.0436,-82.9202,9144,
