icao24,time,lat,lon,altitude,velocity
a3b88e,2026-04-12 11:19:09+00:00,43.1705,-76.0861,914,
a3b88e,2026-04-12 11:19:11+00:00,43.1705,-76.0894,914,
a3b88e,2026-04-12 11:19:18+00:00,43.1705,-76.1016,914,
a3b88e,2026-04-12 11:19:29+00:00,43.1704,-76.1205,1219,
a3b88e,2026-04-12 11:19:50+00:00,43.1694,-76.1539,1524,
a3b88e,2026-04-12 11:20:08+00:00,43.1683,-76.1837,1828,
a3b88e,2026-04-12 11:20:14+00:00,43.1684,-76.1939,2133,
a3b88e,2026-04-12 11:20:20+00:00,43.169,-76.2023,2133,
a3b88e,2026-04-12 11:20:24+00:00,43.1697,-76.2095,2133,
a3b88e,2026-04-12 11:20:29+00:00,43.1705,-76.2163,2133,
a3b88e,2026-04-12 11:20:32+00:00,43.1714,-76.2224,2438,
a3b88e,2026-04-12 11:20:48+00:00,43.1753,-76.247,2438,
a3b88e,2026-04-12 11:21:17+00:00,43.1824,-76.294,2743,
a3b88e,2026-04-12 11:22:10+00:00,43.1976,-76.3912,3048,
a3b88e,2026-04-12 11:22:15+00:00,43.199,-76.4006,3352,
a3b88e,2026-04-12 11:22:20+00:00,43.2003,-76.4112,3352,
a3b88e,2026-04-12 11:22:24+00:00,43.2006,-76.4208,3352,
a3b88e,2026-04-12 11:22:30+00:00,43.2002,-76.4313,3352,
a3b88e,2026-04-12 11:22:34+00:00,43.1995,-76.4395,3352,
a3b88e,2026-04-12 11:22:39+00:00,43.1979,-76.4499,3657,
a3b88e,2026-04-12 11:22:43+00:00,43.1962,-76.4579,3657,
a3b88e,2026-04-12 11:22:48+00:00,43.1936,-76.4678,3657,
a3b88e,2026-04-12 11:22:53+00:00,43.1905,-76.4772,3657,
a3b88e,2026-04-12 11:22:57+00:00,43.1873,-76.4858,3657,
a3b88e,2026-04-12 11:23:25+00:00,43.1684,-76.5395,3962,
a3b88e,2026-04-12 11:23:44+00:00,43.155,-76.5766,4267,
a3b88e,2026-04-12 11:24:08+00:00,43.1378,-76.6237,4572,
a3b88e,2026-04-12 11:24:32+00:00,43.1201,-76.6717,4876,
a3b88e,2026-04-12 11:25:14+00:00,43.0892,-76.7557,5181,
a3b88e,2026-04-12 11:25:43+00:00,43.0666,-76.8172,5486,
a3b88e,2026-04-12 11:26:04+00:00,43.0505,-76.8607,5791,
a3b88e,2026-04-12 11:26:29+00:00,43.0307,-76.9141,6096,
a3b88e,2026-04-12 11:26:59+00:00,43.0075,-76.9772,6400,
a3b88e,2026-04-12 11:27:33+00:00,42.9803,-77.051,6705,
a3b88e,2026-04-12 11:28:16+00:00,42.9457,-77.1446,7010,
a3b88e,2026-04-12 11:28:56+00:00,42.912,-77.2357,7315,
a3b88e,2026-04-12 11:29:35+00:00,42.8784,-77.3261,7620,
a3b88e,2026-04-12 11:30:19+00:00,42.8405,-77.4278,7924,
a3b88e,2026-04-12 11:31:07+00:00,42.7978,-77.5414,8229,
a3b88e,2026-04-12 11:31:45+00:00,42.7636,-77.6325,8534,
a3b88e,2026-04-12 11:32:18+00:00,42.7342,-77.7109,8839,
a3b88e,2026-04-12 11:32:58+00:00,42.6989,-77.8042,9144,
a3b88e,2026-04-12 11:33:47+00:00,42.6558,-77.9177,9448,
a3b88e,2026-04-12 11:34:51+00:00,42.5987,-78.0675,9753,
a3b88e,2026-04-12 11:35:35+00:00,42.5595,-78.1694,10058,
a3b88e,2026-04-12 11:36:18+00:00,42.5213,-78.2688,10363,
a3b88e,2026-04-12 11:37:12+00:00,42.475,-78.3892,10668,
a3b88e,2026-04-12 11:38:59+00:00,42.3804,-78.6277,10972,
a3b88e,2026-04-12 11:53:58+00:00,41.532,-80.5904,10972,
a3b88e,2026-04-12 12:08:56+00:00,40.6662,-82.4694,10972,
a3b88e,2026-04-12 12:23:52+00:00,39.7545,-84.3323,10972,
a3b88e,2026-04-12 12:29:27+00:00,39.4049,-85.0179,10972,
a3b88e,2026-04-12 12:29:38+00:00,39.3935,-85.04,10668,
a3b88e,2026-04-12 12:33:48+00:00,39.1341,-85.5386,10972,
a3b88e,2026-04-12 12:33:53+00:00,39.1272,-85.5499,10972,
a3b88e,2026-04-12 12:33:58+00:00,39.1213,-85.5585,10972,
a3b88e,2026-04-12 12:37:18+00:00,38.855,-85.9173,10972,
a3b88e,2026-04-12 12:37:23+00:00,38.8491,-85.9266,10972,
a3b88e,2026-04-12 12:37:29+00:00,38.8423,-85.9389,10972,
a3b88e,2026-04-12 12:37:34+00:00,38.8373,-85.9486,10972,
a3b88e,2026-04-12 12:41:00+00:00,38.628,-86.3752,10972,
a3b88e,2026-04-12 12:41:05+00:00,38.6213,-86.3869,10972,
a3b88e,2026-04-12 12:53:30+00:00,37.7495,-87.7963,10972,
a3b88e,2026-04-12 12:53:36+00:00,37.7423,-87.8072,10972,
a3b88e,2026-04-12 12:53:43+00:00,37.7343,-87.818,10972,
a3b88e,2026-04-12 12:53:48+00:00,37.7273,-87.8262,10972,
a3b88e,2026-04-12 12:56:20+00:00,37.5079,-88.067,10972,
