icao24,time,lat,lon,altitude,velocity
a3ebe2,2026-04-12 12:16:51+00:00,39.91,-105.1184,1524,
a3ebe2,2026-04-12 12:17:07+00:00,39.9137,-105.1256,1524,
a3ebe2,2026-04-12 12:17:13+00:00,39.9151,-105.1282,1828,
a3ebe2,2026-04-12 12:17:19+00:00,39.9164,-105.1304,1828,
a3ebe2,2026-04-12 12:17:25+00:00,39.9177,-105.1326,1828,
a3ebe2,2026-04-12 12:17:30+00:00,39.9188,-105.1342,1828,
a3ebe2,2026-04-12 12:17:36+00:00,39.9204,-105.1362,1828,
a3ebe2,2026-04-12 12:17:42+00:00,39.922,-105.1382,1828,
a3ebe2,2026-04-12 12:17:49+00:00,39.9239,-105.1402,1828,
a3ebe2,2026-04-12 12:17:54+00:00,39.9255,-105.1419,1828,
a3ebe2,2026-04-12 12:18:00+00:00,39.9274,-105.1436,1828,
a3ebe2,2026-04-12 12:18:07+00:00,39.9297,-105.1455,1828,
a3ebe2,2026-04-12 12:18:13+00:00,39.9317,-105.147,1828,
a3ebe2,2026-04-12 12:18:19+00:00,39.9339,-105.1484,1828,
a3ebe2,2026-04-12 12:18:24+00:00,39.9358,-105.1494,1828,
a3ebe2,2026-04-12 12:18:30+00:00,39.9379,-105.1504,1828,
a3ebe2,2026-04-12 12:18:36+00:00,39.9399,-105.1512,1828,
a3ebe2,2026-04-12 12:18:41+00:00,39.9424,-105.1521,1828,
a3ebe2,2026-04-12 12:18:48+00:00,39.9448,-105.1527,1828,
a3ebe2,2026-04-12 12:19:21+00:00,39.9578,-105.1557,1828,
a3ebe2,2026-04-12 12:19:39+00:00,39.9646,-105.1571,2133,
a3ebe2,2026-04-12 12:20:02+00:00,39.9743,-105.1588,2133,
a3ebe2,2026-04-12 12:20:09+00:00,39.9773,-105.1592,2133,
a3ebe2,2026-04-12 12:20:20+00:00,39.9825,-105.1597,2133,
a3ebe2,2026-04-12 12:20:27+00:00,39.9853,-105.1599,2133,
a3ebe2,2026-04-12 12:20:31+00:00,39.9871,-105.1599,2133,
a3ebe2,2026-04-12 12:20:39+00:00,39.9907,-105.1595,2133,
a3ebe2,2026-04-12 12:20:57+00:00,39.9993,-105.1576,2133,
a3ebe2,2026-04-12 12:21:03+00:00,40.0022,-105.1569,2133,
a3ebe2,2026-04-12 12:21:15+00:00,40.0085,-105.1547,2133,
a3ebe2,2026-04-12 12:21:31+00:00,40.0171,-105.1513,2133,
a3ebe2,2026-04-12 12:21:37+00:00,40.0205,-105.1498,2133,
a3ebe2,2026-04-12 12:22:23+00:00,40.0453,-105.1389,2133,
