icao24,time,lat,lon,altitude,velocity
a47597,2026-04-12 11:05:01+00:00,39.7043,-86.3241,304,
a47597,2026-04-12 11:05:11+00:00,39.6994,-86.3312,304,
a47597,2026-04-12 11:05:41+00:00,39.6832,-86.3544,609,
a47597,2026-04-12 11:05:49+00:00,39.6778,-86.3616,609,
a47597,2026-04-12 11:06:06+00:00,39.6663,-86.3767,914,
a47597,2026-04-12 11:06:10+00:00,39.6637,-86.3807,914,
a47597,2026-04-12 11:06:14+00:00,39.6613,-86.385,914,
a47597,2026-04-12 11:06:20+00:00,39.6584,-86.3912,914,
a47597,2026-04-12 11:06:23+00:00,39.6567,-86.3956,914,
a47597,2026-04-12 11:06:28+00:00,39.6549,-86.4015,914,
a47597,2026-04-12 11:06:32+00:00,39.6536,-86.4068,1219,
a47597,2026-04-12 11:06:36+00:00,39.6522,-86.4137,1219,
a47597,2026-04-12 11:06:54+00:00,39.6476,-86.4372,1219,
a47597,2026-04-12 11:07:19+00:00,39.6402,-86.4746,1524,
a47597,2026-04-12 11:07:41+00:00,39.6337,-86.5066,1828,
a47597,2026-04-12 11:08:09+00:00,39.626,-86.5484,2133,
a47597,2026-04-12 11:08:31+00:00,39.6195,-86.5842,2438,
a47597,2026-04-12 11:08:57+00:00,39.6115,-86.6255,2743,
a47597,2026-04-12 11:09:29+00:00,39.6011,-86.6769,3048,
a47597,2026-04-12 11:10:21+00:00,39.5822,-86.7701,3352,
a47597,2026-04-12 11:10:47+00:00,39.5724,-86.8225,3657,
a47597,2026-04-12 11:10:51+00:00,39.571,-86.8317,3657,
a47597,2026-04-12 11:10:55+00:00,39.5699,-86.8402,3657,
a47597,2026-04-12 11:11:00+00:00,39.569,-86.8497,3657,
a47597,2026-04-12 11:11:03+00:00,39.5685,-86.8577,3657,
a47597,2026-04-12 11:11:09+00:00,39.5681,-86.8694,3962,
a47597,2026-04-12 11:11:12+00:00,39.568,-86.8774,3962,
a47597,2026-04-12 11:11:30+00:00,39.5688,-86.9172,3962,
a47597,2026-04-12 11:11:57+00:00,39.5699,-86.9783,4267,
a47597,2026-04-12 11:12:17+00:00,39.5708,-87.0219,4572,
a47597,2026-04-12 11:12:49+00:00,39.5723,-87.0957,4876,
a47597,2026-04-12 11:13:17+00:00,39.5736,-87.1634,5181,
a47597,2026-04-12 11:13:43+00:00,39.5746,-87.2223,5486,
a47597,2026-04-12 11:14:09+00:00,39.5756,-87.2839,5791,
a47597,2026-04-12 11:14:42+00:00,39.5765,-87.3642,6096,
a47597,2026-04-12 11:15:21+00:00,39.5774,-87.4568,6400,
a47597,2026-04-12 11:16:04+00:00,39.5789,-87.5637,6705,
a47597,2026-04-12 11:16:44+00:00,39.58,-87.665,7010,
a47597,2026-04-12 11:17:21+00:00,39.581,-87.7617,7315,
a47597,2026-04-12 11:18:04+00:00,39.5822,-87.8727,7620,
a47597,2026-04-12 11:18:46+00:00,39.5832,-87.9794,7924,
a47597,2026-04-12 11:19:25+00:00,39.5841,-88.0803,8229,
a47597,2026-04-12 11:19:55+00:00,39.5846,-88.1566,8534,
a47597,2026-04-12 11:20:25+00:00,39.585,-88.2317,8839,
a47597,2026-04-12 11:21:01+00:00,39.5855,-88.322,9144,
a47597,2026-04-12 11:21:35+00:00,39.5861,-88.4056,9448,
a47597,2026-04-12 11:21:40+00:00,39.5867,-88.4177,9448,
a47597,2026-04-12 11:21:46+00:00,39.5876,-88.43,9448,
a47597,2026-04-12 11:21:49+00:00,39.5885,-88.4393,9753,
a47597,2026-04-12 11:21:55+00:00,39.5901,-88.4516,9753,
a47597,2026-04-12 11:22:00+00:00,39.5921,-88.4639,9753,
a47597,2026-04-12 11:22:04+00:00,39.5942,-88.4751,9753,
a47597,2026-04-12 11:22:25+00:00,39.6038,-88.5217,9753,
a47597,2026-04-12 11:23:11+00:00,39.6255,-88.6276,10058,
a47597,2026-04-12 11:23:54+00:00,39.6455,-88.7243,10363,
a47597,2026-04-12 11:24:41+00:00,39.6673,-88.8303,10668,
a47597,2026-04-12 11:39:38+00:00,40.0627,-90.8474,10972,
a47597,2026-04-12 11:54:34+00:00,40.4164,-92.852,10972,
a47597,2026-04-12 12:02:37+00:00,40.5951,-93.9576,10972,
a47597,2026-04-12 12:02:43+00:00,40.597,-93.9714,10972,
a47597,2026-04-12 12:17:37+00:00,40.8723,-96.0098,10972,
a47597,2026-04-12 12:32:33+00:00,41.1195,-98.0911,10972,
a47597,2026-04-12 12:47:30+00:00,41.3304,-100.2053,10972,
a47597,2026-04-12 13:02:28+00:00,41.5091,-102.4278,10972,
a47597,2026-04-12 13:03:42+00:00,41.5222,-102.617,10972,
a47597,2026-04-12 13:03:48+00:00,41.5232,-102.6324,10668,
a47597,2026-04-12 13:04:00+00:00,41.5255,-102.6652,10972,
