icao24,time,lat,lon,altitude,velocity
a4c558,2026-04-11 19:12:58+00:00,33.8072,-118.333,0,
a4c558,2026-04-11 19:13:06+00:00,33.8079,-118.3299,0,
a4c558,2026-04-11 19:13:12+00:00,33.8085,-118.3276,0,
a4c558,2026-04-11 19:13:21+00:00,33.8098,-118.324,0,
a4c558,2026-04-11 19:13:28+00:00,33.8112,-118.3211,0,
a4c558,2026-04-11 19:13:36+00:00,33.8131,-118.3176,0,
a4c558,2026-04-11 19:13:51+00:00,33.8167,-118.3113,0,
a4c558,2026-04-11 19:14:22+00:00,33.8249,-118.2983,0,
a4c558,2026-04-11 19:14:29+00:00,33.8269,-118.2953,0,
a4c558,2026-04-11 19:14:36+00:00,33.8289,-118.2924,0,
a4c558,2026-04-11 19:14:43+00:00,33.8311,-118.2895,304,
a4c558,2026-04-11 19:14:51+00:00,33.8336,-118.2865,304,
a4c558,2026-04-11 19:14:58+00:00,33.8362,-118.2837,304,
a4c558,2026-04-11 19:15:05+00:00,33.8389,-118.2812,304,
a4c558,2026-04-11 19:16:16+00:00,33.8672,-118.2553,304,
a4c558,2026-04-11 19:16:31+00:00,33.8731,-118.2503,304,
a4c558,2026-04-11 19:16:38+00:00,33.876,-118.2481,304,
a4c558,2026-04-11 19:16:45+00:00,33.8789,-118.2462,304,
a4c558,2026-04-11 19:16:52+00:00,33.8819,-118.2446,304,
a4c558,2026-04-11 19:17:21+00:00,33.8951,-118.2381,304,
a4c558,2026-04-11 19:17:28+00:00,33.8983,-118.236,304,
a4c558,2026-04-11 19:17:35+00:00,33.9015,-118.2338,304,
a4c558,2026-04-11 19:17:43+00:00,33.9052,-118.2309,304,
a4c558,2026-04-11 19:17:51+00:00,33.9087,-118.2279,304,
a4c558,2026-04-11 19:17:58+00:00,33.9115,-118.2256,304,
a4c558,2026-04-11 19:18:06+00:00,33.9154,-118.2232,304,
a4c558,2026-04-11 19:18:14+00:00,33.9192,-118.2219,304,
a4c558,2026-04-11 19:18:21+00:00,33.9229,-118.2216,304,
a4c558,2026-04-11 19:18:30+00:00,33.9271,-118.2217,304,
a4c558,2026-04-11 19:18:37+00:00,33.9306,-118.2219,304,
a4c558,2026-04-11 19:18:44+00:00,33.9343,-118.2222,304,
a4c558,2026-04-11 19:18:58+00:00,33.9416,-118.2231,304,
a4c558,2026-04-11 19:19:41+00:00,33.963,-118.2265,304,
a4c558,2026-04-11 19:21:17+00:00,34.0097,-118.2349,304,
a4c558,2026-04-11 19:21:25+00:00,34.0137,-118.2358,304,
a4c558,2026-04-11 19:21:32+00:00,34.017,-118.2368,304,
a4c558,2026-04-11 19:21:40+00:00,34.0207,-118.2386,304,
a4c558,2026-04-11 19:21:47+00:00,34.0234,-118.2411,304,
a4c558,2026-04-11 19:21:55+00:00,34.026,-118.2448,304,
a4c558,2026-04-11 19:22:02+00:00,34.0275,-118.2484,304,
a4c558,2026-04-11 19:22:10+00:00,34.0291,-118.2525,304,
a4c558,2026-04-11 19:22:19+00:00,34.0308,-118.2578,304,
a4c558,2026-04-11 19:22:26+00:00,34.0322,-118.2617,304,
a4c558,2026-04-11 19:22:32+00:00,34.0337,-118.265,304,
a4c558,2026-04-11 19:22:41+00:00,34.0361,-118.2693,304,
a4c558,2026-04-11 19:22:48+00:00,34.0383,-118.2723,304,
a4c558,2026-04-11 19:22:56+00:00,34.0413,-118.2748,304,
a4c558,2026-04-11 19:23:02+00:00,34.0436,-118.2762,304,
a4c558,2026-04-11 19:23:10+00:00,34.0471,-118.278,304,
a4c558,2026-04-11 19:23:18+00:00,34.0506,-118.2794,304,
a4c558,2026-04-11 19:23:39+00:00,34.06,-118.2828,304,
a4c558,2026-04-11 19:23:46+00:00,34.0632,-118.2841,304,
a4c558,2026-04-11 19:23:53+00:00,34.0665,-118.2856,304,
a4c558,2026-04-11 19:24:48+00:00,34.0906,-118.297,304,
a4c558,2026-04-11 19:24:56+00:00,34.0939,-118.2976,304,
a4c558,2026-04-11 19:25:04+00:00,34.0977,-118.2959,304,
a4c558,2026-04-11 19:25:12+00:00,34.1004,-118.2934,304,
a4c558,2026-04-11 19:25:20+00:00,34.1024,-118.2896,304,
a4c558,2026-04-11 19:25:27+00:00,34.1029,-118.2857,304,
a4c558,2026-04-11 19:25:35+00:00,34.1018,-118.2814,304,
a4c558,2026-04-11 19:25:41+00:00,34.1004,-118.2786,304,
a4c558,2026-04-11 19:25:51+00:00,34.0976,-118.2746,304,
a4c558,2026-04-11 19:25:58+00:00,34.0949,-118.2719,304,
a4c558,2026-04-11 19:26:05+00:00,34.0923,-118.2695,304,
a4c558,2026-04-11 19:26:30+00:00,34.0828,-118.2616,304,
a4c558,2026-04-11 19:26:36+00:00,34.0808,-118.2598,304,
a4c558,2026-04-11 19:27:03+00:00,34.0715,-118.2504,304,
a4c558,2026-04-11 19:27:11+00:00,34.0687,-118.2477,304,
a4c558,2026-04-11 19:27:18+00:00,34.0659,-118.2455,304,
a4c558,2026-04-11 19:27:45+00:00,34.0553,-118.2374,304,
a4c558,2026-04-11 19:27:50+00:00,34.0534,-118.2361,304,
a4c558,2026-04-11 19:28:00+00:00,34.0493,-118.2343,304,
a4c558,2026-04-11 19:28:07+00:00,34.0462,-118.2338,304,
a4c558,2026-04-11 19:28:13+00:00,34.0439,-118.2335,304,
a4c558,2026-04-11 19:28:20+00:00,34.0408,-118.2334,304,
a4c558,2026-04-11 19:28:45+00:00,34.0304,-118.2331,0,
