icao24,time,lat,lon,altitude,velocity
a53ee2,2026-04-11 17:36:35+00:00,38.6812,-121.5807,0,
a53ee2,2026-04-11 17:36:42+00:00,38.6766,-121.5798,304,
a53ee2,2026-04-11 17:36:49+00:00,38.6721,-121.5771,304,
a53ee2,2026-04-11 17:36:57+00:00,38.6679,-121.5718,304,
a53ee2,2026-04-11 17:37:05+00:00,38.6651,-121.5646,304,
a53ee2,2026-04-11 17:37:14+00:00,38.6619,-121.5549,304,
a53ee2,2026-04-11 17:37:30+00:00,38.6564,-121.5364,304,
a53ee2,2026-04-11 17:37:59+00:00,38.6454,-121.4997,609,
a53ee2,2026-04-11 17:38:22+00:00,38.6355,-121.468,914,
a53ee2,2026-04-11 17:38:29+00:00,38.6327,-121.4578,1219,
a53ee2,2026-04-11 17:38:36+00:00,38.6312,-121.4469,1219,
a53ee2,2026-04-11 17:38:44+00:00,38.6314,-121.435,1524,
a53ee2,2026-04-11 17:38:51+00:00,38.6322,-121.4235,1524,
a53ee2,2026-04-11 17:38:58+00:00,38.6327,-121.4122,1828,
a53ee2,2026-04-11 17:39:13+00:00,38.6331,-121.3889,1828,
a53ee2,2026-04-11 17:39:37+00:00,38.6335,-121.3503,2133,
a53ee2,2026-04-11 17:39:59+00:00,38.6342,-121.3135,2438,
a53ee2,2026-04-11 17:40:21+00:00,38.6352,-121.2759,2743,
a53ee2,2026-04-11 17:41:13+00:00,38.6373,-121.1775,3048,
a53ee2,2026-04-11 17:41:52+00:00,38.6395,-121.0927,3352,
a53ee2,2026-04-11 17:42:20+00:00,38.641,-121.03,3657,
a53ee2,2026-04-11 17:42:48+00:00,38.6425,-120.9648,3962,
a53ee2,2026-04-11 17:43:10+00:00,38.6438,-120.9147,4267,
a53ee2,2026-04-11 17:43:41+00:00,38.6455,-120.8414,4572,
a53ee2,2026-04-11 17:44:10+00:00,38.6468,-120.772,4876,
a53ee2,2026-04-11 17:44:18+00:00,38.6472,-120.7525,5181,
a53ee2,2026-04-11 17:44:25+00:00,38.648,-120.7363,5181,
a53ee2,2026-04-11 17:44:33+00:00,38.6512,-120.7169,5181,
a53ee2,2026-04-11 17:44:40+00:00,38.6564,-120.7005,5181,
a53ee2,2026-04-11 17:44:47+00:00,38.6634,-120.685,5181,
a53ee2,2026-04-11 17:44:54+00:00,38.6711,-120.6714,5486,
a53ee2,2026-04-11 17:45:01+00:00,38.6799,-120.6579,5486,
a53ee2,2026-04-11 17:45:31+00:00,38.7201,-120.5984,5486,
a53ee2,2026-04-11 17:46:06+00:00,38.7659,-120.5289,5791,
a53ee2,2026-04-11 17:46:42+00:00,38.8145,-120.4559,6096,
a53ee2,2026-04-11 17:47:25+00:00,38.8723,-120.3687,6400,
a53ee2,2026-04-11 17:47:49+00:00,38.9059,-120.3179,6705,
a53ee2,2026-04-11 17:48:11+00:00,38.9364,-120.2717,7010,
a53ee2,2026-04-11 17:48:46+00:00,38.9861,-120.196,7315,
a53ee2,2026-04-11 17:49:15+00:00,39.0278,-120.1325,7620,
a53ee2,2026-04-11 17:49:59+00:00,39.0906,-120.0367,7924,
a53ee2,2026-04-11 17:50:30+00:00,39.1356,-119.9677,8229,
a53ee2,2026-04-11 17:51:13+00:00,39.1968,-119.8738,8534,
a53ee2,2026-04-11 17:52:13+00:00,39.2827,-119.7415,8839,
a53ee2,2026-04-11 17:53:26+00:00,39.3901,-119.5751,9144,
a53ee2,2026-04-11 17:54:19+00:00,39.4677,-119.4544,9448,
a53ee2,2026-04-11 17:55:01+00:00,39.5294,-119.3583,9753,
a53ee2,2026-04-11 17:55:44+00:00,39.5906,-119.2624,10058,
a53ee2,2026-04-11 17:56:39+00:00,39.669,-119.1393,10363,
a53ee2,2026-04-11 17:59:06+00:00,39.878,-118.8028,10668,
a53ee2,2026-04-11 18:00:01+00:00,39.939,-118.6639,10668,
a53ee2,2026-04-11 18:00:02+00:00,39.9409,-118.6592,10668,
a53ee2,2026-04-11 18:21:11+00:00,41.015,-115.1649,10363,
a53ee2,2026-04-11 18:21:58+00:00,41.0507,-115.032,10363,
a53ee2,2026-04-11 18:24:09+00:00,41.1491,-114.6633,10668,
a53ee2,2026-04-11 18:24:31+00:00,41.1658,-114.6003,10363,
a53ee2,2026-04-11 18:26:07+00:00,41.2367,-114.3296,10668,
a53ee2,2026-04-11 18:27:31+00:00,41.2989,-114.0905,10363,
a53ee2,2026-04-11 18:28:47+00:00,41.3544,-113.872,10668,
a53ee2,2026-04-11 18:28:54+00:00,41.3586,-113.8519,10668,
a53ee2,2026-04-11 18:29:03+00:00,41.3632,-113.8279,10668,
a53ee2,2026-04-11 18:29:11+00:00,41.3673,-113.8037,10668,
a53ee2,2026-04-11 18:29:26+00:00,41.3742,-113.7578,10668,
a53ee2,2026-04-11 18:29:33+00:00,41.3781,-113.7367,10668,
a53ee2,2026-04-11 18:29:41+00:00,41.3834,-113.7132,10668,
a53ee2,2026-04-11 18:30:33+00:00,41.4242,-113.5655,10668,
a53ee2,2026-04-11 18:31:05+00:00,41.4489,-113.4785,10668,
a53ee2,2026-04-11 18:32:36+00:00,41.5241,-113.2209,10363,
a53ee2,2026-04-11 18:32:43+00:00,41.5299,-113.2018,10668,
a53ee2,2026-04-11 18:34:09+00:00,41.6019,-112.9597,10363,
a53ee2,2026-04-11 18:35:15+00:00,41.6578,-112.7712,10668,
a53ee2,2026-04-11 18:35:22+00:00,41.6629,-112.7513,10668,
a53ee2,2026-04-11 18:35:29+00:00,41.6676,-112.731,10668,
a53ee2,2026-04-11 18:35:37+00:00,41.6724,-112.7079,10668,
a53ee2,2026-04-11 18:35:43+00:00,41.6761,-112.6876,10668,
a53ee2,2026-04-11 18:35:51+00:00,41.6795,-112.6663,10668,
a53ee2,2026-04-11 18:36:39+00:00,41.6972,-112.5213,10668,
a53ee2,2026-04-11 18:36:47+00:00,41.6996,-112.4999,10668,
a53ee2,2026-04-11 18:36:53+00:00,41.7017,-112.4821,10363,
a53ee2,2026-04-11 18:37:38+00:00,41.7172,-112.3489,10668,
a53ee2,2026-04-11 18:37:45+00:00,41.7196,-112.3285,10363,
a53ee2,2026-04-11 18:39:33+00:00,41.7561,-112.0098,10668,
a53ee2,2026-04-11 18:40:34+00:00,41.7766,-111.8276,10363,
a53ee2,2026-04-11 18:43:13+00:00,41.8276,-111.3595,10668,
a53ee2,2026-04-11 18:44:10+00:00,41.8455,-111.1897,10363,
a53ee2,2026-04-11 18:45:31+00:00,41.8704,-110.9504,10668,
a53ee2,2026-04-11 18:48:49+00:00,41.9292,-110.3666,10972,
a53ee2,2026-04-11 19:03:40+00:00,42.1554,-107.7411,11277,
a53ee2,2026-04-11 19:03:56+00:00,42.1589,-107.6945,11277,
a53ee2,2026-04-11 19:05:13+00:00,42.1754,-107.4683,10972,
a53ee2,2026-04-11 19:05:27+00:00,42.1783,-107.428,11277,
a53ee2,2026-04-11 19:06:15+00:00,42.1887,-107.2826,10972,
a53ee2,2026-04-11 19:06:30+00:00,42.1916,-107.2406,11277,
a53ee2,2026-04-11 19:06:43+00:00,42.1945,-107.199,10972,
a53ee2,2026-04-11 19:09:21+00:00,42.2262,-106.7299,11277,
a53ee2,2026-04-11 19:10:04+00:00,42.2346,-106.6023,10972,
a53ee2,2026-04-11 19:10:19+00:00,42.2375,-106.559,11277,
a53ee2,2026-04-11 19:10:32+00:00,42.2399,-106.5207,10972,
a53ee2,2026-04-11 19:11:51+00:00,42.2547,-106.2858,11277,
a53ee2,2026-04-11 19:13:22+00:00,42.271,-106.0138,10972,
a53ee2,2026-04-11 19:14:52+00:00,42.2867,-105.7417,11277,
a53ee2,2026-04-11 19:15:27+00:00,42.2926,-105.6373,10972,
a53ee2,2026-04-11 19:17:59+00:00,42.3174,-105.1783,11277,
a53ee2,2026-04-11 19:19:06+00:00,42.3277,-104.9749,10972,
a53ee2,2026-04-11 19:22:56+00:00,42.3613,-104.2631,11277,
a53ee2,2026-04-11 19:24:16+00:00,42.3718,-104.0187,10972,
a53ee2,2026-04-11 19:24:26+00:00,42.3731,-103.9869,11277,
a53ee2,2026-04-11 19:24:57+00:00,42.3771,-103.892,10972,
a53ee2,2026-04-11 19:26:44+00:00,42.3898,-103.5636,11277,
a53ee2,2026-04-11 19:28:52+00:00,42.404,-103.1726,10972,
a53ee2,2026-04-11 19:30:23+00:00,42.4132,-102.8948,11277,
