icao24,time,lat,lon,altitude,velocity
a5951e,2026-04-11 18:42:25+00:00,36.0612,-96.1567,1219,
a5951e,2026-04-11 18:43:08+00:00,36.0752,-96.1802,1219,
a5951e,2026-04-11 18:43:57+00:00,36.091,-96.2062,1524,
a5951e,2026-04-11 18:44:25+00:00,36.0994,-96.2214,1524,
a5951e,2026-04-11 18:44:57+00:00,36.1043,-96.2445,1524,
a5951e,2026-04-11 18:45:31+00:00,36.1082,-96.2686,1524,
a5951e,2026-04-11 18:45:49+00:00,36.1103,-96.2787,1524,
a5951e,2026-04-11 18:46:01+00:00,36.1118,-96.2853,1524,
a5951e,2026-04-11 18:46:10+00:00,36.113,-96.2896,1524,
a5951e,2026-04-11 18:46:38+00:00,36.1168,-96.3031,1524,
a5951e,2026-04-11 18:46:44+00:00,36.1177,-96.3059,1524,
a5951e,2026-04-11 18:46:51+00:00,36.1187,-96.309,1524,
a5951e,2026-04-11 18:46:58+00:00,36.1197,-96.3116,1524,
a5951e,2026-04-11 18:47:04+00:00,36.1207,-96.3136,1524,
a5951e,2026-04-11 18:47:11+00:00,36.1217,-96.3161,1524,
a5951e,2026-04-11 18:47:29+00:00,36.1236,-96.3249,1828,
a5951e,2026-04-11 18:47:33+00:00,36.1232,-96.3267,1828,
a5951e,2026-04-11 18:47:43+00:00,36.1214,-96.3293,1828,
a5951e,2026-04-11 18:47:47+00:00,36.1202,-96.3304,1828,
a5951e,2026-04-11 18:47:55+00:00,36.1171,-96.3313,1828,
a5951e,2026-04-11 18:48:02+00:00,36.1142,-96.3314,1828,
a5951e,2026-04-11 18:48:16+00:00,36.1082,-96.3312,1828,
a5951e,2026-04-11 18:49:02+00:00,36.0873,-96.3295,1828,
a5951e,2026-04-11 18:49:27+00:00,36.0794,-96.3286,1828,
a5951e,2026-04-11 18:49:33+00:00,36.0778,-96.3284,1828,
a5951e,2026-04-11 18:49:40+00:00,36.0766,-96.3281,1828,
a5951e,2026-04-11 18:49:47+00:00,36.0755,-96.3278,1828,
a5951e,2026-04-11 18:49:55+00:00,36.074,-96.3276,1828,
a5951e,2026-04-11 18:50:08+00:00,36.0703,-96.3273,1828,
a5951e,2026-04-11 18:51:32+00:00,36.0367,-96.3242,1828,
a5951e,2026-04-11 18:51:38+00:00,36.0344,-96.3239,1828,
a5951e,2026-04-11 18:51:44+00:00,36.0328,-96.3221,1828,
a5951e,2026-04-11 18:51:45+00:00,36.0327,-96.322,1828,
a5951e,2026-04-11 18:51:59+00:00,36.0281,-96.318,1828,
a5951e,2026-04-11 18:52:06+00:00,36.0252,-96.3178,1828,
a5951e,2026-04-11 18:52:41+00:00,36.0108,-96.3166,1828,
a5951e,2026-04-11 18:52:56+00:00,36.0051,-96.3159,1828,
a5951e,2026-04-11 18:53:05+00:00,36.0024,-96.3148,1828,
a5951e,2026-04-11 18:53:16+00:00,35.9989,-96.3107,1828,
a5951e,2026-04-11 18:53:23+00:00,35.9966,-96.3097,1828,
a5951e,2026-04-11 18:53:32+00:00,35.9931,-96.308,1828,
a5951e,2026-04-11 18:53:40+00:00,35.9915,-96.3038,1828,
a5951e,2026-04-11 18:53:42+00:00,35.9915,-96.3024,1828,
a5951e,2026-04-11 18:53:52+00:00,35.9947,-96.2948,1828,
a5951e,2026-04-11 18:53:59+00:00,35.9993,-96.2922,1828,
a5951e,2026-04-11 18:54:05+00:00,36.0035,-96.2913,1828,
a5951e,2026-04-11 18:54:20+00:00,36.0141,-96.2898,1828,
a5951e,2026-04-11 18:55:15+00:00,36.0544,-96.286,1828,
a5951e,2026-04-11 18:55:30+00:00,36.0637,-96.2854,1828,
a5951e,2026-04-11 18:55:36+00:00,36.0671,-96.2849,1828,
a5951e,2026-04-11 18:55:37+00:00,36.0681,-96.2847,1828,
a5951e,2026-04-11 18:56:24+00:00,36.0916,-96.2797,1828,
a5951e,2026-04-11 18:56:48+00:00,36.1053,-96.2775,1828,
a5951e,2026-04-11 18:57:13+00:00,36.1199,-96.2788,1828,
a5951e,2026-04-11 18:57:20+00:00,36.1225,-96.282,1828,
a5951e,2026-04-11 18:57:21+00:00,36.123,-96.283,1828,
a5951e,2026-04-11 18:57:42+00:00,36.1211,-96.2944,1828,
a5951e,2026-04-11 18:57:48+00:00,36.1182,-96.2963,1828,
a5951e,2026-04-11 18:57:56+00:00,36.1148,-96.2974,1828,
a5951e,2026-04-11 18:58:01+00:00,36.1119,-96.2979,1828,
a5951e,2026-04-11 18:58:08+00:00,36.1084,-96.298,1828,
a5951e,2026-04-11 18:58:13+00:00,36.1056,-96.2979,1828,
a5951e,2026-04-11 19:00:08+00:00,36.0539,-96.2932,1828,
a5951e,2026-04-11 19:00:13+00:00,36.0526,-96.2931,1828,
a5951e,2026-04-11 19:00:21+00:00,36.0509,-96.2925,1828,
a5951e,2026-04-11 19:00:27+00:00,36.0494,-96.2913,1828,
a5951e,2026-04-11 19:00:34+00:00,36.0483,-96.2897,1828,
a5951e,2026-04-11 19:00:41+00:00,36.0472,-96.2876,1828,
a5951e,2026-04-11 19:00:48+00:00,36.0461,-96.2849,1828,
a5951e,2026-04-11 19:00:55+00:00,36.0454,-96.2821,1828,
a5951e,2026-04-11 19:01:02+00:00,36.0452,-96.2792,1828,
a5951e,2026-04-11 19:01:08+00:00,36.0452,-96.2766,1828,
a5951e,2026-04-11 19:01:16+00:00,36.0456,-96.2728,1828,
a5951e,2026-04-11 19:01:22+00:00,36.0462,-96.2697,1828,
a5951e,2026-04-11 19:01:28+00:00,36.0466,-96.2668,1828,
a5951e,2026-04-11 19:01:31+00:00,36.0466,-96.2656,1828,
a5951e,2026-04-11 19:01:41+00:00,36.046,-96.2615,1828,
a5951e,2026-04-11 19:01:50+00:00,36.0445,-96.2587,1828,
a5951e,2026-04-11 19:01:58+00:00,36.043,-96.2576,1828,
a5951e,2026-04-11 19:02:05+00:00,36.0413,-96.257,1828,
a5951e,2026-04-11 19:02:11+00:00,36.0399,-96.2566,1828,
a5951e,2026-04-11 19:02:24+00:00,36.0369,-96.2557,1828,
a5951e,2026-04-11 19:02:38+00:00,36.0338,-96.2551,1828,
a5951e,2026-04-11 19:02:45+00:00,36.0325,-96.2547,1828,
a5951e,2026-04-11 19:02:52+00:00,36.031,-96.254,1828,
a5951e,2026-04-11 19:02:59+00:00,36.0296,-96.2533,1828,
a5951e,2026-04-11 19:03:05+00:00,36.0285,-96.2524,1828,
a5951e,2026-04-11 19:03:12+00:00,36.0271,-96.2512,1828,
a5951e,2026-04-11 19:03:17+00:00,36.0262,-96.2503,1828,
a5951e,2026-04-11 19:03:27+00:00,36.0248,-96.2474,1828,
a5951e,2026-04-11 19:03:33+00:00,36.0242,-96.2448,1828,
a5951e,2026-04-11 19:03:39+00:00,36.0241,-96.2426,1828,
a5951e,2026-04-11 19:03:43+00:00,36.0243,-96.2404,1828,
a5951e,2026-04-11 19:03:57+00:00,36.0249,-96.2346,1828,
a5951e,2026-04-11 19:04:43+00:00,36.0146,-96.2284,1828,
a5951e,2026-04-11 19:04:49+00:00,36.0126,-96.2282,1828,
a5951e,2026-04-11 19:05:03+00:00,36.0068,-96.2291,1828,
a5951e,2026-04-11 19:05:11+00:00,36.0038,-96.232,1828,
a5951e,2026-04-11 19:05:20+00:00,36.0023,-96.2371,1828,
a5951e,2026-04-11 19:05:27+00:00,36.003,-96.242,1828,
a5951e,2026-04-11 19:05:34+00:00,36.0056,-96.2464,1828,
a5951e,2026-04-11 19:05:39+00:00,36.009,-96.2491,1828,
a5951e,2026-04-11 19:05:48+00:00,36.0153,-96.251,1828,
a5951e,2026-04-11 19:06:02+00:00,36.0258,-96.2501,1828,
a5951e,2026-04-11 19:06:51+00:00,36.0639,-96.2452,1828,
a5951e,2026-04-11 19:06:57+00:00,36.0689,-96.2447,1828,
a5951e,2026-04-11 19:07:23+00:00,36.0746,-96.2543,1828,
a5951e,2026-04-11 19:07:33+00:00,36.0717,-96.2487,1828,
a5951e,2026-04-11 19:07:47+00:00,36.0796,-96.2416,1828,
a5951e,2026-04-11 19:07:50+00:00,36.0824,-96.2414,1828,
a5951e,2026-04-11 19:08:17+00:00,36.0818,-96.2322,1828,
a5951e,2026-04-11 19:08:21+00:00,36.0817,-96.2351,1828,
a5951e,2026-04-11 19:08:26+00:00,36.0838,-96.2382,1828,
a5951e,2026-04-11 19:09:18+00:00,36.1203,-96.2358,1828,
a5951e,2026-04-11 19:09:35+00:00,36.1322,-96.2348,1828,
a5951e,2026-04-11 19:09:42+00:00,36.1368,-96.2335,1828,
a5951e,2026-04-11 19:09:49+00:00,36.1416,-96.2311,1828,
a5951e,2026-04-11 19:09:57+00:00,36.1464,-96.2278,1828,
a5951e,2026-04-11 19:10:28+00:00,36.1662,-96.2129,1828,
a5951e,2026-04-11 19:11:43+00:00,36.2135,-96.1781,1524,
a5951e,2026-04-11 19:11:48+00:00,36.2164,-96.1756,1524,
a5951e,2026-04-11 19:12:20+00:00,36.2237,-96.1518,1524,
a5951e,2026-04-11 19:12:29+00:00,36.223,-96.1451,1524,
a5951e,2026-04-11 19:12:32+00:00,36.2227,-96.1424,1219,
a5951e,2026-04-11 19:12:44+00:00,36.2214,-96.1335,1219,
a5951e,2026-04-11 19:13:52+00:00,36.2126,-96.0806,1219,
a5951e,2026-04-11 19:13:58+00:00,36.2116,-96.0754,914,
a5951e,2026-04-11 19:14:05+00:00,36.2108,-96.0706,914,
a5951e,2026-04-11 19:14:16+00:00,36.2096,-96.0619,914,
a5951e,2026-04-11 19:14:58+00:00,36.2062,-96.028,914,
a5951e,2026-04-11 19:15:39+00:00,36.2032,-95.9995,609,
a5951e,2026-04-11 19:15:46+00:00,36.2025,-95.9949,609,
a5951e,2026-04-11 19:15:54+00:00,36.2007,-95.9909,609,
a5951e,2026-04-11 19:16:00+00:00,36.1983,-95.9884,609,
a5951e,2026-04-11 19:16:06+00:00,36.196,-95.9873,609,
a5951e,2026-04-11 19:16:25+00:00,36.1881,-95.9854,609,
a5951e,2026-04-11 19:16:31+00:00,36.1856,-95.9849,609,
a5951e,2026-04-11 19:17:02+00:00,36.1738,-95.9821,609,
a5951e,2026-04-11 19:17:19+00:00,36.1674,-95.9805,609,
