icao24,time,lat,lon,altitude,velocity
a6053c,2026-04-11 18:59:57+00:00,43.1046,-88.0241,304,
a6053c,2026-04-11 19:00:07+00:00,43.1069,-88.0206,304,
a6053c,2026-04-11 19:00:13+00:00,43.1094,-88.0196,304,
a6053c,2026-04-11 19:00:19+00:00,43.1119,-88.0193,304,
a6053c,2026-04-11 19:00:26+00:00,43.1145,-88.0191,304,
a6053c,2026-04-11 19:00:32+00:00,43.1168,-88.0192,304,
a6053c,2026-04-11 19:00:40+00:00,43.12,-88.0193,304,
a6053c,2026-04-11 19:00:46+00:00,43.1222,-88.0195,304,
a6053c,2026-04-11 19:01:00+00:00,43.1285,-88.0198,304,
a6053c,2026-04-11 19:01:09+00:00,43.1318,-88.0193,304,
a6053c,2026-04-11 19:01:15+00:00,43.1345,-88.0183,304,
a6053c,2026-04-11 19:01:22+00:00,43.1371,-88.017,609,
a6053c,2026-04-11 19:01:28+00:00,43.1393,-88.0157,609,
a6053c,2026-04-11 19:01:36+00:00,43.1417,-88.0136,609,
a6053c,2026-04-11 19:01:41+00:00,43.1435,-88.0118,609,
a6053c,2026-04-11 19:01:51+00:00,43.146,-88.0089,609,
a6053c,2026-04-11 19:02:39+00:00,43.16,-87.9915,609,
a6053c,2026-04-11 19:02:51+00:00,43.163,-87.9877,609,
a6053c,2026-04-11 19:03:40+00:00,43.1801,-87.9677,914,
a6053c,2026-04-11 19:03:56+00:00,43.1857,-87.9613,914,
a6053c,2026-04-11 19:04:19+00:00,43.195,-87.9514,914,
a6053c,2026-04-11 19:04:30+00:00,43.1998,-87.9459,914,
a6053c,2026-04-11 19:05:39+00:00,43.2284,-87.9118,914,
a6053c,2026-04-11 19:05:48+00:00,43.2323,-87.9077,914,
a6053c,2026-04-11 19:05:56+00:00,43.2355,-87.9054,914,
a6053c,2026-04-11 19:06:02+00:00,43.2387,-87.9036,914,
a6053c,2026-04-11 19:06:08+00:00,43.2422,-87.9019,914,
a6053c,2026-04-11 19:06:15+00:00,43.2455,-87.9007,914,
a6053c,2026-04-11 19:06:22+00:00,43.2494,-87.8996,914,
a6053c,2026-04-11 19:06:29+00:00,43.2539,-87.8989,914,
a6053c,2026-04-11 19:06:43+00:00,43.2619,-87.8981,914,
a6053c,2026-04-11 19:06:50+00:00,43.2659,-87.8978,914,
a6053c,2026-04-11 19:07:04+00:00,43.2744,-87.8973,609,
a6053c,2026-04-11 19:07:25+00:00,43.2861,-87.8966,914,
a6053c,2026-04-11 19:07:32+00:00,43.2897,-87.896,609,
a6053c,2026-04-11 19:07:39+00:00,43.2936,-87.8944,914,
a6053c,2026-04-11 19:08:45+00:00,43.3259,-87.8785,914,
a6053c,2026-04-11 19:09:08+00:00,43.3375,-87.8735,914,
a6053c,2026-04-11 19:09:18+00:00,43.3424,-87.8716,914,
a6053c,2026-04-11 19:09:35+00:00,43.3509,-87.8682,914,
a6053c,2026-04-11 19:09:43+00:00,43.3549,-87.8659,914,
a6053c,2026-04-11 19:10:18+00:00,43.369,-87.851,914,
a6053c,2026-04-11 19:10:24+00:00,43.3714,-87.848,914,
a6053c,2026-04-11 19:10:31+00:00,43.3742,-87.8459,914,
a6053c,2026-04-11 19:10:38+00:00,43.3781,-87.8449,914,
a6053c,2026-04-11 19:10:46+00:00,43.383,-87.8453,914,
a6053c,2026-04-11 19:10:53+00:00,43.3865,-87.8476,914,
a6053c,2026-04-11 19:10:57+00:00,43.388,-87.8497,914,
a6053c,2026-04-11 19:11:07+00:00,43.39,-87.8567,914,
a6053c,2026-04-11 19:11:15+00:00,43.3904,-87.862,914,
a6053c,2026-04-11 19:11:22+00:00,43.3903,-87.8654,914,
a6053c,2026-04-11 19:11:29+00:00,43.3894,-87.8692,914,
a6053c,2026-04-11 19:11:36+00:00,43.3874,-87.8725,914,
a6053c,2026-04-11 19:11:41+00:00,43.387,-87.8733,914,
a6053c,2026-04-11 19:11:50+00:00,43.3857,-87.8803,914,
a6053c,2026-04-11 19:12:00+00:00,43.3836,-87.8865,914,
a6053c,2026-04-11 19:12:05+00:00,43.3823,-87.889,914,
a6053c,2026-04-11 19:12:13+00:00,43.38,-87.8921,914,
a6053c,2026-04-11 19:12:20+00:00,43.3776,-87.8945,914,
a6053c,2026-04-11 19:12:28+00:00,43.3745,-87.8968,914,
a6053c,2026-04-11 19:12:36+00:00,43.3719,-87.8982,914,
a6053c,2026-04-11 19:12:44+00:00,43.3687,-87.8998,914,
a6053c,2026-04-11 19:12:50+00:00,43.3666,-87.9007,914,
a6053c,2026-04-11 19:12:57+00:00,43.3637,-87.9018,914,
