icao24,time,lat,lon,altitude,velocity
a65eb5,2026-04-12 09:47:44+00:00,42.6944,-71.1461,0,
a65eb5,2026-04-12 09:47:54+00:00,42.6892,-71.151,0,
a65eb5,2026-04-12 09:48:23+00:00,42.6744,-71.1657,304,
a65eb5,2026-04-12 09:48:53+00:00,42.6599,-71.1815,304,
a65eb5,2026-04-12 09:49:24+00:00,42.6436,-71.1993,609,
a65eb5,2026-04-12 09:49:28+00:00,42.6412,-71.2017,609,
a65eb5,2026-04-12 09:50:14+00:00,42.6138,-71.2275,609,
a65eb5,2026-04-12 09:51:41+00:00,42.5587,-71.2813,914,
a65eb5,2026-04-12 09:53:14+00:00,42.5011,-71.3374,1219,
a65eb5,2026-04-12 10:00:38+00:00,42.2074,-71.6217,1524,
a65eb5,2026-04-12 10:00:41+00:00,42.2051,-71.6242,1524,
a65eb5,2026-04-12 10:00:45+00:00,42.2027,-71.6276,1524,
a65eb5,2026-04-12 10:00:49+00:00,42.2009,-71.6309,1524,
a65eb5,2026-04-12 10:00:52+00:00,42.1997,-71.6339,1524,
a65eb5,2026-04-12 10:00:56+00:00,42.1987,-71.6381,1524,
a65eb5,2026-04-12 10:01:22+00:00,42.1935,-71.664,1524,
a65eb5,2026-04-12 10:05:43+00:00,42.1309,-71.9259,1524,
a65eb5,2026-04-12 10:07:19+00:00,42.1039,-72.0197,1524,
a65eb5,2026-04-12 10:07:24+00:00,42.1028,-72.0234,1828,
a65eb5,2026-04-12 10:07:27+00:00,42.1017,-72.027,1524,
a65eb5,2026-04-12 10:07:31+00:00,42.1003,-72.0305,1524,
a65eb5,2026-04-12 10:07:35+00:00,42.0987,-72.0336,1524,
a65eb5,2026-04-12 10:07:38+00:00,42.0973,-72.0358,1524,
a65eb5,2026-04-12 10:07:42+00:00,42.0951,-72.0386,1524,
a65eb5,2026-04-12 10:07:46+00:00,42.0929,-72.0414,1828,
a65eb5,2026-04-12 10:08:00+00:00,42.0845,-72.0505,1828,
a65eb5,2026-04-12 10:08:04+00:00,42.0822,-72.0527,1828,
a65eb5,2026-04-12 10:08:09+00:00,42.0793,-72.0551,1828,
a65eb5,2026-04-12 10:10:23+00:00,41.9933,-72.1261,1828,
a65eb5,2026-04-12 10:25:22+00:00,41.371,-72.6446,2133,
a65eb5,2026-04-12 10:26:10+00:00,41.3365,-72.6732,2133,
a65eb5,2026-04-12 10:26:14+00:00,41.3335,-72.6755,2133,
a65eb5,2026-04-12 10:26:19+00:00,41.3304,-72.6777,2133,
a65eb5,2026-04-12 10:26:23+00:00,41.3273,-72.6794,2133,
a65eb5,2026-04-12 10:26:27+00:00,41.3237,-72.6811,2133,
a65eb5,2026-04-12 10:26:30+00:00,41.3206,-72.6822,2133,
a65eb5,2026-04-12 10:26:36+00:00,41.3153,-72.6835,2133,
a65eb5,2026-04-12 10:26:41+00:00,41.3117,-72.684,2133,
a65eb5,2026-04-12 10:26:45+00:00,41.3078,-72.6843,2133,
a65eb5,2026-04-12 10:26:48+00:00,41.3044,-72.6844,2133,
a65eb5,2026-04-12 10:26:53+00:00,41.3004,-72.6843,2133,
a65eb5,2026-04-12 10:26:57+00:00,41.2967,-72.684,2133,
a65eb5,2026-04-12 10:26:59+00:00,41.2943,-72.6838,2133,
a65eb5,2026-04-12 10:27:08+00:00,41.2867,-72.6827,2133,
a65eb5,2026-04-12 10:27:21+00:00,41.2746,-72.6804,2133,
a65eb5,2026-04-12 10:28:21+00:00,41.2171,-72.6665,2133,
a65eb5,2026-04-12 10:30:20+00:00,41.0997,-72.6362,1828,
a65eb5,2026-04-12 10:34:01+00:00,40.894,-72.5831,1524,
a65eb5,2026-04-12 10:34:06+00:00,40.8901,-72.5823,1524,
a65eb5,2026-04-12 10:34:10+00:00,40.8866,-72.5822,1524,
a65eb5,2026-04-12 10:34:14+00:00,40.8832,-72.5826,1524,
a65eb5,2026-04-12 10:34:18+00:00,40.8791,-72.5841,1524,
a65eb5,2026-04-12 10:34:22+00:00,40.8761,-72.5861,1524,
a65eb5,2026-04-12 10:34:26+00:00,40.8734,-72.5885,1524,
a65eb5,2026-04-12 10:34:32+00:00,40.8705,-72.5927,1524,
a65eb5,2026-04-12 10:34:35+00:00,40.869,-72.5958,1524,
a65eb5,2026-04-12 10:34:39+00:00,40.8679,-72.5996,1524,
a65eb5,2026-04-12 10:34:44+00:00,40.8673,-72.6045,1524,
a65eb5,2026-04-12 10:34:49+00:00,40.8672,-72.6093,1524,
