icao24,time,lat,lon,altitude,velocity
a6aec4,2026-04-11 18:50:15+00:00,38.3399,-85.6886,609,
a6aec4,2026-04-11 18:50:17+00:00,38.3408,-85.687,609,
a6aec4,2026-04-11 18:50:38+00:00,38.3554,-85.6646,914,
a6aec4,2026-04-11 18:50:53+00:00,38.3668,-85.6467,1219,
a6aec4,2026-04-11 18:51:08+00:00,38.3781,-85.6293,1524,
a6aec4,2026-04-11 18:51:16+00:00,38.3842,-85.6204,1828,
a6aec4,2026-04-11 18:51:25+00:00,38.3906,-85.6096,1828,
a6aec4,2026-04-11 18:51:31+00:00,38.3947,-85.5996,1828,
a6aec4,2026-04-11 18:51:38+00:00,38.3974,-85.5877,2133,
a6aec4,2026-04-11 18:51:45+00:00,38.3981,-85.5773,2133,
a6aec4,2026-04-11 18:51:51+00:00,38.3967,-85.5656,2438,
a6aec4,2026-04-11 18:51:58+00:00,38.3934,-85.5547,2438,
a6aec4,2026-04-11 18:52:05+00:00,38.3882,-85.5441,2438,
a6aec4,2026-04-11 18:52:12+00:00,38.3819,-85.5357,2743,
a6aec4,2026-04-11 18:52:20+00:00,38.3738,-85.5275,2743,
a6aec4,2026-04-11 18:52:26+00:00,38.3665,-85.5211,3048,
a6aec4,2026-04-11 18:52:33+00:00,38.3586,-85.5146,3048,
a6aec4,2026-04-11 18:52:40+00:00,38.3513,-85.5083,3352,
a6aec4,2026-04-11 18:52:48+00:00,38.3416,-85.4994,3352,
a6aec4,2026-04-11 18:52:55+00:00,38.334,-85.4916,3657,
a6aec4,2026-04-11 18:53:02+00:00,38.3266,-85.4835,3657,
a6aec4,2026-04-11 18:53:32+00:00,38.2941,-85.4468,3962,
a6aec4,2026-04-11 18:53:39+00:00,38.2861,-85.4376,4267,
a6aec4,2026-04-11 18:53:45+00:00,38.2799,-85.4292,4267,
a6aec4,2026-04-11 18:53:52+00:00,38.2734,-85.4175,4267,
a6aec4,2026-04-11 18:53:59+00:00,38.2684,-85.4051,4267,
a6aec4,2026-04-11 18:54:06+00:00,38.2638,-85.3918,4572,
a6aec4,2026-04-11 18:54:20+00:00,38.2559,-85.365,4572,
a6aec4,2026-04-11 18:54:47+00:00,38.2392,-85.3084,4876,
a6aec4,2026-04-11 18:55:08+00:00,38.226,-85.2665,5181,
a6aec4,2026-04-11 18:55:36+00:00,38.2066,-85.2064,5486,
a6aec4,2026-04-11 18:55:58+00:00,38.192,-85.1613,5791,
a6aec4,2026-04-11 18:56:25+00:00,38.1735,-85.1038,6096,
a6aec4,2026-04-11 18:56:52+00:00,38.1543,-85.044,6400,
a6aec4,2026-04-11 18:57:26+00:00,38.1297,-84.9692,6705,
a6aec4,2026-04-11 18:58:09+00:00,38.0982,-84.8732,7010,
a6aec4,2026-04-11 18:58:41+00:00,38.0731,-84.7964,7315,
a6aec4,2026-04-11 18:59:16+00:00,38.0458,-84.7134,7620,
a6aec4,2026-04-11 18:59:46+00:00,38.0221,-84.6417,7924,
a6aec4,2026-04-11 19:00:27+00:00,37.9896,-84.544,8229,
a6aec4,2026-04-11 19:00:41+00:00,37.9791,-84.5126,8534,
a6aec4,2026-04-11 19:00:49+00:00,37.9713,-84.4943,8534,
a6aec4,2026-04-11 19:00:55+00:00,37.9633,-84.4809,8534,
a6aec4,2026-04-11 19:01:01+00:00,37.9542,-84.4694,8534,
a6aec4,2026-04-11 19:01:09+00:00,37.9428,-84.4577,8534,
a6aec4,2026-04-11 19:01:16+00:00,37.9308,-84.4472,8839,
a6aec4,2026-04-11 19:01:29+00:00,37.9085,-84.4294,8839,
a6aec4,2026-04-11 19:01:50+00:00,37.8698,-84.3998,8839,
a6aec4,2026-04-11 19:02:51+00:00,37.7618,-84.3152,9144,
a6aec4,2026-04-11 19:03:34+00:00,37.6832,-84.2533,9448,
a6aec4,2026-04-11 19:03:40+00:00,37.6704,-84.2433,9144,
a6aec4,2026-04-11 19:04:36+00:00,37.5654,-84.1623,9448,
a6aec4,2026-04-11 19:05:26+00:00,37.4715,-84.0897,9753,
a6aec4,2026-04-11 19:06:22+00:00,37.3653,-84.009,10058,
a6aec4,2026-04-11 19:07:26+00:00,37.2444,-83.9169,10363,
a6aec4,2026-04-11 19:08:25+00:00,37.1317,-83.8304,10668,
a6aec4,2026-04-11 19:09:41+00:00,36.9853,-83.7184,10972,
a6aec4,2026-04-11 19:17:36+00:00,36.0191,-82.9964,11277,
a6aec4,2026-04-11 19:17:43+00:00,36.0044,-82.9857,10972,
a6aec4,2026-04-11 19:28:46+00:00,34.7019,-82.0453,11277,
a6aec4,2026-04-11 19:28:52+00:00,34.6896,-82.0366,11582,
