icao24,time,lat,lon,altitude,velocity
a77ec5,2026-04-11 15:45:42+00:00,33.6527,-117.8837,0,
a77ec5,2026-04-11 15:45:49+00:00,33.6467,-117.8872,304,
a77ec5,2026-04-11 15:45:57+00:00,33.6397,-117.8892,304,
a77ec5,2026-04-11 15:46:14+00:00,33.6241,-117.8898,609,
a77ec5,2026-04-11 15:46:22+00:00,33.6162,-117.8911,609,
a77ec5,2026-04-11 15:46:29+00:00,33.6095,-117.8924,609,
a77ec5,2026-04-11 15:46:52+00:00,33.5877,-117.8965,914,
a77ec5,2026-04-11 15:47:00+00:00,33.5789,-117.8975,1219,
a77ec5,2026-04-11 15:47:08+00:00,33.5702,-117.8967,1219,
a77ec5,2026-04-11 15:47:15+00:00,33.5622,-117.8936,1219,
a77ec5,2026-04-11 15:47:23+00:00,33.5536,-117.8877,1219,
a77ec5,2026-04-11 15:47:31+00:00,33.5452,-117.8818,1524,
a77ec5,2026-04-11 15:47:39+00:00,33.5363,-117.8761,1524,
a77ec5,2026-04-11 15:47:47+00:00,33.5271,-117.8704,1828,
a77ec5,2026-04-11 15:47:55+00:00,33.5187,-117.8643,1828,
a77ec5,2026-04-11 15:48:04+00:00,33.5102,-117.8554,2133,
a77ec5,2026-04-11 15:48:12+00:00,33.5034,-117.8456,2133,
a77ec5,2026-04-11 15:48:19+00:00,33.4987,-117.8361,2438,
a77ec5,2026-04-11 15:48:27+00:00,33.4943,-117.8248,2438,
a77ec5,2026-04-11 15:48:42+00:00,33.4854,-117.8021,2743,
a77ec5,2026-04-11 15:48:49+00:00,33.4814,-117.7909,3048,
a77ec5,2026-04-11 15:48:57+00:00,33.4781,-117.7777,3048,
a77ec5,2026-04-11 15:49:05+00:00,33.4765,-117.7631,3048,
a77ec5,2026-04-11 15:49:13+00:00,33.4773,-117.748,3352,
a77ec5,2026-04-11 15:49:29+00:00,33.4806,-117.7199,3352,
a77ec5,2026-04-11 15:49:36+00:00,33.4829,-117.7044,3352,
a77ec5,2026-04-11 15:49:43+00:00,33.4866,-117.6906,3657,
a77ec5,2026-04-11 15:49:51+00:00,33.4923,-117.6753,3657,
a77ec5,2026-04-11 15:50:00+00:00,33.4987,-117.6612,3657,
a77ec5,2026-04-11 15:50:25+00:00,33.5209,-117.6143,3962,
a77ec5,2026-04-11 15:50:49+00:00,33.5417,-117.5708,4267,
