icao24,time,lat,lon,altitude,velocity
a7bbe9,2026-04-11 18:39:25+00:00,23.3913,-78.6796,10972,
a7bbe9,2026-04-11 18:42:15+00:00,23.7415,-78.7462,10972,
a7bbe9,2026-04-11 18:43:46+00:00,23.9311,-78.7834,10972,
a7bbe9,2026-04-11 18:44:29+00:00,24.0172,-78.8137,10972,
a7bbe9,2026-04-11 18:44:51+00:00,24.0581,-78.8341,10972,
a7bbe9,2026-04-11 18:44:55+00:00,24.065,-78.838,10972,
a7bbe9,2026-04-11 18:45:03+00:00,24.0796,-78.8466,10972,
a7bbe9,2026-04-11 18:46:02+00:00,24.1811,-78.9117,10972,
a7bbe9,2026-04-11 18:47:54+00:00,24.3722,-79.035,10668,
a7bbe9,2026-04-11 18:53:46+00:00,24.9721,-79.4244,10972,
a7bbe9,2026-04-11 18:54:54+00:00,25.0868,-79.4993,10668,
a7bbe9,2026-04-11 18:56:04+00:00,25.2041,-79.5764,10363,
a7bbe9,2026-04-11 18:56:25+00:00,25.2392,-79.5996,10058,
a7bbe9,2026-04-11 19:00:08+00:00,25.625,-79.8536,10363,
a7bbe9,2026-04-11 19:01:36+00:00,25.7755,-79.9533,10058,
a7bbe9,2026-04-11 19:02:31+00:00,25.872,-80.0173,9753,
a7bbe9,2026-04-11 19:03:33+00:00,25.9812,-80.09,9448,
a7bbe9,2026-04-11 19:04:58+00:00,26.1309,-80.1899,9144,
a7bbe9,2026-04-11 19:05:05+00:00,26.1432,-80.1981,8839,
a7bbe9,2026-04-11 19:05:13+00:00,26.1565,-80.2064,8839,
a7bbe9,2026-04-11 19:05:26+00:00,26.1821,-80.2203,9144,
a7bbe9,2026-04-11 19:06:16+00:00,26.2763,-80.2686,9144,
a7bbe9,2026-04-11 19:06:43+00:00,26.3277,-80.2951,8839,
a7bbe9,2026-04-11 19:07:12+00:00,26.3825,-80.3238,8534,
a7bbe9,2026-04-11 19:07:33+00:00,26.4232,-80.345,8229,
a7bbe9,2026-04-11 19:07:56+00:00,26.4681,-80.3686,7924,
a7bbe9,2026-04-11 19:08:24+00:00,26.522,-80.3969,7620,
a7bbe9,2026-04-11 19:09:06+00:00,26.5993,-80.4374,7315,
a7bbe9,2026-04-11 19:09:13+00:00,26.6119,-80.444,7010,
a7bbe9,2026-04-11 19:09:20+00:00,26.6259,-80.4508,7010,
a7bbe9,2026-04-11 19:10:32+00:00,26.7618,-80.5068,7010,
a7bbe9,2026-04-11 19:11:29+00:00,26.8669,-80.5503,6705,
a7bbe9,2026-04-11 19:12:51+00:00,27.0158,-80.612,6400,
a7bbe9,2026-04-11 19:13:06+00:00,27.0431,-80.6233,6096,
a7bbe9,2026-04-11 19:13:44+00:00,27.1102,-80.6513,6400,
a7bbe9,2026-04-11 19:14:52+00:00,27.2312,-80.7021,6096,
a7bbe9,2026-04-11 19:16:01+00:00,27.3508,-80.7523,5791,
a7bbe9,2026-04-11 19:16:39+00:00,27.4155,-80.7796,5486,
a7bbe9,2026-04-11 19:17:00+00:00,27.4523,-80.7956,5181,
a7bbe9,2026-04-11 19:17:22+00:00,27.4911,-80.8125,4876,
a7bbe9,2026-04-11 19:17:52+00:00,27.5437,-80.8354,4572,
a7bbe9,2026-04-11 19:18:06+00:00,27.5686,-80.8466,4267,
a7bbe9,2026-04-11 19:18:30+00:00,27.6093,-80.8679,3962,
a7bbe9,2026-04-11 19:18:58+00:00,27.6558,-80.8924,3657,
a7bbe9,2026-04-11 19:19:57+00:00,27.7436,-80.9388,3352,
a7bbe9,2026-04-11 19:20:43+00:00,27.8043,-80.9702,3048,
a7bbe9,2026-04-11 19:21:26+00:00,27.859,-80.9988,2743,
a7bbe9,2026-04-11 19:22:11+00:00,27.915,-81.0282,2438,
a7bbe9,2026-04-11 19:22:27+00:00,27.9342,-81.0384,2133,
a7bbe9,2026-04-11 19:22:41+00:00,27.9522,-81.0463,2133,
a7bbe9,2026-04-11 19:22:49+00:00,27.9613,-81.0517,2133,
a7bbe9,2026-04-11 19:22:56+00:00,27.9694,-81.0591,1828,
a7bbe9,2026-04-11 19:23:03+00:00,27.9756,-81.0657,1828,
a7bbe9,2026-04-11 19:23:33+00:00,28.0039,-81.0975,1828,
a7bbe9,2026-04-11 19:26:07+00:00,28.148,-81.2562,1524,
a7bbe9,2026-04-11 19:26:37+00:00,28.1758,-81.2871,1219,
a7bbe9,2026-04-11 19:27:04+00:00,28.2,-81.314,914,
a7bbe9,2026-04-11 19:27:12+00:00,28.2079,-81.3203,609,
a7bbe9,2026-04-11 19:27:19+00:00,28.2155,-81.3238,609,
a7bbe9,2026-04-11 19:27:26+00:00,28.2243,-81.3249,609,
a7bbe9,2026-04-11 19:27:33+00:00,28.233,-81.3248,609,
a7bbe9,2026-04-11 19:27:53+00:00,28.2571,-81.3239,304,
a7bbe9,2026-04-11 19:28:00+00:00,28.2652,-81.3241,304,
a7bbe9,2026-04-11 19:29:10+00:00,28.3337,-81.3258,304,
a7bbe9,2026-04-11 19:29:29+00:00,28.3484,-81.3258,304,
a7bbe9,2026-04-11 19:29:36+00:00,28.3533,-81.3259,304,
a7bbe9,2026-04-11 19:29:42+00:00,28.3577,-81.3259,0,
a7bbe9,2026-04-11 19:29:56+00:00,28.3674,-81.326,0,
a7bbe9,2026-04-11 19:30:06+00:00,28.3739,-81.326,0,
a7bbe9,2026-04-11 19:30:13+00:00,28.3786,-81.326,0,
a7bbe9,2026-04-11 19:30:19+00:00,28.3826,-81.3261,0,
a7bbe9,2026-04-11 19:30:35+00:00,28.3931,-81.3262,0,
