icao24,time,lat,lon,altitude,velocity
a830f2,2026-04-11 16:52:42+00:00,41.6272,-87.4104,0,
a830f2,2026-04-11 16:52:56+00:00,41.6331,-87.4062,0,
a830f2,2026-04-11 16:53:04+00:00,41.6352,-87.4024,304,
a830f2,2026-04-11 16:53:11+00:00,41.6355,-87.3977,304,
a830f2,2026-04-11 16:53:17+00:00,41.6344,-87.3941,304,
a830f2,2026-04-11 16:53:26+00:00,41.6313,-87.3896,304,
a830f2,2026-04-11 16:53:34+00:00,41.6276,-87.387,304,
a830f2,2026-04-11 16:53:41+00:00,41.6243,-87.3849,304,
a830f2,2026-04-11 16:53:48+00:00,41.6208,-87.3829,304,
a830f2,2026-04-11 16:53:56+00:00,41.617,-87.3808,304,
a830f2,2026-04-11 16:55:00+00:00,41.5833,-87.3629,609,
a830f2,2026-04-11 16:55:08+00:00,41.579,-87.3607,914,
a830f2,2026-04-11 16:55:16+00:00,41.5746,-87.3583,914,
a830f2,2026-04-11 16:55:24+00:00,41.5705,-87.3559,914,
a830f2,2026-04-11 16:55:54+00:00,41.555,-87.3451,914,
a830f2,2026-04-11 16:57:04+00:00,41.5164,-87.3189,1219,
a830f2,2026-04-11 16:58:19+00:00,41.475,-87.2912,1524,
a830f2,2026-04-11 16:59:56+00:00,41.4168,-87.2524,1828,
a830f2,2026-04-11 17:14:55+00:00,40.7582,-86.8178,2133,
a830f2,2026-04-11 17:29:48+00:00,40.1063,-86.397,2133,
a830f2,2026-04-11 17:44:46+00:00,39.4508,-85.983,2133,
a830f2,2026-04-11 17:55:07+00:00,39.0039,-85.7052,2133,
a830f2,2026-04-11 18:10:03+00:00,38.3729,-85.2616,2133,
a830f2,2026-04-11 18:20:08+00:00,37.9614,-84.9774,2133,
a830f2,2026-04-11 18:21:35+00:00,37.9119,-84.9436,2438,
a830f2,2026-04-11 18:23:16+00:00,37.8531,-84.9034,2743,
a830f2,2026-04-11 18:24:56+00:00,37.795,-84.8637,3048,
a830f2,2026-04-11 18:28:47+00:00,37.644,-84.7607,3352,
a830f2,2026-04-11 18:30:32+00:00,37.5846,-84.7206,3657,
a830f2,2026-04-11 18:34:43+00:00,37.4199,-84.609,3962,
a830f2,2026-04-11 18:37:30+00:00,37.3088,-84.5345,4267,
a830f2,2026-04-11 18:51:47+00:00,36.7142,-84.1386,4572,
a830f2,2026-04-11 18:58:43+00:00,36.4192,-83.9446,4572,
a830f2,2026-04-11 19:04:02+00:00,36.1904,-83.7954,4267,
a830f2,2026-04-11 19:07:32+00:00,36.037,-83.6958,3962,
a830f2,2026-04-11 19:10:18+00:00,35.9173,-83.6185,3657,
a830f2,2026-04-11 19:12:50+00:00,35.8094,-83.5492,3352,
a830f2,2026-04-11 19:15:07+00:00,35.7096,-83.485,3048,
a830f2,2026-04-11 19:15:19+00:00,35.7003,-83.48,3048,
a830f2,2026-04-11 19:15:26+00:00,35.6948,-83.4781,3048,
a830f2,2026-04-11 19:17:20+00:00,35.6057,-83.4454,2743,
a830f2,2026-04-11 19:17:28+00:00,35.6001,-83.443,2743,
a830f2,2026-04-11 19:17:34+00:00,35.5958,-83.4402,2743,
a830f2,2026-04-11 19:17:58+00:00,35.5789,-83.4295,2743,
a830f2,2026-04-11 19:18:06+00:00,35.5733,-83.4261,2438,
a830f2,2026-04-11 19:23:54+00:00,35.3294,-83.2675,2438,
a830f2,2026-04-11 19:24:01+00:00,35.3249,-83.264,2438,
a830f2,2026-04-11 19:24:05+00:00,35.3224,-83.2617,2438,
a830f2,2026-04-11 19:29:00+00:00,35.1496,-83.0816,2438,
a830f2,2026-04-11 19:29:07+00:00,35.1454,-83.0782,2438,
a830f2,2026-04-11 19:29:15+00:00,35.1393,-83.075,2438,
a830f2,2026-04-11 19:29:22+00:00,35.1352,-83.0728,2438,
a830f2,2026-04-11 19:29:29+00:00,35.13,-83.0698,2438,
