icao24,time,lat,lon,altitude,velocity
a9a0f1,2026-04-11 19:19:33+00:00,30.373,-87.5322,304,
a9a0f1,2026-04-11 19:19:48+00:00,30.3668,-87.532,304,
a9a0f1,2026-04-11 19:20:38+00:00,30.3448,-87.5301,609,
a9a0f1,2026-04-11 19:22:08+00:00,30.3056,-87.5235,914,
a9a0f1,2026-04-11 19:22:39+00:00,30.2922,-87.5205,914,
a9a0f1,2026-04-11 19:22:51+00:00,30.2871,-87.5215,914,
a9a0f1,2026-04-11 19:23:02+00:00,30.283,-87.525,1219,
a9a0f1,2026-04-11 19:23:29+00:00,30.284,-87.5381,1219,
a9a0f1,2026-04-11 19:23:40+00:00,30.2882,-87.5399,1219,
a9a0f1,2026-04-11 19:23:46+00:00,30.2908,-87.5404,1219,
a9a0f1,2026-04-11 19:24:24+00:00,30.3064,-87.5434,1219,
a9a0f1,2026-04-11 19:24:40+00:00,30.3127,-87.5444,1524,
a9a0f1,2026-04-11 19:25:20+00:00,30.3286,-87.5465,1524,
a9a0f1,2026-04-11 19:25:27+00:00,30.3316,-87.5468,1524,
a9a0f1,2026-04-11 19:25:35+00:00,30.3346,-87.5468,1524,
a9a0f1,2026-04-11 19:25:44+00:00,30.3381,-87.5467,1524,
a9a0f1,2026-04-11 19:25:50+00:00,30.3408,-87.5467,1524,
a9a0f1,2026-04-11 19:26:03+00:00,30.346,-87.5468,1524,
a9a0f1,2026-04-11 19:26:14+00:00,30.3499,-87.547,1828,
a9a0f1,2026-04-11 19:26:37+00:00,30.359,-87.5479,1828,
a9a0f1,2026-04-11 19:26:44+00:00,30.3617,-87.5483,1828,
a9a0f1,2026-04-11 19:26:58+00:00,30.367,-87.5494,1828,
a9a0f1,2026-04-11 19:27:01+00:00,30.3683,-87.5496,1828,
a9a0f1,2026-04-11 19:28:01+00:00,30.3917,-87.551,1828,
a9a0f1,2026-04-11 19:28:14+00:00,30.3973,-87.5514,2133,
a9a0f1,2026-04-11 19:28:22+00:00,30.4003,-87.5517,2133,
a9a0f1,2026-04-11 19:28:32+00:00,30.4044,-87.5524,2133,
a9a0f1,2026-04-11 19:28:46+00:00,30.4103,-87.5534,2133,
a9a0f1,2026-04-11 19:28:53+00:00,30.4132,-87.5537,2133,
