icao24,time,lat,lon,altitude,velocity
a9a0fb,2026-04-11 19:06:16+00:00,28.0228,-82.336,0,
a9a0fb,2026-04-11 19:06:37+00:00,28.0275,-82.3305,0,
a9a0fb,2026-04-11 19:06:51+00:00,28.0311,-82.3272,0,
a9a0fb,2026-04-11 19:06:58+00:00,28.0322,-82.325,0,
a9a0fb,2026-04-11 19:07:03+00:00,28.0324,-82.3234,0,
a9a0fb,2026-04-11 19:07:12+00:00,28.0321,-82.3201,0,
a9a0fb,2026-04-11 19:07:19+00:00,28.0316,-82.3176,0,
a9a0fb,2026-04-11 19:07:25+00:00,28.0309,-82.3154,0,
a9a0fb,2026-04-11 19:07:38+00:00,28.0293,-82.3113,0,
a9a0fb,2026-04-11 19:07:47+00:00,28.0281,-82.3087,304,
a9a0fb,2026-04-11 19:07:56+00:00,28.0266,-82.3057,304,
a9a0fb,2026-04-11 19:08:45+00:00,28.0179,-82.2894,304,
a9a0fb,2026-04-11 19:08:52+00:00,28.0167,-82.2868,304,
a9a0fb,2026-04-11 19:09:00+00:00,28.0156,-82.2838,304,
a9a0fb,2026-04-11 19:09:06+00:00,28.015,-82.2815,304,
a9a0fb,2026-04-11 19:09:13+00:00,28.0145,-82.2789,304,
a9a0fb,2026-04-11 19:09:21+00:00,28.0142,-82.2757,304,
a9a0fb,2026-04-11 19:09:35+00:00,28.0141,-82.2701,304,
a9a0fb,2026-04-11 19:09:42+00:00,28.0135,-82.2673,304,
a9a0fb,2026-04-11 19:10:11+00:00,28.0092,-82.2562,304,
a9a0fb,2026-04-11 19:10:18+00:00,28.0085,-82.2537,304,
a9a0fb,2026-04-11 19:10:24+00:00,28.0081,-82.2513,304,
a9a0fb,2026-04-11 19:10:32+00:00,28.0077,-82.2483,304,
a9a0fb,2026-04-11 19:10:40+00:00,28.0071,-82.2453,304,
a9a0fb,2026-04-11 19:10:46+00:00,28.0065,-82.2428,304,
a9a0fb,2026-04-11 19:11:01+00:00,28.0053,-82.2374,0,
a9a0fb,2026-04-11 19:11:09+00:00,28.0047,-82.2343,0,
a9a0fb,2026-04-11 19:11:15+00:00,28.0043,-82.2319,0,
a9a0fb,2026-04-11 19:11:29+00:00,28.0037,-82.2263,0,
a9a0fb,2026-04-11 19:11:44+00:00,28.0035,-82.2205,0,
a9a0fb,2026-04-11 19:11:50+00:00,28.0033,-82.218,0,
a9a0fb,2026-04-11 19:12:07+00:00,28.0033,-82.2111,0,
a9a0fb,2026-04-11 19:12:13+00:00,28.0032,-82.2084,0,
a9a0fb,2026-04-11 19:12:21+00:00,28.0028,-82.2053,0,
a9a0fb,2026-04-11 19:12:29+00:00,28.0024,-82.2023,0,
a9a0fb,2026-04-11 19:12:35+00:00,28.0022,-82.2002,0,
a9a0fb,2026-04-11 19:12:52+00:00,28.002,-82.1939,0,
a9a0fb,2026-04-11 19:13:37+00:00,28.0012,-82.1797,0,
a9a0fb,2026-04-11 19:18:38+00:00,27.9993,-82.1547,0,
a9a0fb,2026-04-11 19:18:44+00:00,27.9989,-82.1526,0,
a9a0fb,2026-04-11 19:18:53+00:00,27.9984,-82.1494,0,
a9a0fb,2026-04-11 19:18:57+00:00,27.9981,-82.1479,0,
