icao24,time,lat,lon,altitude,velocity
a9fc9d,2026-04-12 11:43:02+00:00,34.3956,-85.1206,609,
a9fc9d,2026-04-12 11:43:32+00:00,34.4052,-85.1113,609,
a9fc9d,2026-04-12 11:44:26+00:00,34.4231,-85.0942,914,
a9fc9d,2026-04-12 11:45:24+00:00,34.4433,-85.0753,1219,
a9fc9d,2026-04-12 11:45:31+00:00,34.4454,-85.0731,1219,
a9fc9d,2026-04-12 11:45:39+00:00,34.4482,-85.0704,1219,
a9fc9d,2026-04-12 11:45:45+00:00,34.4504,-85.0684,1219,
a9fc9d,2026-04-12 11:45:46+00:00,34.4507,-85.0681,1219,
a9fc9d,2026-04-12 11:46:51+00:00,34.4734,-85.0465,1219,
a9fc9d,2026-04-12 11:47:32+00:00,34.4875,-85.0328,1524,
a9fc9d,2026-04-12 11:48:29+00:00,34.5079,-85.0137,1524,
a9fc9d,2026-04-12 11:49:09+00:00,34.5221,-84.9999,1828,
a9fc9d,2026-04-12 11:49:24+00:00,34.5276,-84.9948,1828,
a9fc9d,2026-04-12 11:50:37+00:00,34.5537,-84.9696,1828,
a9fc9d,2026-04-12 12:01:35+00:00,34.8373,-84.6974,2133,
a9fc9d,2026-04-12 12:02:25+00:00,34.8588,-84.6762,2133,
a9fc9d,2026-04-12 12:03:20+00:00,34.8832,-84.653,2133,
a9fc9d,2026-04-12 12:05:32+00:00,34.9408,-84.5971,2133,
a9fc9d,2026-04-12 12:07:14+00:00,34.9853,-84.5543,2133,
a9fc9d,2026-04-12 12:08:05+00:00,35.0077,-84.5323,2133,
a9fc9d,2026-04-12 12:22:06+00:00,35.3853,-84.1643,2133,
a9fc9d,2026-04-12 12:37:00+00:00,35.7879,-83.7668,2133,
a9fc9d,2026-04-12 12:39:36+00:00,35.86,-83.6952,2133,
a9fc9d,2026-04-12 12:41:27+00:00,35.9147,-83.6406,1828,
a9fc9d,2026-04-12 12:43:25+00:00,35.9716,-83.584,1524,
a9fc9d,2026-04-12 12:44:52+00:00,36.0134,-83.5424,1219,
a9fc9d,2026-04-12 12:48:22+00:00,36.1167,-83.4643,609,
a9fc9d,2026-04-12 12:48:56+00:00,36.1304,-83.4457,609,
a9fc9d,2026-04-12 12:48:58+00:00,36.1312,-83.4446,609,
