icao24,time,lat,lon,altitude,velocity
aae316,2026-04-11 18:41:25+00:00,39.8518,-75.2911,304,
aae316,2026-04-11 18:41:28+00:00,39.8497,-75.2934,304,
aae316,2026-04-11 18:41:39+00:00,39.8409,-75.3021,304,
aae316,2026-04-11 18:42:01+00:00,39.8199,-75.3211,609,
aae316,2026-04-11 18:42:15+00:00,39.8061,-75.3339,914,
aae316,2026-04-11 18:42:37+00:00,39.7837,-75.3542,1219,
aae316,2026-04-11 18:42:42+00:00,39.7774,-75.359,1524,
aae316,2026-04-11 18:42:51+00:00,39.7672,-75.3636,1524,
aae316,2026-04-11 18:42:57+00:00,39.7581,-75.3652,1828,
aae316,2026-04-11 18:43:04+00:00,39.7485,-75.3645,1828,
aae316,2026-04-11 18:43:14+00:00,39.7363,-75.3598,2133,
aae316,2026-04-11 18:43:20+00:00,39.7283,-75.3539,2133,
aae316,2026-04-11 18:43:27+00:00,39.7207,-75.3452,2133,
aae316,2026-04-11 18:43:35+00:00,39.7147,-75.3344,2438,
aae316,2026-04-11 18:43:41+00:00,39.7109,-75.3232,2438,
aae316,2026-04-11 18:43:49+00:00,39.7087,-75.3099,2438,
aae316,2026-04-11 18:43:57+00:00,39.7091,-75.295,2743,
aae316,2026-04-11 18:44:04+00:00,39.711,-75.282,2743,
aae316,2026-04-11 18:44:38+00:00,39.7209,-75.216,3048,
aae316,2026-04-11 18:47:22+00:00,39.7749,-74.8476,3352,
aae316,2026-04-11 18:47:43+00:00,39.7821,-74.7977,3657,
aae316,2026-04-11 18:47:56+00:00,39.7868,-74.7666,3962,
aae316,2026-04-11 18:48:03+00:00,39.7904,-74.75,3962,
aae316,2026-04-11 18:48:10+00:00,39.7957,-74.7338,4267,
aae316,2026-04-11 18:48:16+00:00,39.8013,-74.7211,4267,
aae316,2026-04-11 18:48:23+00:00,39.809,-74.7073,4267,
aae316,2026-04-11 18:48:30+00:00,39.8177,-74.695,4572,
aae316,2026-04-11 18:48:36+00:00,39.826,-74.6854,4572,
aae316,2026-04-11 18:48:43+00:00,39.8364,-74.6751,4572,
aae316,2026-04-11 18:48:57+00:00,39.8572,-74.6545,4876,
aae316,2026-04-11 18:49:11+00:00,39.877,-74.6348,5181,
aae316,2026-04-11 18:49:19+00:00,39.8889,-74.623,5486,
aae316,2026-04-11 18:49:41+00:00,39.9199,-74.5923,5791,
aae316,2026-04-11 18:49:55+00:00,39.9404,-74.5721,6096,
aae316,2026-04-11 18:50:32+00:00,39.9944,-74.5193,6400,
aae316,2026-04-11 18:51:09+00:00,40.0539,-74.4603,6705,
aae316,2026-04-11 18:51:32+00:00,40.0913,-74.4229,7010,
aae316,2026-04-11 18:52:06+00:00,40.1461,-74.3678,7315,
aae316,2026-04-11 18:55:08+00:00,40.4393,-74.0747,7620,
aae316,2026-04-11 18:55:15+00:00,40.4503,-74.0627,7620,
aae316,2026-04-11 18:55:21+00:00,40.4599,-74.0513,7620,
aae316,2026-04-11 18:55:30+00:00,40.4734,-74.0341,7620,
aae316,2026-04-11 18:55:37+00:00,40.4835,-74.0199,7620,
aae316,2026-04-11 18:55:44+00:00,40.4927,-74.0057,7620,
aae316,2026-04-11 18:57:35+00:00,40.6378,-73.7645,7620,
aae316,2026-04-11 19:03:34+00:00,41.1429,-73.0184,7620,
aae316,2026-04-11 19:04:03+00:00,41.1831,-72.9577,7315,
aae316,2026-04-11 19:04:09+00:00,41.1909,-72.9448,7010,
aae316,2026-04-11 19:04:16+00:00,41.1998,-72.9287,7010,
aae316,2026-04-11 19:04:23+00:00,41.2078,-72.9129,7010,
aae316,2026-04-11 19:04:30+00:00,41.2156,-72.8964,7010,
aae316,2026-04-11 19:04:37+00:00,41.2231,-72.879,7010,
aae316,2026-04-11 19:04:45+00:00,41.2309,-72.8591,7010,
aae316,2026-04-11 19:06:37+00:00,41.3346,-72.566,7010,
aae316,2026-04-11 19:07:19+00:00,41.3729,-72.4564,6705,
aae316,2026-04-11 19:08:10+00:00,41.4192,-72.3229,6400,
aae316,2026-04-11 19:08:52+00:00,41.4565,-72.215,6096,
