icao24,time,lat,lon,altitude,velocity
aae36f,2026-04-11 16:12:18+00:00,43.456,-124.3342,2438,
aae36f,2026-04-11 16:12:33+00:00,43.4486,-124.3542,2743,
aae36f,2026-04-11 16:12:57+00:00,43.435,-124.3889,3048,
aae36f,2026-04-11 16:13:04+00:00,43.4308,-124.3997,3352,
aae36f,2026-04-11 16:13:19+00:00,43.4188,-124.4192,3352,
aae36f,2026-04-11 16:13:26+00:00,43.4115,-124.4242,3657,
aae36f,2026-04-11 16:13:40+00:00,43.3946,-124.426,3657,
aae36f,2026-04-11 16:13:48+00:00,43.3843,-124.421,3962,
aae36f,2026-04-11 16:13:57+00:00,43.3754,-124.4117,3962,
aae36f,2026-04-11 16:14:01+00:00,43.3716,-124.4053,4267,
aae36f,2026-04-11 16:14:23+00:00,43.3644,-124.366,4572,
aae36f,2026-04-11 16:14:30+00:00,43.3667,-124.3511,4572,
aae36f,2026-04-11 16:14:36+00:00,43.3689,-124.3408,4572,
aae36f,2026-04-11 16:16:43+00:00,43.4223,-124.0586,6096,
aae36f,2026-04-11 16:17:11+00:00,43.4348,-123.9916,6400,
aae36f,2026-04-11 16:17:34+00:00,43.4455,-123.9338,6705,
aae36f,2026-04-11 16:17:59+00:00,43.4568,-123.8709,7010,
aae36f,2026-04-11 16:18:23+00:00,43.4675,-123.8127,7315,
aae36f,2026-04-11 16:18:46+00:00,43.4783,-123.7542,7620,
aae36f,2026-04-11 16:19:19+00:00,43.4937,-123.6711,7924,
aae36f,2026-04-11 16:19:51+00:00,43.5087,-123.589,8229,
aae36f,2026-04-11 16:20:24+00:00,43.5245,-123.502,8534,
aae36f,2026-04-11 16:21:05+00:00,43.5448,-123.3902,8839,
aae36f,2026-04-11 16:21:12+00:00,43.5497,-123.3686,9144,
aae36f,2026-04-11 16:21:20+00:00,43.5554,-123.3491,9144,
aae36f,2026-04-11 16:21:28+00:00,43.5625,-123.3284,9144,
aae36f,2026-04-11 16:21:35+00:00,43.5699,-123.3079,9144,
aae36f,2026-04-11 16:22:15+00:00,43.6076,-123.2062,9448,
aae36f,2026-04-11 16:22:48+00:00,43.6401,-123.1192,9753,
aae36f,2026-04-11 16:23:24+00:00,43.6757,-123.0243,10058,
aae36f,2026-04-11 16:23:40+00:00,43.6914,-122.982,10363,
aae36f,2026-04-11 16:23:48+00:00,43.6985,-122.9608,10363,
aae36f,2026-04-11 16:23:56+00:00,43.7049,-122.9379,10363,
aae36f,2026-04-11 16:24:04+00:00,43.7101,-122.9134,10363,
aae36f,2026-04-11 16:24:12+00:00,43.7139,-122.8909,10668,
aae36f,2026-04-11 16:24:45+00:00,43.7273,-122.7981,10668,
aae36f,2026-04-11 16:25:38+00:00,43.749,-122.6431,10972,
aae36f,2026-04-11 16:26:30+00:00,43.7701,-122.4912,11277,
aae36f,2026-04-11 16:27:20+00:00,43.7901,-122.3454,11582,
aae36f,2026-04-11 16:29:03+00:00,43.8307,-122.0434,11887,
aae36f,2026-04-11 16:31:14+00:00,43.8819,-121.654,12192,
aae36f,2026-04-11 16:31:49+00:00,43.8954,-121.5501,12496,
aae36f,2026-04-11 16:32:13+00:00,43.9044,-121.4801,12192,
aae36f,2026-04-11 16:32:53+00:00,43.9194,-121.3622,12496,
aae36f,2026-04-11 16:33:01+00:00,43.9226,-121.3376,12192,
aae36f,2026-04-11 16:33:57+00:00,43.9435,-121.172,12496,
aae36f,2026-04-11 16:34:20+00:00,43.9521,-121.1029,12192,
aae36f,2026-04-11 16:34:27+00:00,43.9548,-121.0814,12496,
aae36f,2026-04-11 16:34:35+00:00,43.9577,-121.0582,12192,
aae36f,2026-04-11 16:35:12+00:00,43.9713,-120.9477,12496,
aae36f,2026-04-11 16:35:37+00:00,43.9807,-120.8715,12192,
aae36f,2026-04-11 16:35:59+00:00,43.9889,-120.8038,12496,
aae36f,2026-04-11 16:36:31+00:00,44.0003,-120.7096,12192,
aae36f,2026-04-11 16:37:08+00:00,44.0137,-120.5984,12496,
aae36f,2026-04-11 16:37:22+00:00,44.0187,-120.5571,12192,
aae36f,2026-04-11 16:37:39+00:00,44.0247,-120.5049,12496,
aae36f,2026-04-11 16:37:46+00:00,44.0263,-120.4842,12496,
aae36f,2026-04-11 16:37:51+00:00,44.0269,-120.4671,12192,
aae36f,2026-04-11 16:38:00+00:00,44.0267,-120.4395,12192,
aae36f,2026-04-11 16:38:08+00:00,44.0253,-120.417,12192,
aae36f,2026-04-11 16:38:15+00:00,44.0231,-120.396,12496,
aae36f,2026-04-11 16:38:22+00:00,44.0203,-120.3769,12496,
aae36f,2026-04-11 16:38:25+00:00,44.0184,-120.3653,12496,
aae36f,2026-04-11 16:39:45+00:00,43.9716,-120.1388,12192,
aae36f,2026-04-11 16:40:13+00:00,43.955,-120.0596,12496,
aae36f,2026-04-11 16:40:25+00:00,43.9482,-120.0268,12192,
aae36f,2026-04-11 16:41:12+00:00,43.9199,-119.8935,12496,
aae36f,2026-04-11 16:41:26+00:00,43.9117,-119.855,12192,
aae36f,2026-04-11 16:51:39+00:00,43.5291,-118.131,12496,
aae36f,2026-04-11 16:52:12+00:00,43.5079,-118.0393,12192,
aae36f,2026-04-11 16:52:42+00:00,43.4876,-117.952,12496,
aae36f,2026-04-11 16:53:56+00:00,43.4399,-117.7478,12192,
aae36f,2026-04-11 16:54:28+00:00,43.4187,-117.6581,12496,
aae36f,2026-04-11 16:54:44+00:00,43.4087,-117.6155,12192,
aae36f,2026-04-11 16:55:00+00:00,43.3981,-117.5706,12496,
aae36f,2026-04-11 16:55:08+00:00,43.3926,-117.5476,12192,
aae36f,2026-04-11 16:55:47+00:00,43.3671,-117.4406,12496,
aae36f,2026-04-11 16:56:12+00:00,43.3503,-117.3701,12192,
aae36f,2026-04-11 16:56:41+00:00,43.3315,-117.2913,12496,
aae36f,2026-04-11 16:57:41+00:00,43.2911,-117.1235,12192,
aae36f,2026-04-11 16:58:19+00:00,43.2657,-117.0188,12496,
aae36f,2026-04-11 16:58:34+00:00,43.2557,-116.9775,12192,
aae36f,2026-04-11 16:58:48+00:00,43.2459,-116.937,12496,
aae36f,2026-04-11 16:59:11+00:00,43.2307,-116.8747,12192,
aae36f,2026-04-11 16:59:26+00:00,43.2208,-116.8342,12496,
aae36f,2026-04-11 16:59:55+00:00,43.2011,-116.7538,12192,
aae36f,2026-04-11 17:00:20+00:00,43.1845,-116.686,12496,
