icao24,time,lat,lon,altitude,velocity
aaf663,2026-04-11 18:24:00+00:00,26.0366,-85.707,13716,
aaf663,2026-04-11 18:26:20+00:00,26.3214,-85.6413,13716,
aaf663,2026-04-11 18:26:28+00:00,26.3387,-85.6373,13411,
aaf663,2026-04-11 18:36:24+00:00,27.561,-85.3519,13716,
aaf663,2026-04-11 18:36:31+00:00,27.5764,-85.3493,13716,
aaf663,2026-04-11 18:36:38+00:00,27.5909,-85.3475,13716,
aaf663,2026-04-11 18:36:45+00:00,27.6053,-85.3461,13716,
aaf663,2026-04-11 18:36:53+00:00,27.6198,-85.3452,13716,
aaf663,2026-04-11 18:37:02+00:00,27.6385,-85.3447,13716,
aaf663,2026-04-11 18:51:56+00:00,29.517,-85.337,13716,
aaf663,2026-04-11 18:59:51+00:00,30.5287,-85.3327,13716,
aaf663,2026-04-11 19:14:43+00:00,32.4259,-85.2488,13716,
aaf663,2026-04-11 19:19:19+00:00,33.0017,-85.2224,13716,
aaf663,2026-04-11 19:28:45+00:00,34.1719,-85.0768,13716,
