icao24,time,lat,lon,altitude,velocity
aaf67b,2026-04-11 19:03:26+00:00,34.4517,-119.8303,1219,
aaf67b,2026-04-11 19:03:39+00:00,34.4595,-119.8353,1219,
aaf67b,2026-04-11 19:04:03+00:00,34.4736,-119.844,1524,
aaf67b,2026-04-11 19:04:23+00:00,34.4855,-119.8508,1828,
aaf67b,2026-04-11 19:04:30+00:00,34.4897,-119.8536,1828,
aaf67b,2026-04-11 19:04:52+00:00,34.5025,-119.8625,2133,
aaf67b,2026-04-11 19:05:20+00:00,34.5184,-119.8734,2438,
aaf67b,2026-04-11 19:05:49+00:00,34.5358,-119.8848,2743,
aaf67b,2026-04-11 19:06:16+00:00,34.5522,-119.8955,3048,
aaf67b,2026-04-11 19:06:44+00:00,34.5698,-119.9069,3352,
aaf67b,2026-04-11 19:07:12+00:00,34.5874,-119.9183,3657,
aaf67b,2026-04-11 19:07:47+00:00,34.6097,-119.9328,3962,
aaf67b,2026-04-11 19:08:17+00:00,34.629,-119.9452,4267,
aaf67b,2026-04-11 19:08:45+00:00,34.6464,-119.9566,4572,
aaf67b,2026-04-11 19:09:13+00:00,34.6641,-119.9681,4876,
aaf67b,2026-04-11 19:09:48+00:00,34.6866,-119.9829,5181,
aaf67b,2026-04-11 19:10:19+00:00,34.7066,-119.9959,5486,
aaf67b,2026-04-11 19:10:54+00:00,34.7299,-120.0111,5791,
aaf67b,2026-04-11 19:11:22+00:00,34.7492,-120.0237,6096,
aaf67b,2026-04-11 19:12:07+00:00,34.7804,-120.0441,6400,
aaf67b,2026-04-11 19:12:44+00:00,34.8072,-120.0616,6705,
aaf67b,2026-04-11 19:13:22+00:00,34.8354,-120.08,7010,
aaf67b,2026-04-11 19:13:52+00:00,34.8572,-120.0943,7315,
aaf67b,2026-04-11 19:14:30+00:00,34.8851,-120.1125,7620,
aaf67b,2026-04-11 19:19:06+00:00,35.1963,-120.3171,7924,
aaf67b,2026-04-11 19:19:20+00:00,35.211,-120.3264,8229,
aaf67b,2026-04-11 19:19:35+00:00,35.2252,-120.3355,8534,
aaf67b,2026-04-11 19:20:04+00:00,35.2482,-120.3506,8839,
aaf67b,2026-04-11 19:29:51+00:00,35.918,-120.7993,9144,
