icao24,time,lat,lon,altitude,velocity
aaf67d,2026-04-11 17:01:25+00:00,36.2708,-94.3016,304,
aaf67d,2026-04-11 17:01:33+00:00,36.2651,-94.2993,304,
aaf67d,2026-04-11 17:01:41+00:00,36.2593,-94.2985,609,
aaf67d,2026-04-11 17:02:11+00:00,36.2333,-94.2981,609,
aaf67d,2026-04-11 17:02:20+00:00,36.2244,-94.3011,609,
aaf67d,2026-04-11 17:02:27+00:00,36.2183,-94.3066,609,
aaf67d,2026-04-11 17:02:35+00:00,36.2134,-94.3152,914,
aaf67d,2026-04-11 17:02:43+00:00,36.2096,-94.3245,914,
aaf67d,2026-04-11 17:03:13+00:00,36.1958,-94.3606,1219,
aaf67d,2026-04-11 17:03:36+00:00,36.1847,-94.3903,1524,
aaf67d,2026-04-11 17:03:51+00:00,36.1777,-94.4087,1828,
aaf67d,2026-04-11 17:03:58+00:00,36.1745,-94.4182,1828,
aaf67d,2026-04-11 17:04:06+00:00,36.1726,-94.4294,1828,
aaf67d,2026-04-11 17:04:13+00:00,36.173,-94.4401,2133,
aaf67d,2026-04-11 17:04:22+00:00,36.1767,-94.4536,2133,
aaf67d,2026-04-11 17:04:30+00:00,36.1818,-94.4648,2133,
aaf67d,2026-04-11 17:04:37+00:00,36.1864,-94.4744,2133,
aaf67d,2026-04-11 17:05:06+00:00,36.206,-94.5161,2438,
aaf67d,2026-04-11 17:05:27+00:00,36.2205,-94.5467,2743,
aaf67d,2026-04-11 17:06:36+00:00,36.2734,-94.6579,3048,
aaf67d,2026-04-11 17:07:05+00:00,36.2978,-94.7089,3352,
aaf67d,2026-04-11 17:07:42+00:00,36.3292,-94.775,3657,
aaf67d,2026-04-11 17:08:17+00:00,36.359,-94.8378,3962,
aaf67d,2026-04-11 17:08:55+00:00,36.3919,-94.9076,4267,
aaf67d,2026-04-11 17:09:39+00:00,36.4303,-94.989,4572,
aaf67d,2026-04-11 17:10:15+00:00,36.4622,-95.0568,4876,
aaf67d,2026-04-11 17:11:00+00:00,36.5022,-95.1423,5181,
aaf67d,2026-04-11 17:11:53+00:00,36.5503,-95.2459,5486,
aaf67d,2026-04-11 17:12:37+00:00,36.5905,-95.3323,5791,
aaf67d,2026-04-11 17:13:19+00:00,36.6293,-95.416,6096,
aaf67d,2026-04-11 17:13:41+00:00,36.6496,-95.4599,6400,
aaf67d,2026-04-11 17:13:49+00:00,36.6562,-95.4753,6400,
aaf67d,2026-04-11 17:13:56+00:00,36.6617,-95.4904,6400,
aaf67d,2026-04-11 17:14:04+00:00,36.667,-95.5076,6400,
aaf67d,2026-04-11 17:14:12+00:00,36.6711,-95.5241,6400,
aaf67d,2026-04-11 17:14:28+00:00,36.6785,-95.5603,6705,
aaf67d,2026-04-11 17:15:10+00:00,36.6971,-95.6538,6705,
aaf67d,2026-04-11 17:16:31+00:00,36.7323,-95.8339,7010,
aaf67d,2026-04-11 17:17:27+00:00,36.757,-95.9621,7315,
aaf67d,2026-04-11 17:18:29+00:00,36.7839,-96.1033,7620,
aaf67d,2026-04-11 17:19:29+00:00,36.8097,-96.2391,7924,
aaf67d,2026-04-11 17:21:11+00:00,36.8531,-96.4704,8229,
aaf67d,2026-04-11 17:21:26+00:00,36.8595,-96.5046,8534,
aaf67d,2026-04-11 17:22:36+00:00,36.8892,-96.6647,8229,
aaf67d,2026-04-11 17:22:44+00:00,36.8926,-96.683,8534,
aaf67d,2026-04-11 17:23:01+00:00,36.8996,-96.7208,8229,
aaf67d,2026-04-11 17:23:16+00:00,36.9058,-96.7549,8534,
aaf67d,2026-04-11 17:23:31+00:00,36.9121,-96.789,8229,
aaf67d,2026-04-11 17:23:39+00:00,36.9155,-96.8073,8534,
aaf67d,2026-04-11 17:23:54+00:00,36.9217,-96.8414,8229,
aaf67d,2026-04-11 17:24:02+00:00,36.925,-96.8595,8534,
aaf67d,2026-04-11 17:24:39+00:00,36.9404,-96.9435,8229,
aaf67d,2026-04-11 17:24:46+00:00,36.9432,-96.9591,8534,
aaf67d,2026-04-11 17:25:03+00:00,36.9501,-96.9973,8229,
aaf67d,2026-04-11 17:25:11+00:00,36.9533,-97.0148,8534,
aaf67d,2026-04-11 17:25:34+00:00,36.9628,-97.0671,8229,
aaf67d,2026-04-11 17:25:42+00:00,36.966,-97.0846,8534,
aaf67d,2026-04-11 17:25:58+00:00,36.9725,-97.1205,8229,
aaf67d,2026-04-11 17:26:06+00:00,36.9757,-97.1381,8534,
aaf67d,2026-04-11 17:27:41+00:00,37.0137,-97.3501,8229,
aaf67d,2026-04-11 17:27:49+00:00,37.017,-97.3686,8534,
aaf67d,2026-04-11 17:28:28+00:00,37.0326,-97.4568,8229,
aaf67d,2026-04-11 17:28:36+00:00,37.0357,-97.4737,8534,
aaf67d,2026-04-11 17:28:52+00:00,37.0422,-97.5108,8229,
aaf67d,2026-04-11 17:29:01+00:00,37.0458,-97.531,8534,
aaf67d,2026-04-11 17:29:17+00:00,37.0522,-97.567,8229,
aaf67d,2026-04-11 17:29:25+00:00,37.0554,-97.5852,8534,
aaf67d,2026-04-11 17:30:12+00:00,37.0741,-97.6911,8229,
aaf67d,2026-04-11 17:30:19+00:00,37.0771,-97.7086,8534,
aaf67d,2026-04-11 17:30:43+00:00,37.0864,-97.7615,8229,
aaf67d,2026-04-11 17:30:50+00:00,37.0893,-97.7783,8534,
aaf67d,2026-04-11 17:31:36+00:00,37.1073,-97.8817,8229,
aaf67d,2026-04-11 17:31:44+00:00,37.1105,-97.8997,8534,
aaf67d,2026-04-11 17:32:21+00:00,37.1249,-97.9832,8229,
aaf67d,2026-04-11 17:32:29+00:00,37.1281,-98.0013,8534,
aaf67d,2026-04-11 17:32:45+00:00,37.1342,-98.0372,8229,
aaf67d,2026-04-11 17:32:52+00:00,37.1369,-98.0523,8534,
aaf67d,2026-04-11 17:33:40+00:00,37.1556,-98.1617,8229,
aaf67d,2026-04-11 17:33:48+00:00,37.1585,-98.1796,8534,
aaf67d,2026-04-11 17:34:04+00:00,37.163,-98.2165,8229,
aaf67d,2026-04-11 17:34:27+00:00,37.1687,-98.2694,8229,
aaf67d,2026-04-11 17:34:34+00:00,37.1704,-98.285,8534,
aaf67d,2026-04-11 17:34:50+00:00,37.1743,-98.3206,8229,
aaf67d,2026-04-11 17:34:57+00:00,37.1761,-98.3378,8534,
aaf67d,2026-04-11 17:35:36+00:00,37.1857,-98.428,8229,
aaf67d,2026-04-11 17:35:44+00:00,37.1876,-98.4463,8534,
aaf67d,2026-04-11 17:36:05+00:00,37.1926,-98.4948,8229,
aaf67d,2026-04-11 17:36:12+00:00,37.1944,-98.5115,8534,
aaf67d,2026-04-11 17:36:48+00:00,37.2029,-98.5942,8229,
aaf67d,2026-04-11 17:36:56+00:00,37.2048,-98.6125,8534,
aaf67d,2026-04-11 17:37:44+00:00,37.2164,-98.7242,8229,
aaf67d,2026-04-11 17:37:51+00:00,37.2181,-98.7408,8534,
aaf67d,2026-04-11 17:38:35+00:00,37.2287,-98.8429,8229,
aaf67d,2026-04-11 17:38:43+00:00,37.2306,-98.8612,8534,
aaf67d,2026-04-11 17:38:57+00:00,37.2337,-98.892,8229,
aaf67d,2026-04-11 17:39:05+00:00,37.2357,-98.9116,8534,
aaf67d,2026-04-11 17:39:58+00:00,37.2482,-99.0333,8229,
aaf67d,2026-04-11 17:40:06+00:00,37.2501,-99.0519,8534,
aaf67d,2026-04-11 17:40:20+00:00,37.2534,-99.0843,8229,
aaf67d,2026-04-11 17:40:28+00:00,37.2552,-99.1028,8534,
aaf67d,2026-04-11 17:40:43+00:00,37.2588,-99.1376,8229,
aaf67d,2026-04-11 17:40:50+00:00,37.2604,-99.1538,8534,
aaf67d,2026-04-11 17:41:05+00:00,37.2639,-99.1893,8229,
aaf67d,2026-04-11 17:41:22+00:00,37.2679,-99.2282,8534,
aaf67d,2026-04-11 17:41:36+00:00,37.2711,-99.2611,8229,
aaf67d,2026-04-11 17:41:51+00:00,37.2746,-99.296,8534,
aaf67d,2026-04-11 17:42:04+00:00,37.2777,-99.3269,8229,
aaf67d,2026-04-11 17:42:12+00:00,37.2794,-99.3442,8534,
aaf67d,2026-04-11 17:43:02+00:00,37.2908,-99.4597,8229,
aaf67d,2026-04-11 17:43:08+00:00,37.2922,-99.4733,8534,
aaf67d,2026-04-11 17:44:02+00:00,37.3044,-99.5987,8229,
aaf67d,2026-04-11 17:44:17+00:00,37.3079,-99.634,8534,
aaf67d,2026-04-11 17:44:24+00:00,37.3095,-99.6504,8229,
aaf67d,2026-04-11 17:44:32+00:00,37.3113,-99.6687,8534,
aaf67d,2026-04-11 17:44:45+00:00,37.3142,-99.699,8229,
aaf67d,2026-04-11 17:44:53+00:00,37.3158,-99.7154,8534,
aaf67d,2026-04-11 17:45:06+00:00,37.3188,-99.7469,8229,
aaf67d,2026-04-11 17:45:14+00:00,37.3204,-99.7637,8534,
aaf67d,2026-04-11 17:46:27+00:00,37.336,-99.9273,8229,
aaf67d,2026-04-11 17:46:34+00:00,37.3375,-99.9439,8534,
aaf67d,2026-04-11 17:47:10+00:00,37.3451,-100.0237,8229,
aaf67d,2026-04-11 17:49:03+00:00,37.3688,-100.2795,8534,
aaf67d,2026-04-11 17:51:21+00:00,37.3968,-100.5875,8229,
aaf67d,2026-04-11 17:52:47+00:00,37.4135,-100.7773,8534,
aaf67d,2026-04-11 18:04:48+00:00,37.5263,-102.374,8229,
aaf67d,2026-04-11 18:05:02+00:00,37.528,-102.4063,8229,
aaf67d,2026-04-11 18:05:16+00:00,37.5295,-102.4357,8534,
aaf67d,2026-04-11 18:05:44+00:00,37.5327,-102.4983,8229,
aaf67d,2026-04-11 18:05:52+00:00,37.5335,-102.514,8534,
aaf67d,2026-04-11 18:06:28+00:00,37.5376,-102.5931,8229,
aaf67d,2026-04-11 18:06:36+00:00,37.5385,-102.612,8534,
aaf67d,2026-04-11 18:06:51+00:00,37.5401,-102.6444,8229,
aaf67d,2026-04-11 18:06:59+00:00,37.541,-102.6616,8534,
aaf67d,2026-04-11 18:07:13+00:00,37.5425,-102.6923,8229,
aaf67d,2026-04-11 18:07:27+00:00,37.544,-102.7221,8534,
aaf67d,2026-04-11 18:07:42+00:00,37.5456,-102.7553,8229,
aaf67d,2026-04-11 18:07:49+00:00,37.5464,-102.7703,8534,
aaf67d,2026-04-11 18:08:06+00:00,37.5482,-102.807,8229,
aaf67d,2026-04-11 18:08:14+00:00,37.549,-102.8241,8534,
aaf67d,2026-04-11 18:08:44+00:00,37.5522,-102.8898,8229,
aaf67d,2026-04-11 18:08:53+00:00,37.553,-102.908,8534,
aaf67d,2026-04-11 18:09:06+00:00,37.5544,-102.9371,8229,
aaf67d,2026-04-11 18:09:19+00:00,37.5557,-102.9649,8534,
aaf67d,2026-04-11 18:10:41+00:00,37.5641,-103.1447,8229,
aaf67d,2026-04-11 18:10:56+00:00,37.5656,-103.1766,8534,
aaf67d,2026-04-11 18:11:11+00:00,37.5671,-103.2108,8229,
aaf67d,2026-04-11 18:11:19+00:00,37.5678,-103.227,8534,
aaf67d,2026-04-11 18:12:26+00:00,37.5745,-103.3771,8229,
aaf67d,2026-04-11 18:12:34+00:00,37.5753,-103.3945,8534,
aaf67d,2026-04-11 18:12:52+00:00,37.577,-103.435,8229,
aaf67d,2026-04-11 18:13:01+00:00,37.5779,-103.4541,8534,
aaf67d,2026-04-11 18:14:02+00:00,37.5837,-103.5908,8229,
aaf67d,2026-04-11 18:14:19+00:00,37.5852,-103.6276,8534,
aaf67d,2026-04-11 18:14:41+00:00,37.5872,-103.6766,8229,
aaf67d,2026-04-11 18:14:49+00:00,37.588,-103.6946,8534,
aaf67d,2026-04-11 18:15:42+00:00,37.5926,-103.8084,8229,
aaf67d,2026-04-11 18:15:48+00:00,37.5931,-103.8227,8534,
aaf67d,2026-04-11 18:16:18+00:00,37.5958,-103.8882,8229,
aaf67d,2026-04-11 18:16:27+00:00,37.5981,-103.9082,8229,
aaf67d,2026-04-11 18:16:34+00:00,37.601,-103.923,8534,
aaf67d,2026-04-11 18:16:42+00:00,37.6054,-103.9401,8229,
aaf67d,2026-04-11 18:17:38+00:00,37.6375,-104.0586,8229,
aaf67d,2026-04-11 18:17:53+00:00,37.6459,-104.0888,8534,
aaf67d,2026-04-11 18:18:26+00:00,37.6653,-104.1575,8229,
aaf67d,2026-04-11 18:18:34+00:00,37.6699,-104.1741,8534,
aaf67d,2026-04-11 18:19:10+00:00,37.6912,-104.2513,8229,
aaf67d,2026-04-11 18:19:16+00:00,37.6951,-104.2656,8534,
aaf67d,2026-04-11 18:19:38+00:00,37.7081,-104.3126,8229,
