icao24,time,lat,lon,altitude,velocity
ab0356,2026-04-11 14:51:12+00:00,37.6204,-122.3792,0,
ab0356,2026-04-11 14:51:28+00:00,37.6268,-122.3938,0,
ab0356,2026-04-11 14:51:35+00:00,37.63,-122.3998,0,
ab0356,2026-04-11 14:51:43+00:00,37.6358,-122.4053,304,
ab0356,2026-04-11 14:51:51+00:00,37.6423,-122.407,304,
ab0356,2026-04-11 14:52:00+00:00,37.6505,-122.4045,304,
ab0356,2026-04-11 14:52:07+00:00,37.6561,-122.399,304,
ab0356,2026-04-11 14:52:15+00:00,37.6603,-122.391,304,
ab0356,2026-04-11 14:52:22+00:00,37.6634,-122.3819,609,
ab0356,2026-04-11 14:52:32+00:00,37.6671,-122.3686,609,
ab0356,2026-04-11 14:52:48+00:00,37.6733,-122.3463,609,
ab0356,2026-04-11 14:53:03+00:00,37.68,-122.3245,914,
ab0356,2026-04-11 14:53:10+00:00,37.6834,-122.3142,914,
ab0356,2026-04-11 14:53:26+00:00,37.6915,-122.2906,1219,
ab0356,2026-04-11 14:53:49+00:00,37.7034,-122.2561,1524,
ab0356,2026-04-11 14:53:57+00:00,37.7078,-122.2433,1828,
ab0356,2026-04-11 14:54:05+00:00,37.7124,-122.2307,1828,
ab0356,2026-04-11 14:54:13+00:00,37.7186,-122.2188,1828,
ab0356,2026-04-11 14:54:21+00:00,37.7259,-122.2088,2133,
ab0356,2026-04-11 14:54:29+00:00,37.7343,-122.1996,2133,
ab0356,2026-04-11 14:54:39+00:00,37.7453,-122.1895,2438,
ab0356,2026-04-11 14:54:46+00:00,37.7534,-122.1823,2438,
ab0356,2026-04-11 14:55:10+00:00,37.7812,-122.1569,2743,
ab0356,2026-04-11 14:55:41+00:00,37.8178,-122.1235,3048,
ab0356,2026-04-11 14:56:12+00:00,37.8578,-122.0877,3352,
ab0356,2026-04-11 14:56:45+00:00,37.9026,-122.0477,3657,
ab0356,2026-04-11 14:57:09+00:00,37.9362,-122.017,3962,
ab0356,2026-04-11 14:57:32+00:00,37.9684,-121.9875,4267,
ab0356,2026-04-11 14:57:55+00:00,38.0018,-121.9571,4572,
ab0356,2026-04-11 14:58:26+00:00,38.0463,-121.9166,4876,
ab0356,2026-04-11 14:58:57+00:00,38.0921,-121.8748,5181,
ab0356,2026-04-11 14:59:29+00:00,38.1395,-121.8318,5486,
ab0356,2026-04-11 15:00:08+00:00,38.1989,-121.7777,5791,
ab0356,2026-04-11 15:00:48+00:00,38.2619,-121.7196,6096,
ab0356,2026-04-11 15:01:26+00:00,38.3221,-121.664,6400,
ab0356,2026-04-11 15:02:04+00:00,38.3841,-121.6067,6705,
ab0356,2026-04-11 15:02:19+00:00,38.4088,-121.5838,7010,
ab0356,2026-04-11 15:02:27+00:00,38.4219,-121.5706,7010,
ab0356,2026-04-11 15:02:35+00:00,38.4335,-121.5577,7010,
ab0356,2026-04-11 15:02:42+00:00,38.4436,-121.5455,7010,
ab0356,2026-04-11 15:02:51+00:00,38.4571,-121.5275,7315,
ab0356,2026-04-11 15:03:00+00:00,38.469,-121.5099,7315,
ab0356,2026-04-11 15:03:24+00:00,38.5,-121.4598,7315,
ab0356,2026-04-11 15:04:11+00:00,38.5606,-121.3607,7620,
ab0356,2026-04-11 15:04:58+00:00,38.6226,-121.2588,7924,
ab0356,2026-04-11 15:05:53+00:00,38.6953,-121.139,8229,
ab0356,2026-04-11 15:06:57+00:00,38.7814,-120.9966,8534,
ab0356,2026-04-11 15:08:10+00:00,38.8828,-120.8282,8839,
ab0356,2026-04-11 15:09:06+00:00,38.961,-120.6976,9144,
ab0356,2026-04-11 15:09:55+00:00,39.0307,-120.5807,9448,
ab0356,2026-04-11 15:10:35+00:00,39.0864,-120.4877,9753,
ab0356,2026-04-11 15:11:08+00:00,39.1321,-120.4103,10058,
ab0356,2026-04-11 15:12:13+00:00,39.2186,-120.2623,10363,
ab0356,2026-04-11 15:13:23+00:00,39.3131,-120.1009,10668,
ab0356,2026-04-11 15:13:33+00:00,39.3266,-120.0779,10363,
ab0356,2026-04-11 15:14:07+00:00,39.3731,-119.9988,10668,
ab0356,2026-04-11 15:14:16+00:00,39.3844,-119.9777,10668,
ab0356,2026-04-11 15:14:24+00:00,39.3937,-119.958,10668,
ab0356,2026-04-11 15:14:33+00:00,39.4035,-119.9346,10668,
ab0356,2026-04-11 15:14:41+00:00,39.4117,-119.9125,10668,
ab0356,2026-04-11 15:14:49+00:00,39.4184,-119.8921,10668,
ab0356,2026-04-11 15:14:57+00:00,39.425,-119.8691,10668,
ab0356,2026-04-11 15:15:14+00:00,39.4369,-119.8218,10363,
ab0356,2026-04-11 15:19:13+00:00,39.6055,-119.1422,10668,
ab0356,2026-04-11 15:19:30+00:00,39.6173,-119.0943,10363,
ab0356,2026-04-11 15:19:50+00:00,39.6305,-119.04,10668,
ab0356,2026-04-11 15:20:04+00:00,39.6396,-119.0026,10363,
ab0356,2026-04-11 15:38:23+00:00,40.374,-115.9792,11277,
ab0356,2026-04-11 15:40:07+00:00,40.4402,-115.6878,11277,
ab0356,2026-04-11 15:40:14+00:00,40.4447,-115.6681,10972,
ab0356,2026-04-11 15:44:34+00:00,40.6059,-114.9378,11277,
ab0356,2026-04-11 15:44:42+00:00,40.6108,-114.9153,10972,
ab0356,2026-04-11 15:46:37+00:00,40.6807,-114.5905,11277,
ab0356,2026-04-11 15:46:45+00:00,40.6856,-114.5674,10972,
ab0356,2026-04-11 15:47:00+00:00,40.6942,-114.5258,11277,
ab0356,2026-04-11 15:47:08+00:00,40.6978,-114.5031,11277,
ab0356,2026-04-11 15:47:15+00:00,40.7005,-114.4822,11277,
ab0356,2026-04-11 15:47:23+00:00,40.7027,-114.4584,11277,
ab0356,2026-04-11 15:47:39+00:00,40.7061,-114.4117,11277,
ab0356,2026-04-11 15:47:47+00:00,40.7077,-114.3886,10972,
ab0356,2026-04-11 15:50:25+00:00,40.7392,-113.924,11277,
ab0356,2026-04-11 15:50:33+00:00,40.7408,-113.9004,10972,
ab0356,2026-04-11 15:55:44+00:00,40.7966,-112.9943,11277,
ab0356,2026-04-11 15:55:51+00:00,40.7977,-112.9754,10972,
ab0356,2026-04-11 16:00:58+00:00,40.8448,-112.0925,11277,
ab0356,2026-04-11 16:01:05+00:00,40.8458,-112.0718,10972,
ab0356,2026-04-11 16:01:13+00:00,40.847,-112.0487,11277,
ab0356,2026-04-11 16:01:21+00:00,40.8486,-112.0266,11277,
ab0356,2026-04-11 16:01:28+00:00,40.8511,-112.0037,11277,
ab0356,2026-04-11 16:01:36+00:00,40.8539,-111.9835,11277,
ab0356,2026-04-11 16:01:43+00:00,40.8579,-111.9606,11277,
ab0356,2026-04-11 16:01:50+00:00,40.8619,-111.941,11277,
ab0356,2026-04-11 16:01:58+00:00,40.8675,-111.9177,11277,
ab0356,2026-04-11 16:07:44+00:00,41.1189,-110.9492,11277,
ab0356,2026-04-11 16:07:52+00:00,41.1239,-110.929,10972,
ab0356,2026-04-11 16:09:35+00:00,41.1973,-110.6375,11277,
ab0356,2026-04-11 16:09:44+00:00,41.2034,-110.613,10972,
ab0356,2026-04-11 16:10:19+00:00,41.2279,-110.515,11277,
ab0356,2026-04-11 16:25:54+00:00,41.6778,-107.8346,11277,
ab0356,2026-04-11 16:33:08+00:00,41.7588,-106.5548,11277,
ab0356,2026-04-11 16:33:16+00:00,41.7611,-106.5337,11277,
ab0356,2026-04-11 16:38:15+00:00,41.8707,-105.6345,11277,
ab0356,2026-04-11 16:38:23+00:00,41.8733,-105.6126,10972,
ab0356,2026-04-11 16:43:30+00:00,41.9793,-104.6781,11277,
ab0356,2026-04-11 16:43:37+00:00,41.9816,-104.6567,10972,
ab0356,2026-04-11 16:58:33+00:00,42.2458,-101.9144,11277,
ab0356,2026-04-11 17:13:26+00:00,42.4445,-99.142,11277,
ab0356,2026-04-11 17:28:20+00:00,42.5683,-96.2894,11277,
ab0356,2026-04-11 17:38:28+00:00,42.6108,-94.3235,11277,
ab0356,2026-04-11 17:38:35+00:00,42.6109,-94.3011,11277,
ab0356,2026-04-11 17:38:43+00:00,42.6102,-94.275,11277,
ab0356,2026-04-11 17:47:17+00:00,42.5341,-92.6189,11277,
ab0356,2026-04-11 17:47:24+00:00,42.5342,-92.5971,11277,
ab0356,2026-04-11 17:47:33+00:00,42.5364,-92.5684,11277,
ab0356,2026-04-11 17:47:41+00:00,42.5407,-92.5432,11277,
