icao24,time,lat,lon,altitude,velocity
ab296f,2026-04-12 12:36:01+00:00,30.3064,-91.8141,1219,
ab296f,2026-04-12 12:36:10+00:00,30.307,-91.8098,1219,
ab296f,2026-04-12 12:36:15+00:00,30.3072,-91.8079,1219,
ab296f,2026-04-12 12:36:44+00:00,30.3083,-91.7947,1219,
ab296f,2026-04-12 12:37:00+00:00,30.3088,-91.7875,1219,
ab296f,2026-04-12 12:37:29+00:00,30.3096,-91.7741,1219,
ab296f,2026-04-12 12:37:45+00:00,30.3103,-91.767,1219,
ab296f,2026-04-12 12:37:51+00:00,30.3107,-91.7642,1219,
ab296f,2026-04-12 12:37:56+00:00,30.3111,-91.762,1219,
ab296f,2026-04-12 12:38:01+00:00,30.3116,-91.7598,1219,
ab296f,2026-04-12 12:38:09+00:00,30.3126,-91.7564,1219,
ab296f,2026-04-12 12:38:13+00:00,30.3132,-91.7547,1219,
ab296f,2026-04-12 12:38:19+00:00,30.3143,-91.7517,1219,
ab296f,2026-04-12 12:39:07+00:00,30.3221,-91.7306,1219,
ab296f,2026-04-12 12:39:12+00:00,30.323,-91.7284,1219,
ab296f,2026-04-12 12:40:31+00:00,30.338,-91.6942,1219,
ab296f,2026-04-12 12:41:26+00:00,30.3477,-91.6705,1219,
ab296f,2026-04-12 12:42:13+00:00,30.3558,-91.65,1219,
ab296f,2026-04-12 12:42:38+00:00,30.3594,-91.6392,1219,
ab296f,2026-04-12 12:42:40+00:00,30.3597,-91.6383,1219,
ab296f,2026-04-12 12:43:38+00:00,30.3698,-91.6136,1219,
ab296f,2026-04-12 12:45:08+00:00,30.3844,-91.574,1219,
ab296f,2026-04-12 12:46:19+00:00,30.3953,-91.5429,1219,
ab296f,2026-04-12 12:46:29+00:00,30.3967,-91.5384,1219,
ab296f,2026-04-12 12:46:36+00:00,30.3975,-91.5353,1219,
ab296f,2026-04-12 12:46:52+00:00,30.3992,-91.5277,1219,
ab296f,2026-04-12 12:47:12+00:00,30.401,-91.5189,1219,
ab296f,2026-04-12 12:47:42+00:00,30.4036,-91.5054,1219,
ab296f,2026-04-12 12:48:20+00:00,30.407,-91.4889,1219,
ab296f,2026-04-12 12:49:01+00:00,30.4118,-91.4707,1219,
ab296f,2026-04-12 12:49:10+00:00,30.4124,-91.4669,1219,
ab296f,2026-04-12 12:49:18+00:00,30.4129,-91.4631,1219,
ab296f,2026-04-12 12:49:27+00:00,30.4134,-91.459,1219,
ab296f,2026-04-12 12:49:40+00:00,30.4136,-91.4536,1219,
ab296f,2026-04-12 12:49:44+00:00,30.4137,-91.4516,1219,
ab296f,2026-04-12 12:49:52+00:00,30.4137,-91.4477,1219,
ab296f,2026-04-12 12:51:23+00:00,30.4128,-91.4074,1219,
ab296f,2026-04-12 12:51:35+00:00,30.4124,-91.4023,1219,
ab296f,2026-04-12 12:52:12+00:00,30.4109,-91.3866,1219,
ab296f,2026-04-12 12:52:29+00:00,30.41,-91.3792,1219,
ab296f,2026-04-12 12:52:36+00:00,30.4096,-91.3766,1219,
ab296f,2026-04-12 12:52:46+00:00,30.4087,-91.3719,1219,
ab296f,2026-04-12 12:52:52+00:00,30.4082,-91.3693,1219,
ab296f,2026-04-12 12:52:59+00:00,30.4075,-91.3667,1219,
ab296f,2026-04-12 12:53:58+00:00,30.4007,-91.3427,1219,
ab296f,2026-04-12 12:54:29+00:00,30.3972,-91.3311,1219,
