icao24,time,lat,lon,altitude,velocity
abad94,2026-04-11 18:59:52+00:00,26.6812,-80.0701,0,
abad94,2026-04-11 19:00:00+00:00,26.6809,-80.0629,304,
abad94,2026-04-11 19:00:07+00:00,26.6816,-80.0573,304,
abad94,2026-04-11 19:00:13+00:00,26.6828,-80.0523,304,
abad94,2026-04-11 19:00:20+00:00,26.6852,-80.0463,304,
abad94,2026-04-11 19:00:40+00:00,26.6936,-80.0295,304,
abad94,2026-04-11 19:00:55+00:00,26.7012,-80.0137,609,
abad94,2026-04-11 19:01:12+00:00,26.709,-79.996,609,
abad94,2026-04-11 19:01:22+00:00,26.7142,-79.9848,914,
abad94,2026-04-11 19:01:27+00:00,26.7168,-79.9797,914,
abad94,2026-04-11 19:01:35+00:00,26.7219,-79.971,914,
abad94,2026-04-11 19:01:44+00:00,26.7286,-79.9614,1219,
abad94,2026-04-11 19:01:56+00:00,26.7374,-79.9497,1219,
abad94,2026-04-11 19:02:18+00:00,26.7542,-79.9274,1524,
abad94,2026-04-11 19:02:39+00:00,26.7713,-79.9054,1828,
abad94,2026-04-11 19:02:52+00:00,26.7822,-79.8915,2133,
abad94,2026-04-11 19:03:13+00:00,26.7997,-79.8691,2438,
abad94,2026-04-11 19:03:26+00:00,26.8113,-79.8542,2743,
abad94,2026-04-11 19:04:08+00:00,26.8498,-79.8044,3048,
abad94,2026-04-11 19:04:51+00:00,26.8953,-79.7454,3352,
abad94,2026-04-11 19:05:13+00:00,26.9177,-79.7163,3657,
abad94,2026-04-11 19:05:20+00:00,26.9259,-79.7063,3657,
abad94,2026-04-11 19:05:27+00:00,26.934,-79.6976,3962,
abad94,2026-04-11 19:06:58+00:00,27.0453,-79.5802,3962,
abad94,2026-04-11 19:07:18+00:00,27.0705,-79.5536,4267,
abad94,2026-04-11 19:07:46+00:00,27.1064,-79.5157,4572,
abad94,2026-04-11 19:08:04+00:00,27.1291,-79.4916,4876,
abad94,2026-04-11 19:08:31+00:00,27.1651,-79.4535,5181,
abad94,2026-04-11 19:08:51+00:00,27.1918,-79.4253,5486,
abad94,2026-04-11 19:09:20+00:00,27.2319,-79.3826,5791,
abad94,2026-04-11 19:09:48+00:00,27.2703,-79.3419,6096,
abad94,2026-04-11 19:10:19+00:00,27.3135,-79.2959,6400,
abad94,2026-04-11 19:10:46+00:00,27.3533,-79.2536,6705,
abad94,2026-04-11 19:11:43+00:00,27.4365,-79.1649,7010,
abad94,2026-04-11 19:12:21+00:00,27.4921,-79.106,7315,
abad94,2026-04-11 19:12:49+00:00,27.535,-79.0602,7620,
abad94,2026-04-11 19:12:57+00:00,27.5468,-79.0475,7924,
abad94,2026-04-11 19:13:06+00:00,27.5618,-79.0327,7924,
abad94,2026-04-11 19:13:13+00:00,27.5729,-79.0239,7924,
abad94,2026-04-11 19:13:19+00:00,27.5835,-79.0168,7924,
abad94,2026-04-11 19:13:28+00:00,27.6023,-79.007,7924,
abad94,2026-04-11 19:13:37+00:00,27.6183,-79.0008,8229,
abad94,2026-04-11 19:13:43+00:00,27.6313,-78.9969,8229,
abad94,2026-04-11 19:14:14+00:00,27.6955,-78.983,8229,
abad94,2026-04-11 19:15:06+00:00,27.8054,-78.9587,8534,
abad94,2026-04-11 19:15:40+00:00,27.8804,-78.9418,8839,
abad94,2026-04-11 19:16:17+00:00,27.959,-78.9241,9144,
abad94,2026-04-11 19:16:52+00:00,28.0361,-78.9065,9448,
abad94,2026-04-11 19:17:35+00:00,28.1286,-78.8854,9753,
abad94,2026-04-11 19:18:07+00:00,28.1959,-78.8703,10058,
abad94,2026-04-11 19:18:45+00:00,28.2764,-78.8526,10363,
abad94,2026-04-11 19:19:25+00:00,28.3615,-78.8336,10668,
abad94,2026-04-11 19:20:04+00:00,28.4402,-78.8157,10972,
abad94,2026-04-11 19:22:18+00:00,28.7178,-78.7524,11277,
abad94,2026-04-11 19:22:26+00:00,28.7349,-78.7481,11277,
abad94,2026-04-11 19:22:33+00:00,28.7498,-78.7429,11277,
abad94,2026-04-11 19:22:42+00:00,28.7663,-78.7354,11277,
abad94,2026-04-11 19:22:49+00:00,28.7801,-78.7274,11277,
abad94,2026-04-11 19:22:56+00:00,28.7943,-78.7174,11277,
abad94,2026-04-11 19:23:03+00:00,28.8067,-78.707,11277,
abad94,2026-04-11 19:23:07+00:00,28.8114,-78.7026,11277,
abad94,2026-04-11 19:23:15+00:00,28.8255,-78.6877,11277,
abad94,2026-04-11 19:24:34+00:00,28.9472,-78.5442,11277,
abad94,2026-04-11 19:25:33+00:00,29.0476,-78.4527,11277,
abad94,2026-04-11 19:25:41+00:00,29.0634,-78.4488,11277,
abad94,2026-04-11 19:25:50+00:00,29.0807,-78.4466,11277,
abad94,2026-04-11 19:30:27+00:00,29.6569,-78.3646,11277,
