icao24,time,lat,lon,altitude,velocity
abf025,2026-04-11 19:09:05+00:00,28.437,-81.2964,0,
abf025,2026-04-11 19:09:12+00:00,28.4422,-81.2968,0,
abf025,2026-04-11 19:09:20+00:00,28.4484,-81.2959,304,
abf025,2026-04-11 19:09:27+00:00,28.4533,-81.2933,304,
abf025,2026-04-11 19:09:34+00:00,28.4577,-81.2894,304,
abf025,2026-04-11 19:09:41+00:00,28.4613,-81.2844,304,
abf025,2026-04-11 19:09:56+00:00,28.4687,-81.2719,304,
abf025,2026-04-11 19:10:18+00:00,28.481,-81.2521,609,
abf025,2026-04-11 19:10:39+00:00,28.4937,-81.2324,914,
abf025,2026-04-11 19:10:46+00:00,28.4975,-81.2257,1219,
abf025,2026-04-11 19:10:53+00:00,28.5006,-81.219,1219,
abf025,2026-04-11 19:11:01+00:00,28.5037,-81.2105,1219,
abf025,2026-04-11 19:11:08+00:00,28.5058,-81.2021,1219,
abf025,2026-04-11 19:11:21+00:00,28.5082,-81.1878,1219,
abf025,2026-04-11 19:11:28+00:00,28.5094,-81.1801,1219,
abf025,2026-04-11 19:11:36+00:00,28.5099,-81.1704,1219,
abf025,2026-04-11 19:11:43+00:00,28.5096,-81.1628,1219,
abf025,2026-04-11 19:11:50+00:00,28.5087,-81.1545,1219,
abf025,2026-04-11 19:11:59+00:00,28.5066,-81.1445,1524,
abf025,2026-04-11 19:12:13+00:00,28.503,-81.1288,1524,
abf025,2026-04-11 19:12:36+00:00,28.4972,-81.1028,1828,
abf025,2026-04-11 19:12:51+00:00,28.4932,-81.085,2133,
abf025,2026-04-11 19:13:06+00:00,28.4892,-81.0677,2438,
abf025,2026-04-11 19:13:13+00:00,28.4867,-81.0596,2743,
abf025,2026-04-11 19:13:20+00:00,28.4832,-81.0521,2743,
abf025,2026-04-11 19:13:28+00:00,28.4785,-81.0445,2743,
abf025,2026-04-11 19:13:36+00:00,28.4719,-81.0368,3048,
abf025,2026-04-11 19:13:43+00:00,28.466,-81.0315,3048,
abf025,2026-04-11 19:14:08+00:00,28.4442,-81.0117,3352,
abf025,2026-04-11 19:14:29+00:00,28.4247,-80.994,3657,
abf025,2026-04-11 19:15:26+00:00,28.3661,-80.9406,3962,
abf025,2026-04-11 19:16:00+00:00,28.3221,-80.9004,4267,
abf025,2026-04-11 19:16:16+00:00,28.3016,-80.8816,4572,
abf025,2026-04-11 19:16:24+00:00,28.2912,-80.87,4572,
abf025,2026-04-11 19:16:31+00:00,28.2832,-80.8589,4876,
abf025,2026-04-11 19:16:38+00:00,28.2761,-80.847,4876,
abf025,2026-04-11 19:16:45+00:00,28.2707,-80.8358,4876,
abf025,2026-04-11 19:16:52+00:00,28.2654,-80.8224,4876,
abf025,2026-04-11 19:17:13+00:00,28.2511,-80.7825,5181,
abf025,2026-04-11 19:17:35+00:00,28.2361,-80.7412,5486,
abf025,2026-04-11 19:18:06+00:00,28.2141,-80.6797,5791,
abf025,2026-04-11 19:18:37+00:00,28.1929,-80.6178,6096,
abf025,2026-04-11 19:19:19+00:00,28.1648,-80.5305,6400,
abf025,2026-04-11 19:19:49+00:00,28.1444,-80.4681,6705,
abf025,2026-04-11 19:20:49+00:00,28.1022,-80.3417,7010,
abf025,2026-04-11 19:21:11+00:00,28.0865,-80.295,7315,
abf025,2026-04-11 19:21:18+00:00,28.0808,-80.2796,7315,
abf025,2026-04-11 19:21:25+00:00,28.0734,-80.2656,7315,
abf025,2026-04-11 19:21:55+00:00,28.0393,-80.2087,7620,
abf025,2026-04-11 19:22:35+00:00,27.9934,-80.1315,7924,
abf025,2026-04-11 19:22:42+00:00,27.9842,-80.1182,8229,
abf025,2026-04-11 19:22:48+00:00,27.9739,-80.1065,8229,
abf025,2026-04-11 19:23:18+00:00,27.9274,-80.0576,8229,
abf025,2026-04-11 19:23:54+00:00,27.871,-79.9982,8534,
abf025,2026-04-11 19:24:16+00:00,27.8373,-79.962,8839,
abf025,2026-04-11 19:24:56+00:00,27.7751,-79.8934,9144,
abf025,2026-04-11 19:25:35+00:00,27.7163,-79.8263,9448,
abf025,2026-04-11 19:26:31+00:00,27.6308,-79.7297,9753,
abf025,2026-04-11 19:27:40+00:00,27.5217,-79.6075,10058,
abf025,2026-04-11 19:28:38+00:00,27.4275,-79.5001,10363,
abf025,2026-04-11 19:29:29+00:00,27.3466,-79.405,10668,
abf025,2026-04-11 19:30:12+00:00,27.2789,-79.326,10972,
abf025,2026-04-11 19:30:26+00:00,27.2567,-79.2995,11277,
