icao24,time,lat,lon,altitude,velocity
ac231d,2026-04-11 19:22:19+00:00,41.1112,-79.0904,1828,
ac231d,2026-04-11 19:22:44+00:00,41.1046,-79.1077,1828,
ac231d,2026-04-11 19:23:39+00:00,41.0908,-79.1468,2133,
ac231d,2026-04-11 19:25:28+00:00,41.0564,-79.2429,2133,
ac231d,2026-04-11 19:26:11+00:00,41.0408,-79.2831,2133,
ac231d,2026-04-11 19:26:19+00:00,41.0384,-79.2903,2133,
ac231d,2026-04-11 19:27:10+00:00,41.0239,-79.3391,2133,
ac231d,2026-04-11 19:27:19+00:00,41.021,-79.3476,2133,
ac231d,2026-04-11 19:27:25+00:00,41.0185,-79.3541,2133,
ac231d,2026-04-11 19:28:08+00:00,41.0031,-79.3928,2133,
ac231d,2026-04-11 19:29:00+00:00,40.986,-79.4417,2133,
