icao24,time,lat,lon,altitude,velocity
ac232e,2026-04-11 19:03:49+00:00,32.9521,-96.8271,304,
ac232e,2026-04-11 19:03:55+00:00,32.9488,-96.8227,304,
ac232e,2026-04-11 19:04:02+00:00,32.9459,-96.8154,304,
ac232e,2026-04-11 19:04:08+00:00,32.9447,-96.8091,304,
ac232e,2026-04-11 19:04:15+00:00,32.9449,-96.8005,304,
ac232e,2026-04-11 19:04:22+00:00,32.9472,-96.7919,304,
ac232e,2026-04-11 19:04:29+00:00,32.9512,-96.7842,304,
ac232e,2026-04-11 19:04:36+00:00,32.9576,-96.7769,609,
ac232e,2026-04-11 19:04:44+00:00,32.9665,-96.771,609,
ac232e,2026-04-11 19:04:51+00:00,32.9749,-96.7682,914,
ac232e,2026-04-11 19:04:58+00:00,32.9842,-96.7671,914,
ac232e,2026-04-11 19:05:12+00:00,33.0028,-96.7658,1219,
ac232e,2026-04-11 19:05:26+00:00,33.0216,-96.7643,1524,
ac232e,2026-04-11 19:05:39+00:00,33.0399,-96.7629,1828,
ac232e,2026-04-11 19:05:48+00:00,33.0521,-96.7619,2133,
ac232e,2026-04-11 19:06:02+00:00,33.0723,-96.7603,2438,
ac232e,2026-04-11 19:06:15+00:00,33.0905,-96.7588,2743,
ac232e,2026-04-11 19:06:29+00:00,33.1104,-96.7568,3048,
ac232e,2026-04-11 19:06:50+00:00,33.1426,-96.7536,3352,
ac232e,2026-04-11 19:07:04+00:00,33.1649,-96.751,3657,
ac232e,2026-04-11 19:07:11+00:00,33.1754,-96.7503,3962,
ac232e,2026-04-11 19:07:18+00:00,33.1871,-96.7516,3962,
ac232e,2026-04-11 19:07:25+00:00,33.1991,-96.7555,3962,
ac232e,2026-04-11 19:07:32+00:00,33.2096,-96.7614,4267,
ac232e,2026-04-11 19:07:39+00:00,33.2189,-96.7691,4267,
ac232e,2026-04-11 19:07:46+00:00,33.2271,-96.7786,4572,
ac232e,2026-04-11 19:08:03+00:00,33.2446,-96.8052,4572,
ac232e,2026-04-11 19:08:10+00:00,33.2529,-96.8156,4876,
ac232e,2026-04-11 19:08:17+00:00,33.2611,-96.825,4876,
ac232e,2026-04-11 19:08:24+00:00,33.2705,-96.8353,4876,
ac232e,2026-04-11 19:08:31+00:00,33.2809,-96.8444,4876,
ac232e,2026-04-11 19:08:37+00:00,33.2903,-96.8503,4876,
ac232e,2026-04-11 19:08:44+00:00,33.3021,-96.8552,5181,
ac232e,2026-04-11 19:08:51+00:00,33.3146,-96.858,5181,
ac232e,2026-04-11 19:08:59+00:00,33.3293,-96.8584,5486,
ac232e,2026-04-11 19:09:05+00:00,33.3397,-96.8571,5486,
ac232e,2026-04-11 19:09:12+00:00,33.3516,-96.8543,5486,
ac232e,2026-04-11 19:09:27+00:00,33.3775,-96.8478,5791,
ac232e,2026-04-11 19:09:48+00:00,33.4138,-96.8393,6096,
ac232e,2026-04-11 19:10:10+00:00,33.4525,-96.8297,6400,
ac232e,2026-04-11 19:10:39+00:00,33.506,-96.8168,6705,
ac232e,2026-04-11 19:11:08+00:00,33.5606,-96.8035,7010,
ac232e,2026-04-11 19:11:36+00:00,33.6147,-96.7901,7315,
ac232e,2026-04-11 19:12:06+00:00,33.6746,-96.7754,7620,
ac232e,2026-04-11 19:12:36+00:00,33.7348,-96.7601,7924,
ac232e,2026-04-11 19:13:06+00:00,33.7948,-96.745,8229,
ac232e,2026-04-11 19:13:36+00:00,33.8559,-96.7295,8534,
ac232e,2026-04-11 19:14:08+00:00,33.9216,-96.7131,8839,
ac232e,2026-04-11 19:14:36+00:00,33.9782,-96.6989,9144,
ac232e,2026-04-11 19:15:05+00:00,34.0373,-96.6843,9448,
ac232e,2026-04-11 19:15:33+00:00,34.0938,-96.6702,9753,
ac232e,2026-04-11 19:16:09+00:00,34.1669,-96.6521,10058,
ac232e,2026-04-11 19:16:59+00:00,34.2665,-96.6271,10363,
ac232e,2026-04-11 19:29:22+00:00,35.8235,-96.2306,10668,
