icao24,time,lat,lon,altitude,velocity
ac234f,2026-04-11 19:09:11+00:00,32.8835,-80.0212,304,
ac234f,2026-04-11 19:09:20+00:00,32.8824,-80.0134,304,
ac234f,2026-04-11 19:09:27+00:00,32.8838,-80.0061,304,
ac234f,2026-04-11 19:09:34+00:00,32.8865,-79.9996,304,
ac234f,2026-04-11 19:09:41+00:00,32.8904,-79.9932,304,
ac234f,2026-04-11 19:09:48+00:00,32.8951,-79.9868,304,
ac234f,2026-04-11 19:10:03+00:00,32.9055,-79.9739,609,
ac234f,2026-04-11 19:10:24+00:00,32.9213,-79.9544,914,
ac234f,2026-04-11 19:10:31+00:00,32.9264,-79.9477,1219,
ac234f,2026-04-11 19:10:39+00:00,32.933,-79.9407,1219,
ac234f,2026-04-11 19:10:46+00:00,32.9397,-79.9359,1524,
ac234f,2026-04-11 19:10:53+00:00,32.947,-79.9325,1524,
ac234f,2026-04-11 19:11:01+00:00,32.9558,-79.9309,1524,
ac234f,2026-04-11 19:11:08+00:00,32.9644,-79.9312,1828,
ac234f,2026-04-11 19:11:21+00:00,32.9809,-79.9329,1828,
ac234f,2026-04-11 19:11:28+00:00,32.9892,-79.9333,1828,
ac234f,2026-04-11 19:11:42+00:00,33.0084,-79.9338,2133,
ac234f,2026-04-11 19:11:58+00:00,33.0289,-79.9342,2438,
ac234f,2026-04-11 19:12:35+00:00,33.0786,-79.9362,2743,
ac234f,2026-04-11 19:13:13+00:00,33.1337,-79.9383,3048,
ac234f,2026-04-11 19:13:28+00:00,33.1566,-79.9391,3352,
ac234f,2026-04-11 19:13:43+00:00,33.1797,-79.94,3657,
ac234f,2026-04-11 19:14:00+00:00,33.2059,-79.9412,3962,
ac234f,2026-04-11 19:14:08+00:00,33.2186,-79.941,3962,
ac234f,2026-04-11 19:14:15+00:00,33.2298,-79.9392,4267,
ac234f,2026-04-11 19:14:22+00:00,33.2412,-79.9361,4267,
ac234f,2026-04-11 19:14:29+00:00,33.2523,-79.9329,4267,
ac234f,2026-04-11 19:14:51+00:00,33.2869,-79.9233,4572,
ac234f,2026-04-11 19:15:12+00:00,33.3212,-79.914,4876,
ac234f,2026-04-11 19:15:40+00:00,33.3665,-79.9017,5181,
ac234f,2026-04-11 19:16:14+00:00,33.4249,-79.8853,5486,
ac234f,2026-04-11 19:16:37+00:00,33.4654,-79.8739,5791,
ac234f,2026-04-11 19:17:07+00:00,33.5169,-79.8593,6096,
ac234f,2026-04-11 19:17:50+00:00,33.5955,-79.8375,6400,
ac234f,2026-04-11 19:18:29+00:00,33.668,-79.8176,6705,
ac234f,2026-04-11 19:18:58+00:00,33.724,-79.8022,7010,
ac234f,2026-04-11 19:19:34+00:00,33.7937,-79.7828,7315,
ac234f,2026-04-11 19:20:03+00:00,33.8498,-79.767,7620,
ac234f,2026-04-11 19:20:12+00:00,33.868,-79.761,7620,
ac234f,2026-04-11 19:20:55+00:00,33.9523,-79.7303,7924,
ac234f,2026-04-11 19:21:40+00:00,34.0421,-79.6977,8229,
ac234f,2026-04-11 19:22:18+00:00,34.12,-79.6692,8534,
ac234f,2026-04-11 19:22:48+00:00,34.18,-79.6473,8839,
ac234f,2026-04-11 19:23:24+00:00,34.2524,-79.6204,9144,
ac234f,2026-04-11 19:23:30+00:00,34.2644,-79.6155,9144,
ac234f,2026-04-11 19:23:34+00:00,34.2712,-79.6124,9144,
ac234f,2026-04-11 19:24:24+00:00,34.3696,-79.563,9448,
ac234f,2026-04-11 19:24:39+00:00,34.3985,-79.5484,9144,
ac234f,2026-04-11 19:29:57+00:00,35.0427,-79.22,9448,
