icao24,time,lat,lon,altitude,velocity
ac4963,2026-04-12 12:06:19+00:00,33.6474,-84.4457,304,
ac4963,2026-04-12 12:06:24+00:00,33.6476,-84.4505,304,
ac4963,2026-04-12 12:06:30+00:00,33.6479,-84.4562,609,
ac4963,2026-04-12 12:06:35+00:00,33.6485,-84.4613,609,
ac4963,2026-04-12 12:06:41+00:00,33.6494,-84.4669,609,
ac4963,2026-04-12 12:06:46+00:00,33.6506,-84.4721,609,
ac4963,2026-04-12 12:06:52+00:00,33.652,-84.4774,609,
ac4963,2026-04-12 12:06:57+00:00,33.654,-84.4832,609,
ac4963,2026-04-12 12:07:08+00:00,33.6584,-84.4949,609,
ac4963,2026-04-12 12:07:14+00:00,33.6612,-84.502,609,
ac4963,2026-04-12 12:07:48+00:00,33.6789,-84.5455,914,
ac4963,2026-04-12 12:07:54+00:00,33.682,-84.5531,1219,
ac4963,2026-04-12 12:07:59+00:00,33.685,-84.5596,1219,
ac4963,2026-04-12 12:08:05+00:00,33.69,-84.5672,1219,
ac4963,2026-04-12 12:08:11+00:00,33.6959,-84.5731,1219,
ac4963,2026-04-12 12:08:16+00:00,33.7012,-84.5767,1524,
ac4963,2026-04-12 12:08:23+00:00,33.7094,-84.5804,1524,
ac4963,2026-04-12 12:08:28+00:00,33.7169,-84.5818,1524,
ac4963,2026-04-12 12:08:33+00:00,33.7235,-84.582,1828,
ac4963,2026-04-12 12:08:50+00:00,33.7453,-84.5818,1828,
ac4963,2026-04-12 12:09:12+00:00,33.7745,-84.5814,2133,
ac4963,2026-04-12 12:09:27+00:00,33.796,-84.5809,2438,
ac4963,2026-04-12 12:09:33+00:00,33.8035,-84.5803,2438,
ac4963,2026-04-12 12:09:38+00:00,33.8116,-84.579,2438,
ac4963,2026-04-12 12:09:43+00:00,33.8182,-84.5775,2743,
ac4963,2026-04-12 12:09:50+00:00,33.8272,-84.5749,2743,
ac4963,2026-04-12 12:09:54+00:00,33.8333,-84.5728,2743,
ac4963,2026-04-12 12:10:09+00:00,33.8536,-84.5647,2743,
ac4963,2026-04-12 12:11:06+00:00,33.9401,-84.5331,3048,
ac4963,2026-04-12 12:11:29+00:00,33.9766,-84.5196,3352,
ac4963,2026-04-12 12:11:52+00:00,34.015,-84.5055,3657,
ac4963,2026-04-12 12:12:18+00:00,34.0607,-84.4886,3962,
ac4963,2026-04-12 12:12:41+00:00,34.0991,-84.4745,4267,
ac4963,2026-04-12 12:13:04+00:00,34.1393,-84.4596,4572,
ac4963,2026-04-12 12:13:33+00:00,34.1909,-84.4406,4876,
ac4963,2026-04-12 12:13:55+00:00,34.2304,-84.4259,5181,
ac4963,2026-04-12 12:14:25+00:00,34.2847,-84.4058,5486,
