icao24,time,lat,lon,altitude,velocity
acdfa6,2026-04-11 18:02:04+00:00,13.0307,-59.3423,1828,
acdfa6,2026-04-11 18:02:18+00:00,13.0162,-59.3337,1828,
acdfa6,2026-04-11 18:02:24+00:00,13.0099,-59.33,2133,
acdfa6,2026-04-11 18:02:32+00:00,13.0011,-59.3252,2133,
acdfa6,2026-04-11 18:02:38+00:00,12.9939,-59.3224,2133,
acdfa6,2026-04-11 18:02:47+00:00,12.982,-59.3208,2438,
acdfa6,2026-04-11 18:02:58+00:00,12.9674,-59.324,2438,
acdfa6,2026-04-11 18:03:06+00:00,12.9586,-59.3299,2438,
acdfa6,2026-04-11 18:03:14+00:00,12.9518,-59.337,2743,
acdfa6,2026-04-11 18:03:21+00:00,12.9465,-59.3455,2743,
acdfa6,2026-04-11 18:03:26+00:00,12.9436,-59.3528,2743,
acdfa6,2026-04-11 18:03:35+00:00,12.9413,-59.3642,3048,
acdfa6,2026-04-11 18:03:42+00:00,12.9403,-59.3742,3048,
acdfa6,2026-04-11 18:03:49+00:00,12.9396,-59.3839,3048,
acdfa6,2026-04-11 18:03:57+00:00,12.9392,-59.3957,3048,
acdfa6,2026-04-11 18:04:06+00:00,12.9411,-59.4092,3048,
acdfa6,2026-04-11 18:04:13+00:00,12.9428,-59.4198,3048,
acdfa6,2026-04-11 18:04:20+00:00,12.9447,-59.4307,3352,
acdfa6,2026-04-11 18:04:26+00:00,12.947,-59.4397,3352,
acdfa6,2026-04-11 18:04:33+00:00,12.9509,-59.4505,3352,
acdfa6,2026-04-11 18:04:40+00:00,12.9553,-59.4606,3352,
acdfa6,2026-04-11 18:04:48+00:00,12.9616,-59.4726,3352,
acdfa6,2026-04-11 18:04:56+00:00,12.968,-59.4845,3352,
acdfa6,2026-04-11 18:05:24+00:00,12.9904,-59.5273,3657,
acdfa6,2026-04-11 18:05:45+00:00,13.0069,-59.5593,3962,
acdfa6,2026-04-11 18:06:16+00:00,13.0314,-59.6069,4267,
acdfa6,2026-04-11 18:06:45+00:00,13.0541,-59.651,4572,
acdfa6,2026-04-11 18:07:20+00:00,13.0824,-59.7058,4876,
acdfa6,2026-04-11 18:08:15+00:00,13.1295,-59.7967,5181,
acdfa6,2026-04-11 18:08:45+00:00,13.156,-59.8483,5486,
acdfa6,2026-04-11 18:09:36+00:00,13.201,-59.9362,5791,
acdfa6,2026-04-11 18:10:13+00:00,13.2348,-60.0016,6096,
acdfa6,2026-04-11 18:10:34+00:00,13.2545,-60.04,6400,
acdfa6,2026-04-11 18:11:53+00:00,13.3267,-60.1811,6705,
acdfa6,2026-04-11 18:12:43+00:00,13.3746,-60.2743,7010,
acdfa6,2026-04-11 18:13:32+00:00,13.4222,-60.3669,7315,
acdfa6,2026-04-11 18:13:55+00:00,13.4444,-60.4101,7620,
acdfa6,2026-04-11 19:03:30+00:00,16.7595,-65.2284,10363,
acdfa6,2026-04-11 19:05:10+00:00,16.8695,-65.3902,10363,
acdfa6,2026-04-11 19:05:19+00:00,16.8786,-65.4038,10363,
acdfa6,2026-04-11 19:08:10+00:00,17.0655,-65.6802,10363,
acdfa6,2026-04-11 19:08:24+00:00,17.0808,-65.7025,10058,
acdfa6,2026-04-11 19:08:44+00:00,17.1027,-65.7345,10363,
acdfa6,2026-04-11 19:08:51+00:00,17.1106,-65.746,10058,
acdfa6,2026-04-11 19:16:09+00:00,17.5899,-66.4529,10363,
acdfa6,2026-04-11 19:16:17+00:00,17.5968,-66.4651,10363,
acdfa6,2026-04-11 19:22:39+00:00,17.9492,-67.1127,10363,
acdfa6,2026-04-11 19:24:28+00:00,18.0844,-67.2771,10363,
acdfa6,2026-04-11 19:28:02+00:00,18.3912,-67.5621,10363,
