icao24,time,lat,lon,altitude,velocity
acdfab,2026-04-11 19:05:25+00:00,39.9076,-84.191,304,
acdfab,2026-04-11 19:05:37+00:00,39.9129,-84.181,304,
acdfab,2026-04-11 19:06:22+00:00,39.9383,-84.1337,609,
acdfab,2026-04-11 19:06:29+00:00,39.943,-84.1254,914,
acdfab,2026-04-11 19:06:36+00:00,39.9484,-84.1185,914,
acdfab,2026-04-11 19:06:42+00:00,39.9549,-84.1132,914,
acdfab,2026-04-11 19:06:49+00:00,39.9626,-84.1096,914,
acdfab,2026-04-11 19:06:57+00:00,39.9713,-84.1082,914,
acdfab,2026-04-11 19:07:04+00:00,39.9799,-84.1086,1219,
acdfab,2026-04-11 19:07:18+00:00,39.9969,-84.1107,1219,
acdfab,2026-04-11 19:07:38+00:00,40.0219,-84.1133,1524,
acdfab,2026-04-11 19:07:45+00:00,40.0306,-84.1155,1828,
acdfab,2026-04-11 19:07:53+00:00,40.0396,-84.1207,1828,
acdfab,2026-04-11 19:08:02+00:00,40.0498,-84.1288,1828,
acdfab,2026-04-11 19:08:17+00:00,40.0647,-84.1416,2133,
acdfab,2026-04-11 19:08:24+00:00,40.0718,-84.1486,2133,
acdfab,2026-04-11 19:08:31+00:00,40.0775,-84.1566,2438,
acdfab,2026-04-11 19:08:37+00:00,40.0814,-84.1652,2438,
acdfab,2026-04-11 19:08:44+00:00,40.0842,-84.1764,2438,
acdfab,2026-04-11 19:08:51+00:00,40.0849,-84.1874,2438,
acdfab,2026-04-11 19:08:59+00:00,40.0832,-84.2006,2743,
acdfab,2026-04-11 19:09:05+00:00,40.0799,-84.2103,2743,
acdfab,2026-04-11 19:09:12+00:00,40.0745,-84.2204,2743,
acdfab,2026-04-11 19:09:20+00:00,40.067,-84.23,3048,
acdfab,2026-04-11 19:09:27+00:00,40.0594,-84.2376,3048,
acdfab,2026-04-11 19:09:34+00:00,40.0514,-84.2451,3048,
acdfab,2026-04-11 19:09:48+00:00,40.0364,-84.2597,3352,
acdfab,2026-04-11 19:09:56+00:00,40.0278,-84.2685,3352,
acdfab,2026-04-11 19:10:24+00:00,39.9982,-84.2999,3657,
acdfab,2026-04-11 19:11:01+00:00,39.9585,-84.3448,3962,
acdfab,2026-04-11 19:11:50+00:00,39.8997,-84.4094,4267,
acdfab,2026-04-11 19:12:28+00:00,39.8493,-84.4638,4572,
acdfab,2026-04-11 19:13:06+00:00,39.797,-84.519,4876,
acdfab,2026-04-11 19:13:36+00:00,39.7547,-84.5631,5181,
acdfab,2026-04-11 19:14:08+00:00,39.7093,-84.6104,5486,
acdfab,2026-04-11 19:14:36+00:00,39.6682,-84.6531,5791,
acdfab,2026-04-11 19:14:43+00:00,39.6576,-84.663,5791,
acdfab,2026-04-11 19:14:51+00:00,39.6445,-84.6738,6096,
acdfab,2026-04-11 19:14:58+00:00,39.6333,-84.6818,6096,
acdfab,2026-04-11 19:15:05+00:00,39.621,-84.6894,6096,
acdfab,2026-04-11 19:15:19+00:00,39.5964,-84.7038,6096,
acdfab,2026-04-11 19:16:00+00:00,39.5241,-84.7477,6400,
acdfab,2026-04-11 19:16:38+00:00,39.4547,-84.7898,6705,
acdfab,2026-04-11 19:17:28+00:00,39.3633,-84.8445,7010,
acdfab,2026-04-11 19:18:06+00:00,39.2925,-84.8859,7315,
acdfab,2026-04-11 19:18:52+00:00,39.2051,-84.9379,7620,
acdfab,2026-04-11 19:19:41+00:00,39.112,-84.993,7924,
acdfab,2026-04-11 19:21:25+00:00,38.9106,-85.1105,8229,
acdfab,2026-04-11 19:21:47+00:00,38.868,-85.1358,8534,
acdfab,2026-04-11 19:21:55+00:00,38.8519,-85.1454,8229,
acdfab,2026-04-11 19:22:02+00:00,38.8382,-85.1534,8534,
acdfab,2026-04-11 19:22:10+00:00,38.823,-85.1624,8229,
acdfab,2026-04-11 19:22:19+00:00,38.8049,-85.1729,8534,
acdfab,2026-04-11 19:23:32+00:00,38.6623,-85.2553,8229,
acdfab,2026-04-11 19:24:01+00:00,38.6058,-85.2881,8534,
acdfab,2026-04-11 19:24:56+00:00,38.4992,-85.3501,8229,
acdfab,2026-04-11 19:25:04+00:00,38.4836,-85.3591,8534,
acdfab,2026-04-11 19:25:12+00:00,38.4676,-85.3684,8229,
acdfab,2026-04-11 19:25:35+00:00,38.4227,-85.3944,8534,
acdfab,2026-04-11 19:26:36+00:00,38.3034,-85.4629,8229,
acdfab,2026-04-11 19:26:57+00:00,38.2622,-85.4865,8534,
acdfab,2026-04-11 19:27:11+00:00,38.2357,-85.5019,8229,
acdfab,2026-04-11 19:27:32+00:00,38.1942,-85.5258,8534,
acdfab,2026-04-11 19:29:00+00:00,38.0219,-85.6249,8229,
