icao24,time,lat,lon,altitude,velocity
acdfcc,2026-04-11 19:03:26+00:00,43.6201,-72.3046,0,
acdfcc,2026-04-11 19:03:33+00:00,43.6228,-72.3054,0,
acdfcc,2026-04-11 19:03:40+00:00,43.6258,-72.3061,0,
acdfcc,2026-04-11 19:03:50+00:00,43.6297,-72.3067,0,
acdfcc,2026-04-11 19:03:56+00:00,43.6322,-72.3072,304,
acdfcc,2026-04-11 19:04:03+00:00,43.6353,-72.3079,304,
acdfcc,2026-04-11 19:04:07+00:00,43.6371,-72.3087,304,
acdfcc,2026-04-11 19:04:16+00:00,43.64,-72.3116,304,
acdfcc,2026-04-11 19:04:22+00:00,43.6416,-72.3146,304,
acdfcc,2026-04-11 19:04:30+00:00,43.6428,-72.3187,609,
acdfcc,2026-04-11 19:04:37+00:00,43.6436,-72.3228,609,
acdfcc,2026-04-11 19:04:44+00:00,43.6434,-72.3279,609,
acdfcc,2026-04-11 19:04:52+00:00,43.6424,-72.3324,609,
acdfcc,2026-04-11 19:04:59+00:00,43.6401,-72.3366,609,
acdfcc,2026-04-11 19:05:05+00:00,43.6366,-72.3388,609,
acdfcc,2026-04-11 19:05:13+00:00,43.6321,-72.3402,914,
acdfcc,2026-04-11 19:05:34+00:00,43.6203,-72.3436,914,
acdfcc,2026-04-11 19:05:40+00:00,43.617,-72.3446,914,
acdfcc,2026-04-11 19:05:49+00:00,43.6121,-72.3465,914,
acdfcc,2026-04-11 19:05:56+00:00,43.6082,-72.3481,1219,
acdfcc,2026-04-11 19:06:02+00:00,43.6048,-72.3498,1219,
acdfcc,2026-04-11 19:06:30+00:00,43.5911,-72.3575,1219,
acdfcc,2026-04-11 19:06:37+00:00,43.5872,-72.3593,1524,
acdfcc,2026-04-11 19:07:05+00:00,43.5718,-72.3657,1524,
acdfcc,2026-04-11 19:07:40+00:00,43.5531,-72.3734,1828,
acdfcc,2026-04-11 19:07:46+00:00,43.5496,-72.375,1828,
acdfcc,2026-04-11 19:08:11+00:00,43.5361,-72.3809,2133,
acdfcc,2026-04-11 19:08:17+00:00,43.5323,-72.3828,2133,
acdfcc,2026-04-11 19:08:25+00:00,43.528,-72.3852,2133,
acdfcc,2026-04-11 19:08:45+00:00,43.516,-72.3919,2438,
acdfcc,2026-04-11 19:09:13+00:00,43.4987,-72.4007,2438,
acdfcc,2026-04-11 19:09:28+00:00,43.4897,-72.4055,2743,
acdfcc,2026-04-11 19:24:26+00:00,42.8122,-72.7156,2743,
acdfcc,2026-04-11 19:28:29+00:00,42.6204,-72.8023,2743,
acdfcc,2026-04-11 19:28:45+00:00,42.6082,-72.8082,2743,
acdfcc,2026-04-11 19:28:52+00:00,42.6027,-72.8121,2743,
acdfcc,2026-04-11 19:29:00+00:00,42.5975,-72.817,2743,
acdfcc,2026-04-11 19:29:22+00:00,42.5841,-72.8305,2743,
acdfcc,2026-04-11 19:29:44+00:00,42.5703,-72.8434,2743,
