icao24,time,lat,lon,altitude,velocity
acdffc,2026-04-12 11:22:17+00:00,40.7791,-73.8717,-304,
acdffc,2026-04-12 11:22:37+00:00,40.7718,-73.8566,-304,
acdffc,2026-04-12 11:22:43+00:00,40.7698,-73.8524,0,
acdffc,2026-04-12 11:22:47+00:00,40.7676,-73.849,0,
acdffc,2026-04-12 11:22:52+00:00,40.7648,-73.8461,0,
acdffc,2026-04-12 11:22:57+00:00,40.762,-73.8442,0,
acdffc,2026-04-12 11:23:02+00:00,40.7583,-73.8427,304,
acdffc,2026-04-12 11:23:06+00:00,40.7553,-73.8419,304,
acdffc,2026-04-12 11:23:20+00:00,40.7439,-73.8394,304,
acdffc,2026-04-12 11:23:25+00:00,40.7394,-73.8379,304,
acdffc,2026-04-12 11:23:30+00:00,40.7359,-73.8356,304,
acdffc,2026-04-12 11:23:35+00:00,40.7324,-73.8313,609,
acdffc,2026-04-12 11:23:40+00:00,40.7303,-73.8267,609,
acdffc,2026-04-12 11:23:44+00:00,40.7292,-73.8223,609,
acdffc,2026-04-12 11:23:49+00:00,40.7286,-73.8157,609,
acdffc,2026-04-12 11:23:54+00:00,40.7293,-73.8096,609,
acdffc,2026-04-12 11:23:59+00:00,40.7314,-73.8035,609,
acdffc,2026-04-12 11:24:03+00:00,40.734,-73.7992,914,
acdffc,2026-04-12 11:24:08+00:00,40.7378,-73.7948,914,
acdffc,2026-04-12 11:24:13+00:00,40.7419,-73.7917,914,
acdffc,2026-04-12 11:24:17+00:00,40.7456,-73.7902,914,
acdffc,2026-04-12 11:24:23+00:00,40.7513,-73.7894,1219,
acdffc,2026-04-12 11:24:28+00:00,40.7563,-73.7898,1219,
acdffc,2026-04-12 11:24:33+00:00,40.7612,-73.7906,1219,
acdffc,2026-04-12 11:24:38+00:00,40.766,-73.7915,1219,
acdffc,2026-04-12 11:25:00+00:00,40.788,-73.796,1524,
acdffc,2026-04-12 11:25:04+00:00,40.7928,-73.7974,1524,
acdffc,2026-04-12 11:25:08+00:00,40.7969,-73.7993,1828,
acdffc,2026-04-12 11:25:14+00:00,40.8021,-73.8037,1828,
acdffc,2026-04-12 11:25:19+00:00,40.8057,-73.8087,1828,
acdffc,2026-04-12 11:25:24+00:00,40.8097,-73.8151,1828,
acdffc,2026-04-12 11:25:28+00:00,40.8125,-73.8199,1828,
acdffc,2026-04-12 11:26:39+00:00,40.8638,-73.9062,2133,
acdffc,2026-04-12 11:26:59+00:00,40.8788,-73.9311,2438,
acdffc,2026-04-12 11:27:09+00:00,40.8861,-73.9432,2743,
acdffc,2026-04-12 11:27:14+00:00,40.8895,-73.9499,2743,
acdffc,2026-04-12 11:27:19+00:00,40.8921,-73.9578,2743,
acdffc,2026-04-12 11:27:23+00:00,40.8934,-73.9649,3048,
acdffc,2026-04-12 11:27:29+00:00,40.8936,-73.9732,3048,
acdffc,2026-04-12 11:27:33+00:00,40.8929,-73.9799,3048,
acdffc,2026-04-12 11:27:38+00:00,40.8913,-73.9882,3048,
acdffc,2026-04-12 11:28:07+00:00,40.8802,-74.0383,3352,
acdffc,2026-04-12 11:28:11+00:00,40.8783,-74.0456,3352,
acdffc,2026-04-12 11:28:16+00:00,40.8754,-74.0548,3352,
acdffc,2026-04-12 11:28:21+00:00,40.8722,-74.0635,3352,
acdffc,2026-04-12 11:28:26+00:00,40.8683,-74.0726,3657,
acdffc,2026-04-12 11:28:32+00:00,40.8633,-74.0831,3657,
acdffc,2026-04-12 11:28:46+00:00,40.8511,-74.1077,3657,
acdffc,2026-04-12 11:29:10+00:00,40.8293,-74.1517,3962,
acdffc,2026-04-12 11:30:34+00:00,40.753,-74.3058,4267,
acdffc,2026-04-12 11:30:58+00:00,40.7306,-74.351,4572,
acdffc,2026-04-12 11:32:08+00:00,40.6653,-74.4818,4876,
acdffc,2026-04-12 11:32:13+00:00,40.6609,-74.4914,4876,
acdffc,2026-04-12 11:32:18+00:00,40.6567,-74.5015,4876,
acdffc,2026-04-12 11:32:39+00:00,40.6403,-74.5424,5181,
acdffc,2026-04-12 11:33:03+00:00,40.6207,-74.5911,5486,
acdffc,2026-04-12 11:33:28+00:00,40.6003,-74.6408,5791,
acdffc,2026-04-12 11:33:57+00:00,40.5764,-74.6997,6096,
acdffc,2026-04-12 11:34:25+00:00,40.553,-74.7574,6400,
acdffc,2026-04-12 11:34:56+00:00,40.5266,-74.8226,6705,
acdffc,2026-04-12 11:35:30+00:00,40.4973,-74.8958,7010,
acdffc,2026-04-12 11:35:59+00:00,40.4718,-74.9602,7315,
acdffc,2026-04-12 11:36:33+00:00,40.4421,-75.0352,7620,
acdffc,2026-04-12 11:37:08+00:00,40.4109,-75.1137,7924,
acdffc,2026-04-12 11:37:51+00:00,40.371,-75.2111,8229,
acdffc,2026-04-12 11:38:32+00:00,40.3323,-75.3049,8534,
acdffc,2026-04-12 11:39:19+00:00,40.2866,-75.4145,8839,
acdffc,2026-04-12 11:39:58+00:00,40.2482,-75.505,9144,
acdffc,2026-04-12 11:40:42+00:00,40.2029,-75.6083,9448,
acdffc,2026-04-12 11:41:34+00:00,40.1483,-75.7285,9753,
acdffc,2026-04-12 11:42:08+00:00,40.1119,-75.8072,10058,
acdffc,2026-04-12 11:42:13+00:00,40.106,-75.8185,10058,
acdffc,2026-04-12 11:42:18+00:00,40.0996,-75.8293,10058,
acdffc,2026-04-12 11:42:23+00:00,40.0928,-75.8402,10363,
acdffc,2026-04-12 11:42:28+00:00,40.0858,-75.8505,10363,
acdffc,2026-04-12 11:42:32+00:00,40.0805,-75.8577,10363,
acdffc,2026-04-12 11:42:37+00:00,40.0725,-75.8681,10363,
acdffc,2026-04-12 11:42:42+00:00,40.0646,-75.8777,10363,
acdffc,2026-04-12 11:42:58+00:00,40.0397,-75.9064,10363,
acdffc,2026-04-12 11:43:44+00:00,39.9667,-75.9921,10668,
acdffc,2026-04-12 11:58:42+00:00,38.5499,-77.5764,10972,
acdffc,2026-04-12 12:00:36+00:00,38.3692,-77.773,10972,
acdffc,2026-04-12 12:02:09+00:00,38.2197,-77.9332,11277,
acdffc,2026-04-12 12:04:17+00:00,38.0083,-78.1581,11582,
acdffc,2026-04-12 12:19:11+00:00,36.4408,-79.6199,11582,
